motif_id	motif_name	motif_name_orig	strand	motif_start	motif_end	motif_scale	lambda
0	pos_patterns.pattern_0	pos_patterns.pattern_0	+	7	23	0.18718404565863067	0.7
1	pos_patterns.pattern_0	pos_patterns.pattern_0	-	7	23	0.18718404565863067	0.7
2	pos_patterns.pattern_1	pos_patterns.pattern_1	+	10	20	0.14529445973781016	0.7
3	pos_patterns.pattern_1	pos_patterns.pattern_1	-	10	20	0.14529445973781016	0.7
4	pos_patterns.pattern_2	pos_patterns.pattern_2	+	5	24	0.17529186028209878	0.7
5	pos_patterns.pattern_2	pos_patterns.pattern_2	-	6	25	0.17529186028209878	0.7
6	pos_patterns.pattern_3	pos_patterns.pattern_3	+	13	22	0.10543433989432772	0.7
7	pos_patterns.pattern_3	pos_patterns.pattern_3	-	8	17	0.10543433989432772	0.7
8	pos_patterns.pattern_4	pos_patterns.pattern_4	+	4	24	0.07231614760308688	0.7
9	pos_patterns.pattern_4	pos_patterns.pattern_4	-	6	26	0.07231614760308688	0.7
10	pos_patterns.pattern_5	pos_patterns.pattern_5	+	15	30	0.11380791207005125	0.7
11	pos_patterns.pattern_5	pos_patterns.pattern_5	-	0	15	0.11380791207005125	0.7
12	pos_patterns.pattern_6	pos_patterns.pattern_6	+	0	30	0.05267144363108761	0.7
13	pos_patterns.pattern_6	pos_patterns.pattern_6	-	0	30	0.05267144363108761	0.7
14	pos_patterns.pattern_7	pos_patterns.pattern_7	+	14	25	0.07344339196899037	0.7
15	pos_patterns.pattern_7	pos_patterns.pattern_7	-	5	16	0.07344339196899037	0.7
16	pos_patterns.pattern_8	pos_patterns.pattern_8	+	9	21	0.17193476079490302	0.7
17	pos_patterns.pattern_8	pos_patterns.pattern_8	-	9	21	0.17193476079490302	0.7
18	pos_patterns.pattern_9	pos_patterns.pattern_9	+	8	24	0.15938497681427052	0.7
19	pos_patterns.pattern_9	pos_patterns.pattern_9	-	6	22	0.15938497681427052	0.7
20	pos_patterns.pattern_10	pos_patterns.pattern_10	+	8	24	0.08684718397328528	0.7
21	pos_patterns.pattern_10	pos_patterns.pattern_10	-	6	22	0.08684718397328528	0.7
22	pos_patterns.pattern_11	pos_patterns.pattern_11	+	7	23	0.10943747390287784	0.7
23	pos_patterns.pattern_11	pos_patterns.pattern_11	-	7	23	0.10943747390287784	0.7
24	pos_patterns.pattern_12	pos_patterns.pattern_12	+	1	30	0.08462238173960852	0.7
25	pos_patterns.pattern_12	pos_patterns.pattern_12	-	0	29	0.08462238173960852	0.7
26	pos_patterns.pattern_13	pos_patterns.pattern_13	+	0	20	0.1538179011053238	0.7
27	pos_patterns.pattern_13	pos_patterns.pattern_13	-	10	30	0.1538179011053238	0.7
28	pos_patterns.pattern_14	pos_patterns.pattern_14	+	0	24	0.13220340611129375	0.7
29	pos_patterns.pattern_14	pos_patterns.pattern_14	-	6	30	0.13220340611129375	0.7
30	pos_patterns.pattern_15	pos_patterns.pattern_15	+	6	24	0.15130761724525715	0.7
31	pos_patterns.pattern_15	pos_patterns.pattern_15	-	6	24	0.15130761724525715	0.7
32	pos_patterns.pattern_16	pos_patterns.pattern_16	+	0	29	0.06253848721055043	0.7
33	pos_patterns.pattern_16	pos_patterns.pattern_16	-	1	30	0.06253848721055043	0.7
