motif_name	num_hits_total	num_hits_restricted	num_seqlets	num_overlaps	num_seqlets_only	num_hits_restricted_only	seqlet_recall	cwm_similarity
pos_patterns.pattern_0	149101	149101	18192	25	18167	149076	0.0013742304309586632	0.99853515625
pos_patterns.pattern_1	59757	59757	5444	3	5441	59754	0.0005510653930933138	0.99853515625
pos_patterns.pattern_2	7802	7802	1912	1	1911	7801	0.0005230125523012552	0.99853515625
pos_patterns.pattern_3	20981	20981	925	0	925	20981	0.0	0.998046875
pos_patterns.pattern_4	96854	96854	826	1	825	96853	0.0012106537530266344	0.9912109375
pos_patterns.pattern_5	12177	12177	290	0	290	12177	0.0	0.99072265625
pos_patterns.pattern_6	206	206	209	0	209	206	0.0	0.94091796875
pos_patterns.pattern_7	25805	25805	121	0	121	25805	0.0	0.982421875
pos_patterns.pattern_8	7224	7224	105	0	105	7224	0.0	0.896484375
pos_patterns.pattern_9	1979	1979	71	0	71	1979	0.0	0.99072265625
pos_patterns.pattern_10	4234	4234	54	0	54	4234	0.0	0.98388671875
pos_patterns.pattern_11	12158	12158	43	0	43	12158	0.0	0.9736328125
pos_patterns.pattern_12	1018	1018	38	0	38	1018	0.0	0.9443359375
pos_patterns.pattern_13	25	25	28	0	28	25	0.0	0.98095703125
pos_patterns.pattern_14	199	199	27	0	27	199	0.0	0.982421875
pos_patterns.pattern_15	2753	2753	22	0	22	2753	0.0	0.93505859375
pos_patterns.pattern_16	936	936	21	0	21	936	0.0	0.958984375
