motif_id	motif_name	motif_name_orig	strand	motif_start	motif_end	motif_scale	lambda
0	pos_patterns.pattern_0	pos_patterns.pattern_0	+	17	33	0.15644768496600436	0.7
1	pos_patterns.pattern_0	pos_patterns.pattern_0	-	17	33	0.15644768496600436	0.7
2	pos_patterns.pattern_1	pos_patterns.pattern_1	+	20	30	0.13298145792929425	0.7
3	pos_patterns.pattern_1	pos_patterns.pattern_1	-	20	30	0.13298145792929425	0.7
4	pos_patterns.pattern_2	pos_patterns.pattern_2	+	15	35	0.06280985878711035	0.7
5	pos_patterns.pattern_2	pos_patterns.pattern_2	-	15	35	0.06280985878711035	0.7
6	pos_patterns.pattern_3	pos_patterns.pattern_3	+	24	34	0.1164886722056261	0.7
7	pos_patterns.pattern_3	pos_patterns.pattern_3	-	16	26	0.1164886722056261	0.7
8	pos_patterns.pattern_4	pos_patterns.pattern_4	+	21	30	0.09346768117880924	0.7
9	pos_patterns.pattern_4	pos_patterns.pattern_4	-	20	29	0.09346768117880924	0.7
10	pos_patterns.pattern_5	pos_patterns.pattern_5	+	30	47	0.2809027701406276	0.7
11	pos_patterns.pattern_5	pos_patterns.pattern_5	-	3	20	0.2809027701406276	0.7
12	pos_patterns.pattern_6	pos_patterns.pattern_6	+	0	50	0.04472622770457437	0.7
13	pos_patterns.pattern_6	pos_patterns.pattern_6	-	0	50	0.04472622770457437	0.7
14	pos_patterns.pattern_7	pos_patterns.pattern_7	+	0	50	0.046624321563055716	0.7
15	pos_patterns.pattern_7	pos_patterns.pattern_7	-	0	50	0.046624321563055716	0.7
16	pos_patterns.pattern_8	pos_patterns.pattern_8	+	19	50	0.052879394376972116	0.7
17	pos_patterns.pattern_8	pos_patterns.pattern_8	-	0	31	0.052879394376972116	0.7
18	pos_patterns.pattern_9	pos_patterns.pattern_9	+	12	24	0.14448266059650114	0.7
19	pos_patterns.pattern_9	pos_patterns.pattern_9	-	26	38	0.14448266059650114	0.7
20	pos_patterns.pattern_10	pos_patterns.pattern_10	+	16	28	0.06607002085909515	0.7
21	pos_patterns.pattern_10	pos_patterns.pattern_10	-	22	34	0.06607002085909515	0.7
22	pos_patterns.pattern_11	pos_patterns.pattern_11	+	22	50	0.05307229432046679	0.7
23	pos_patterns.pattern_11	pos_patterns.pattern_11	-	0	28	0.05307229432046679	0.7
24	pos_patterns.pattern_12	pos_patterns.pattern_12	+	1	47	0.05644813756024056	0.7
25	pos_patterns.pattern_12	pos_patterns.pattern_12	-	3	49	0.05644813756024056	0.7
26	pos_patterns.pattern_13	pos_patterns.pattern_13	+	4	49	0.056828957947586696	0.7
27	pos_patterns.pattern_13	pos_patterns.pattern_13	-	1	46	0.056828957947586696	0.7
28	pos_patterns.pattern_14	pos_patterns.pattern_14	+	16	34	0.13677493078339573	0.7
29	pos_patterns.pattern_14	pos_patterns.pattern_14	-	16	34	0.13677493078339573	0.7
30	pos_patterns.pattern_15	pos_patterns.pattern_15	+	1	50	0.06977741992600152	0.7
31	pos_patterns.pattern_15	pos_patterns.pattern_15	-	0	49	0.06977741992600152	0.7
32	pos_patterns.pattern_16	pos_patterns.pattern_16	+	13	47	0.1095737381508525	0.7
33	pos_patterns.pattern_16	pos_patterns.pattern_16	-	3	37	0.1095737381508525	0.7
