motif_name	num_hits_total	num_hits_restricted	num_seqlets	num_overlaps	num_seqlets_only	num_hits_restricted_only	seqlet_recall	cwm_similarity
pos_patterns.pattern_0	141387	120911	41027	39014	2013	81897	0.9509347502863967	1.0
pos_patterns.pattern_1	59167	52152	16494	16228	266	35924	0.9838729234873287	0.99853515625
pos_patterns.pattern_2	12740	10870	2903	2779	124	8091	0.9572855666551843	0.9970703125
pos_patterns.pattern_3	88821	73024	2715	1469	1246	71555	0.5410681399631676	0.98681640625
pos_patterns.pattern_4	20349	16747	1922	1825	97	14922	0.9495317377731529	0.9970703125
pos_patterns.pattern_5	373	313	439	20	419	293	0.04555808656036447	0.9072265625
pos_patterns.pattern_6	0	0	384	0	384	0	0.0	NaN
pos_patterns.pattern_7	22262	19229	371	191	180	19038	0.5148247978436657	0.96435546875
pos_patterns.pattern_8	237	205	332	172	160	33	0.5180722891566265	0.9970703125
pos_patterns.pattern_9	708	119	163	1	162	118	0.006134969325153374	0.8935546875
pos_patterns.pattern_10	3669	1105	83	2	81	1103	0.024096385542168676	0.912109375
pos_patterns.pattern_11	20049	17025	73	71	2	16954	0.9726027397260274	0.9482421875
pos_patterns.pattern_12	185	147	51	4	47	143	0.0784313725490196	0.8994140625
pos_patterns.pattern_13	21	18	47	1	46	17	0.02127659574468085	0.87890625
pos_patterns.pattern_14	656	554	36	29	7	525	0.8055555555555556	0.9296875
pos_patterns.pattern_15	117	50	35	11	24	39	0.3142857142857143	0.9599609375
pos_patterns.pattern_16	2528	2154	28	12	16	2142	0.42857142857142855	0.85546875
pos_patterns.pattern_17	168	154	28	18	10	136	0.6428571428571429	0.97998046875
pos_patterns.pattern_18	33	26	24	10	14	16	0.4166666666666667	0.98388671875
pos_patterns.pattern_19	1937	1639	23	22	1	1617	0.9565217391304348	0.9326171875
