motif_id	motif_name	motif_name_orig	strand	motif_start	motif_end	motif_scale	lambda
0	GATA	p300_v2_peaks.20_5_10.pos_patterns.pattern_0	+	27	33	0.07567279122949962	0.7
1	GATA	p300_v2_peaks.20_5_10.pos_patterns.pattern_0	-	17	23	0.07567279122949962	0.7
2	AP1_1	p300_v2_peaks.20_5_10.pos_patterns.pattern_1	+	20	30	0.06175307786531164	0.7
3	AP1_1	p300_v2_peaks.20_5_10.pos_patterns.pattern_1	-	20	30	0.06175307786531164	0.7
4	CREB_ATF_3	p300_v2_peaks.20_5_10.pos_patterns.pattern_2	+	16	26	0.06738815338383942	0.7
5	CREB_ATF_3	p300_v2_peaks.20_5_10.pos_patterns.pattern_2	-	24	34	0.06738815338383942	0.7
6	CREB_ATF_1	p300_v2_peaks.20_5_10.pos_patterns.pattern_3	+	16	26	0.037896800985672024	0.7
7	CREB_ATF_1	p300_v2_peaks.20_5_10.pos_patterns.pattern_3	-	24	34	0.037896800985672024	0.7
8	STAT_2	p300_v2_peaks.20_5_10.pos_patterns.pattern_4	+	22	37	0.03352010048877341	0.7
9	STAT_2	p300_v2_peaks.20_5_10.pos_patterns.pattern_4	-	13	28	0.03352010048877341	0.7
10	CTCF	p300_v2_peaks.30_10_0.pos_patterns.pattern_9	+	13	30	0.03676043630478809	0.7
11	CTCF	p300_v2_peaks.30_10_0.pos_patterns.pattern_9	-	20	37	0.03676043630478809	0.7
12	GATA_TAL1	p300_v1.20_5_10.pos_patterns.pattern_5	+	30	48	0.2809027701406276	0.7
13	GATA_TAL1	p300_v1.20_5_10.pos_patterns.pattern_5	-	2	20	0.2809027701406276	0.7
14	ETS_1	p300_v2.20_5_10.pos_patterns.pattern_4	+	23	33	0.021627289055032233	0.7
15	ETS_1	p300_v2.20_5_10.pos_patterns.pattern_4	-	17	27	0.021627289055032233	0.7
16	REPEAT_G	p300_v2.20_5_10.pos_patterns.pattern_6	+	15	37	0.01895185446188891	0.7
17	REPEAT_G	p300_v2.20_5_10.pos_patterns.pattern_6	-	13	35	0.01895185446188891	0.7
