motif_id	motif_name	motif_name_orig	strand	motif_start	motif_end	motif_scale	lambda
0	GATA	p300_v1_peaks.20_5_10.pos_patterns.pattern_0	+	26	33	0.18716824993303574	0.7
1	GATA	p300_v1_peaks.20_5_10.pos_patterns.pattern_0	-	17	24	0.18716824993303574	0.7
2	NF2L_NFE	p300_v1_peaks.20_5_10.pos_patterns.pattern_1	+	20	30	0.14488443700615064	0.7
3	NF2L_NFE	p300_v1_peaks.20_5_10.pos_patterns.pattern_1	-	20	30	0.14488443700615064	0.7
4	ATF_CEBP	p300_v1_peaks.20_5_10.pos_patterns.pattern_2	+	15	34	0.17250246955730816	0.7
5	ATF_CEBP	p300_v1_peaks.20_5_10.pos_patterns.pattern_2	-	16	35	0.17250246955730816	0.7
6	STAT	p300_v1_peaks.20_5_10.pos_patterns.pattern_3	+	18	27	0.10313411751404103	0.7
7	STAT	p300_v1_peaks.20_5_10.pos_patterns.pattern_3	-	23	32	0.10313411751404103	0.7
8	REPEAT_G	p300_v1_peaks.20_5_10.pos_patterns.pattern_4	+	14	34	0.0744272641228838	0.7
9	REPEAT_G	p300_v1_peaks.20_5_10.pos_patterns.pattern_4	-	16	36	0.0744272641228838	0.7
10	ELF	p300_v1_peaks.20_5_10.pos_patterns.pattern_7	+	20	29	0.073826949136101	0.7
11	ELF	p300_v1_peaks.20_5_10.pos_patterns.pattern_7	-	21	30	0.073826949136101	0.7
12	GATA_TAL1_9BP	p300_v1_peaks.20_5_10.pos_patterns.pattern_5	+	28	46	0.33507979256913034	0.7
13	GATA_TAL1_9BP	p300_v1_peaks.20_5_10.pos_patterns.pattern_5	-	4	22	0.33507979256913034	0.7
14	GATA_TAL1_8BP	p300_v1_peaks.20_5_10.pos_patterns.pattern_11	+	28	45	0.253984224199785	0.7
15	GATA_TAL1_8BP	p300_v1_peaks.20_5_10.pos_patterns.pattern_11	-	5	22	0.253984224199785	0.7
16	FOS_JUN	p300_v1_peaks.20_5_10.pos_patterns.pattern_13	+	14	27	0.19173948709484165	0.7
17	FOS_JUN	p300_v1_peaks.20_5_10.pos_patterns.pattern_13	-	23	36	0.19173948709484165	0.7
