motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	++	0	0.6894	0.047	0.021	0.4049	0.0412	0.0184	2.0666	0.0904	0.0404
2	++	1	0.3796	0.0323	0.0145	0.0951	0.0466	0.0208	1.8518	0.0928	0.0415
2	++	2	0.4063	0.0556	0.0249	0.1218	0.0409	0.0183	1.8703	0.1126	0.0503
2	++	3	0.7178	0.0363	0.0162	0.4333	0.0279	0.0125	2.0863	0.108	0.0483
2	++	4	0.5975	0.0178	0.008	0.313	0.0192	0.0086	2.0029	0.1028	0.046
2	++	5	0.625	0.0689	0.0308	0.3405	0.0783	0.035	2.0219	0.0713	0.0319
2	++	6	0.6092	0.036	0.0161	0.3248	0.0233	0.0104	2.011	0.1057	0.0473
2	++	7	0.6524	0.0504	0.0226	0.3679	0.0537	0.024	2.0409	0.104	0.0465
2	++	8	0.6076	0.0382	0.0171	0.3231	0.0248	0.0111	2.0099	0.1148	0.0513
2	++	9	0.7271	0.0593	0.0265	0.4426	0.0617	0.0276	2.0927	0.0825	0.0369
2	++	10	0.5677	0.0364	0.0163	0.2832	0.0204	0.0091	1.9822	0.1185	0.053
2	++	11	0.6358	0.0446	0.02	0.3514	0.0396	0.0177	2.0295	0.0927	0.0415
2	++	12	0.5855	0.0338	0.0151	0.301	0.0188	0.0084	1.9945	0.1109	0.0496
2	++	13	0.6466	0.0395	0.0177	0.3621	0.0397	0.0178	2.0369	0.086	0.0385
2	++	14	0.5855	0.0414	0.0185	0.301	0.0264	0.0118	1.9946	0.1106	0.0494
2	++	15	0.6466	0.0411	0.0184	0.3621	0.0267	0.0119	2.0369	0.1116	0.0499
2	++	16	0.5767	0.0404	0.0181	0.2922	0.0248	0.0111	1.9885	0.1148	0.0513
2	++	17	0.6216	0.0312	0.0139	0.3371	0.0246	0.011	2.0196	0.0959	0.0429
2	++	18	0.5902	0.0374	0.0167	0.3057	0.0244	0.0109	1.9978	0.112	0.0501
2	++	19	0.6518	0.0378	0.0169	0.3673	0.0244	0.0109	2.0405	0.1069	0.0478
2	++	20	0.5825	0.0377	0.0169	0.2981	0.0226	0.0101	1.9925	0.1101	0.0492
2	++	21	0.6226	0.0269	0.012	0.3381	0.0209	0.0094	2.0202	0.1005	0.045
2	++	22	0.5585	0.0365	0.0163	0.274	0.022	0.0098	1.9758	0.1107	0.0495
2	++	23	0.6302	0.0378	0.0169	0.3457	0.023	0.0103	2.0255	0.1096	0.049
2	++	24	0.5869	0.037	0.0165	0.3024	0.0227	0.0102	1.9956	0.1088	0.0487
2	++	25	0.6887	0.0417	0.0186	0.4042	0.0287	0.0128	2.0661	0.1169	0.0523
2	++	26	0.5869	0.04	0.0179	0.3024	0.0244	0.0109	1.9955	0.1138	0.0509
2	++	27	0.6291	0.0413	0.0185	0.3447	0.027	0.0121	2.0248	0.1129	0.0505
2	++	28	0.5767	0.0354	0.0159	0.2922	0.0204	0.0091	1.9885	0.1111	0.0497
2	++	29	0.6466	0.0275	0.0123	0.3622	0.0209	0.0094	2.0369	0.0987	0.0441
2	++	30	0.5704	0.0392	0.0175	0.286	0.0234	0.0105	1.9841	0.1128	0.0504
2	++	31	0.6334	0.0476	0.0213	0.3489	0.0336	0.015	2.0278	0.1153	0.0515
2	++	32	0.5853	0.0342	0.0153	0.3008	0.0194	0.0087	1.9944	0.1109	0.0496
2	++	33	0.655	0.0295	0.0132	0.3705	0.0197	0.0088	2.0427	0.1023	0.0458
2	++	34	0.5736	0.0359	0.0161	0.2891	0.0202	0.009	1.9863	0.1146	0.0512
2	++	35	0.6121	0.0386	0.0172	0.3276	0.0238	0.0106	2.013	0.1117	0.05
2	++	36	0.5704	0.0369	0.0165	0.2859	0.0208	0.0093	1.9841	0.1134	0.0507
2	++	37	0.634	0.0352	0.0158	0.3495	0.024	0.0107	2.0282	0.1021	0.0457
2	++	38	0.5819	0.0424	0.019	0.2974	0.0274	0.0122	1.9921	0.1122	0.0502
2	++	39	0.6211	0.0403	0.018	0.3366	0.0252	0.0113	2.0192	0.1098	0.0491
2	++	40	0.5732	0.0325	0.0145	0.2887	0.017	0.0076	1.986	0.1112	0.0497
2	++	41	0.6332	0.0319	0.0143	0.3487	0.0166	0.0074	2.0276	0.1111	0.0497
