motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	++	0	0.6917	0.0621	0.0278	0.4166	0.0879	0.0393	2.0562	0.1422	0.0636
2	++	1	0.4472	0.1101	0.0492	0.1721	0.0637	0.0285	1.8868	0.1602	0.0716
2	++	2	1.2296	0.1216	0.0544	0.9545	0.0839	0.0375	2.4291	0.1452	0.0649
2	++	3	1.0031	0.1224	0.0547	0.7281	0.0841	0.0376	2.2721	0.1539	0.0688
2	++	4	0.5294	0.085	0.038	0.2544	0.0572	0.0256	1.9437	0.114	0.051
2	++	5	0.5784	0.1304	0.0583	0.3033	0.0824	0.0369	1.9777	0.1765	0.0789
2	++	6	0.6149	0.14	0.0626	0.3399	0.0906	0.0405	2.003	0.1694	0.0757
2	++	7	0.5882	0.1073	0.048	0.3132	0.0595	0.0266	1.9845	0.157	0.0702
2	++	8	0.6698	0.1415	0.0633	0.3948	0.0928	0.0415	2.0411	0.1635	0.0731
2	++	9	0.5046	0.112	0.0501	0.2296	0.0625	0.028	1.9266	0.1646	0.0736
2	++	10	0.6286	0.1198	0.0536	0.3535	0.0733	0.0328	2.0125	0.1496	0.0669
2	++	11	0.6015	0.1113	0.0498	0.3265	0.0621	0.0278	1.9938	0.1631	0.0729
2	++	12	0.6637	0.1228	0.0549	0.3887	0.0734	0.0328	2.0368	0.1661	0.0743
2	++	13	0.5645	0.1203	0.0538	0.2895	0.0711	0.0318	1.9681	0.1624	0.0726
2	++	14	0.5915	0.1251	0.0559	0.3164	0.0762	0.0341	1.9868	0.1557	0.0696
2	++	15	0.5879	0.1149	0.0514	0.3129	0.0642	0.0287	1.9843	0.1593	0.0712
2	++	16	0.6604	0.1039	0.0465	0.3854	0.0554	0.0248	2.0346	0.1459	0.0653
2	++	17	0.5874	0.1157	0.0517	0.3124	0.0655	0.0293	1.9839	0.1566	0.0701
2	++	18	0.6015	0.1235	0.0552	0.3265	0.0737	0.033	1.9937	0.1579	0.0706
2	++	19	0.5666	0.1168	0.0522	0.2916	0.0666	0.0298	1.9696	0.1652	0.0739
2	++	20	0.6789	0.1207	0.054	0.4039	0.0705	0.0315	2.0474	0.1599	0.0715
2	++	21	0.5908	0.115	0.0514	0.3157	0.0645	0.0288	1.9863	0.1602	0.0716
2	++	22	0.6351	0.1301	0.0582	0.36	0.0807	0.0361	2.017	0.1612	0.0721
2	++	23	0.5827	0.1132	0.0506	0.3076	0.0627	0.028	1.9807	0.1596	0.0714
2	++	24	0.6975	0.1216	0.0544	0.4225	0.0728	0.0326	2.0603	0.1567	0.0701
2	++	25	0.5727	0.1216	0.0544	0.2976	0.0711	0.0318	1.9737	0.162	0.0725
2	++	26	0.6113	0.1266	0.0566	0.3362	0.0787	0.0352	2.0005	0.1538	0.0688
2	++	27	0.5983	0.1093	0.0489	0.3232	0.0587	0.0263	1.9915	0.1558	0.0697
2	++	28	0.6842	0.1147	0.0513	0.4092	0.0654	0.0293	2.0511	0.1563	0.0699
2	++	29	0.5516	0.1113	0.0498	0.2766	0.0608	0.0272	1.9592	0.1589	0.0711
2	++	30	0.5726	0.121	0.0541	0.2976	0.0711	0.0318	1.9737	0.1568	0.0701
2	++	31	0.5823	0.1125	0.0503	0.3072	0.0617	0.0276	1.9804	0.1603	0.0717
2	++	32	0.6893	0.1037	0.0464	0.4143	0.0565	0.0253	2.0546	0.1432	0.064
2	++	33	0.5828	0.1161	0.0519	0.3078	0.0654	0.0292	1.9808	0.1604	0.0717
2	++	34	0.6048	0.1287	0.0576	0.3297	0.0786	0.0351	1.996	0.1631	0.0729
2	++	35	0.5885	0.1125	0.0503	0.3135	0.0618	0.0276	1.9847	0.1587	0.071
2	++	36	0.6779	0.1091	0.0488	0.4029	0.0594	0.0265	2.0467	0.155	0.0693
2	++	37	0.5953	0.1129	0.0505	0.3203	0.0621	0.0278	1.9894	0.1599	0.0715
2	++	38	0.5902	0.119	0.0532	0.3152	0.0694	0.031	1.9859	0.1554	0.0695
2	++	39	0.5735	0.1125	0.0503	0.2984	0.0621	0.0278	1.9743	0.1612	0.0721
2	++	40	0.6584	0.1131	0.0506	0.3833	0.0627	0.028	2.0331	0.1583	0.0708
2	++	41	0.591	0.1141	0.051	0.3159	0.0634	0.0283	1.9864	0.1608	0.0719
2	++	42	0.6173	0.1207	0.054	0.3423	0.0712	0.0318	2.0047	0.1582	0.0708
2	++	43	0.57	0.1128	0.0504	0.295	0.062	0.0277	1.9719	0.1604	0.0717
2	++	44	0.6185	0.1103	0.0493	0.3435	0.0597	0.0267	2.0055	0.1568	0.0701
2	++	45	0.5573	0.1163	0.052	0.2823	0.0655	0.0293	1.9631	0.1612	0.0721
2	++	46	0.5902	0.1192	0.0533	0.3152	0.0692	0.031	1.9859	0.1573	0.0703
2	++	47	0.5901	0.113	0.0505	0.315	0.0624	0.0279	1.9858	0.1593	0.0712
2	++	48	0.6435	0.1106	0.0495	0.3685	0.0602	0.0269	2.0228	0.1564	0.0699
2	++	49	0.581	0.1166	0.0521	0.306	0.0659	0.0295	1.9795	0.16	0.0716
2	++	50	0.6003	0.1222	0.0546	0.3252	0.0724	0.0324	1.9929	0.1579	0.0706
2	+-	0	0.5135	0.1043	0.0466	0.2385	0.0648	0.029	1.9327	0.1648	0.0737
2	+-	1	0.5164	0.1241	0.0555	0.2414	0.0839	0.0375	1.9348	0.1739	0.0778
2	+-	2	0.6935	0.1857	0.083	0.4184	0.1493	0.0668	2.0575	0.2282	0.1021
