motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_E2F_mean	log2_fc_vs_single_E2F_std	log2_fc_vs_single_E2F_sem	log2_fc_vs_single_AP1_1_mean	log2_fc_vs_single_AP1_1_std	log2_fc_vs_single_AP1_1_sem
2	++	0	0.3733	0.0583	0.0261	0.2287	0.0564	0.0252	1.8517	0.1047	0.0468	0.3638	0.0601	0.0269	0.0936	0.0537	0.024
2	++	1	0.2354	0.0522	0.0234	0.0908	0.0482	0.0216	1.7561	0.1364	0.061	0.2259	0.0519	0.0232	-0.0443	0.0457	0.0204
2	++	2	0.2399	0.0154	0.0069	0.0953	0.0158	0.0071	1.7592	0.1081	0.0483	0.2304	0.0171	0.0076	-0.0398	0.0186	0.0083
2	++	3	0.3328	0.0275	0.0123	0.1882	0.0204	0.0091	1.8236	0.1209	0.0541	0.3234	0.0264	0.0118	0.0531	0.0166	0.0074
2	++	4	0.3669	0.0102	0.0046	0.2224	0.0103	0.0046	1.8473	0.1071	0.0479	0.3575	0.0118	0.0053	0.0872	0.0146	0.0065
2	++	5	0.365	0.0332	0.0149	0.2204	0.0304	0.0136	1.8459	0.1283	0.0574	0.3556	0.0315	0.0141	0.0853	0.0316	0.0141
2	++	6	0.3318	0.0228	0.0102	0.1872	0.0176	0.0079	1.8229	0.1203	0.0538	0.3224	0.0214	0.0096	0.0521	0.0174	0.0078
2	++	7	0.3318	0.0378	0.0169	0.1873	0.0307	0.0137	1.8229	0.1189	0.0532	0.3224	0.0363	0.0162	0.0521	0.0265	0.0119
2	++	8	0.3032	0.0273	0.0122	0.1586	0.0204	0.0091	1.8031	0.1047	0.0468	0.2937	0.0269	0.012	0.0235	0.0157	0.007
2	++	9	0.3183	0.0196	0.0088	0.1737	0.0144	0.0064	1.8135	0.1167	0.0522	0.3089	0.0183	0.0082	0.0386	0.0148	0.0066
2	++	10	0.314	0.0139	0.0062	0.1695	0.0069	0.0031	1.8106	0.107	0.0479	0.3046	0.013	0.0058	0.0343	0.0082	0.0036
2	++	11	0.3183	0.0247	0.0111	0.1738	0.0175	0.0078	1.8136	0.1068	0.0478	0.3089	0.0239	0.0107	0.0386	0.0133	0.006
2	++	12	0.2857	0.0232	0.0104	0.1411	0.0187	0.0084	1.7909	0.1002	0.0448	0.2763	0.0229	0.0102	0.006	0.0178	0.008
