motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_AP1_2_mean	log2_fc_vs_single_AP1_2_std	log2_fc_vs_single_AP1_2_sem
2	++	0	0.4624	0.0396	0.0177	0.2465	0.0409	0.0183	1.9186	0.0811	0.0363	0.3	0.0428	0.0192	0.1929	0.0402	0.018
2	++	1	0.3105	0.013	0.0058	0.0945	0.021	0.0094	1.8133	0.0963	0.0431	0.1481	0.0181	0.0081	0.041	0.0257	0.0115
2	++	2	0.3368	0.0277	0.0124	0.1208	0.0172	0.0077	1.8315	0.1088	0.0487	0.1744	0.0243	0.0109	0.0673	0.0105	0.0047
2	++	3	0.4812	0.0233	0.0104	0.2652	0.0303	0.0135	1.9316	0.1059	0.0474	0.3188	0.0258	0.0116	0.2116	0.0356	0.0159
2	++	4	0.5264	0.0452	0.0202	0.3104	0.0441	0.0197	1.9629	0.1174	0.0525	0.364	0.0441	0.0197	0.2568	0.0453	0.0203
2	++	5	0.5012	0.0387	0.0173	0.2852	0.0301	0.0135	1.9454	0.119	0.0532	0.3388	0.0347	0.0155	0.2316	0.0268	0.012
2	++	6	0.5517	0.0294	0.0132	0.3357	0.0278	0.0125	1.9804	0.094	0.042	0.3893	0.0309	0.0138	0.2821	0.0264	0.0118
2	++	7	0.4884	0.027	0.0121	0.2724	0.0228	0.0102	1.9365	0.118	0.0528	0.3259	0.023	0.0103	0.2188	0.0248	0.0111
2	++	8	0.5069	0.0253	0.0113	0.2909	0.0145	0.0065	1.9494	0.111	0.0497	0.3445	0.0209	0.0094	0.2373	0.0093	0.0042
2	++	9	0.4856	0.0385	0.0172	0.2696	0.0399	0.0178	1.9346	0.0877	0.0392	0.3232	0.0413	0.0185	0.216	0.0398	0.0178
2	++	10	0.4958	0.0211	0.0094	0.2798	0.0119	0.0053	1.9417	0.1093	0.0489	0.3334	0.0174	0.0078	0.2262	0.0094	0.0042
2	++	11	0.4668	0.0216	0.0097	0.2508	0.012	0.0053	1.9216	0.1073	0.048	0.3044	0.0186	0.0083	0.1972	0.0066	0.003
2	++	12	0.4803	0.0167	0.0075	0.2643	0.0055	0.0025	1.9309	0.11	0.0492	0.3179	0.012	0.0054	0.2107	0.0047	0.0021
2	++	13	0.5018	0.0137	0.0061	0.2858	0.0051	0.0023	1.9459	0.1066	0.0477	0.3394	0.0105	0.0047	0.2323	0.0068	0.003
2	++	14	0.4891	0.024	0.0107	0.2731	0.0164	0.0073	1.9371	0.1057	0.0473	0.3267	0.0217	0.0097	0.2196	0.0131	0.0059
2	++	15	0.5103	0.0255	0.0114	0.2943	0.0162	0.0072	1.9518	0.1083	0.0484	0.3479	0.0223	0.01	0.2407	0.0114	0.0051
2	++	16	0.5053	0.0192	0.0086	0.2893	0.0098	0.0044	1.9483	0.1073	0.048	0.3429	0.0161	0.0072	0.2358	0.0061	0.0027
2	++	17	0.4811	0.0297	0.0133	0.2651	0.0209	0.0094	1.9315	0.1126	0.0504	0.3186	0.0257	0.0115	0.2115	0.0179	0.008
2	++	18	0.4952	0.0206	0.0092	0.2792	0.0093	0.0042	1.9413	0.1109	0.0496	0.3328	0.016	0.0071	0.2257	0.0047	0.0021
2	++	19	0.4751	0.0265	0.0119	0.2591	0.0186	0.0083	1.9274	0.1158	0.0518	0.3127	0.0217	0.0097	0.2056	0.0181	0.0081
2	++	20	0.4777	0.031	0.0139	0.2617	0.0199	0.0089	1.9291	0.1174	0.0525	0.3152	0.0258	0.0115	0.2081	0.0153	0.0068
2	++	21	0.4589	0.025	0.0112	0.2429	0.0143	0.0064	1.9161	0.1081	0.0483	0.2965	0.0215	0.0096	0.1893	0.0072	0.0032
2	++	22	0.4997	0.0251	0.0112	0.2837	0.0144	0.0065	1.9444	0.1132	0.0506	0.3373	0.0203	0.0091	0.2302	0.0104	0.0047
2	++	23	0.4844	0.0304	0.0136	0.2684	0.0197	0.0088	1.9338	0.1164	0.052	0.322	0.0252	0.0113	0.2148	0.0157	0.007
2	++	24	0.5017	0.0382	0.0171	0.2857	0.0274	0.0122	1.9458	0.1215	0.0543	0.3392	0.0329	0.0147	0.2321	0.0228	0.0102
2	++	25	0.482	0.0267	0.012	0.266	0.0157	0.007	1.9321	0.1095	0.049	0.3196	0.0228	0.0102	0.2124	0.0086	0.0039
2	++	26	0.4974	0.0264	0.0118	0.2814	0.0161	0.0072	1.9428	0.1136	0.0508	0.3349	0.0215	0.0096	0.2278	0.0127	0.0057
2	++	27	0.4874	0.0227	0.0101	0.2714	0.0141	0.0063	1.9359	0.1154	0.0516	0.325	0.0173	0.0078	0.2178	0.0142	0.0063
2	++	28	0.5128	0.0323	0.0144	0.2968	0.0212	0.0095	1.9535	0.1157	0.0517	0.3504	0.0274	0.0122	0.2433	0.0158	0.0071
2	++	29	0.4934	0.0365	0.0163	0.2774	0.0249	0.0112	1.94	0.1152	0.0515	0.331	0.0319	0.0143	0.2238	0.0181	0.0081
2	++	30	0.4971	0.0281	0.0126	0.2811	0.0194	0.0087	1.9426	0.1115	0.0499	0.3346	0.0244	0.0109	0.2275	0.0162	0.0072
2	++	31	0.4917	0.023	0.0103	0.2757	0.0114	0.0051	1.9389	0.1119	0.05	0.3293	0.0182	0.0081	0.2221	0.0059	0.0026
2	++	32	0.5135	0.0305	0.0136	0.2975	0.0199	0.0089	1.954	0.1168	0.0523	0.3511	0.0254	0.0113	0.244	0.0159	0.0071
2	++	33	0.5025	0.0229	0.0102	0.2865	0.0121	0.0054	1.9463	0.1088	0.0487	0.34	0.0192	0.0086	0.2329	0.0056	0.0025
2	++	34	0.5189	0.0246	0.011	0.3029	0.0148	0.0066	1.9577	0.1085	0.0485	0.3565	0.021	0.0094	0.2493	0.0101	0.0045
2	++	35	0.4865	0.0177	0.0079	0.2705	0.0082	0.0037	1.9353	0.1107	0.0495	0.3241	0.0129	0.0057	0.2169	0.0086	0.0039
2	++	36	0.4872	0.0273	0.0122	0.2712	0.0162	0.0072	1.9357	0.116	0.0519	0.3248	0.0219	0.0098	0.2176	0.0122	0.0054
2	++	37	0.4603	0.0231	0.0104	0.2443	0.0119	0.0053	1.9171	0.1124	0.0503	0.2979	0.0184	0.0082	0.1907	0.0068	0.0031
2	++	38	0.4846	0.0256	0.0115	0.2686	0.0157	0.007	1.9339	0.1137	0.0508	0.3222	0.0209	0.0093	0.215	0.0126	0.0057
2	++	39	0.4813	0.0281	0.0126	0.2653	0.0168	0.0075	1.9316	0.1146	0.0513	0.3189	0.0232	0.0104	0.2117	0.0113	0.0051
2	++	40	0.4844	0.0257	0.0115	0.2684	0.0151	0.0068	1.9338	0.1152	0.0515	0.322	0.0207	0.0093	0.2148	0.0115	0.0051
2	++	41	0.4688	0.017	0.0076	0.2528	0.0061	0.0027	1.923	0.1092	0.0488	0.3064	0.0128	0.0057	0.1992	0.004	0.0018
2	++	42	0.506	0.0219	0.0098	0.29	0.0112	0.005	1.9488	0.1114	0.0498	0.3436	0.0173	0.0077	0.2364	0.0075	0.0034
2	++	43	0.4953	0.0221	0.0099	0.2794	0.0118	0.0053	1.9414	0.1131	0.0506	0.3329	0.0171	0.0077	0.2258	0.0094	0.0042
2	++	44	0.4986	0.029	0.013	0.2826	0.0181	0.0081	1.9436	0.116	0.0519	0.3361	0.024	0.0107	0.229	0.0137	0.0061
2	++	45	0.4864	0.0277	0.0124	0.2704	0.0166	0.0074	1.9352	0.1119	0.0501	0.324	0.0235	0.0105	0.2169	0.0101	0.0045
2	++	46	0.4969	0.0262	0.0117	0.2809	0.0169	0.0076	1.9424	0.1101	0.0492	0.3344	0.0227	0.0102	0.2273	0.0127	0.0057
