motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_Ebox_mean	log2_fc_vs_single_Ebox_std	log2_fc_vs_single_Ebox_sem
2	++	0	0.2021	0.0164	0.0073	0.1138	0.0176	0.0079	1.7125	0.1006	0.045	0.0257	0.0197	0.0088	0.2019	0.0159	0.0071
2	++	1	0.2087	0.0265	0.0119	0.1204	0.0235	0.0105	1.7171	0.1142	0.0511	0.0323	0.0207	0.0093	0.2085	0.0263	0.0118
2	++	2	0.1788	0.005	0.0022	0.0904	0.0046	0.0021	1.6963	0.1048	0.0469	0.0023	0.0063	0.0028	0.1786	0.0051	0.0023
2	++	3	0.2057	0.0091	0.0041	0.1173	0.007	0.0031	1.715	0.1062	0.0475	0.0292	0.0049	0.0022	0.2055	0.0098	0.0044
2	++	4	0.1961	0.0142	0.0064	0.1078	0.0144	0.0065	1.7083	0.1077	0.0482	0.0197	0.0147	0.0066	0.1959	0.0149	0.0067
2	++	5	0.204	0.0113	0.0051	0.1157	0.0106	0.0047	1.7138	0.1092	0.0488	0.0276	0.0124	0.0055	0.2038	0.0098	0.0044
2	++	6	0.1888	0.0122	0.0055	0.1004	0.0117	0.0052	1.7033	0.1072	0.0479	0.0123	0.013	0.0058	0.1885	0.0113	0.005
2	++	7	0.1928	0.012	0.0054	0.1045	0.0103	0.0046	1.7061	0.1092	0.0488	0.0164	0.0104	0.0047	0.1926	0.0112	0.005
2	++	8	0.1949	0.0091	0.0041	0.1066	0.0057	0.0026	1.7075	0.1095	0.049	0.0185	0.0037	0.0017	0.1947	0.0086	0.0038
2	++	9	0.2093	0.0116	0.0052	0.121	0.0105	0.0047	1.7175	0.1086	0.0485	0.0329	0.0113	0.005	0.2091	0.0108	0.0048
2	++	10	0.1881	0.0104	0.0047	0.0998	0.0103	0.0046	1.7028	0.1035	0.0463	0.0117	0.0119	0.0053	0.1879	0.0095	0.0043
2	++	11	0.2126	0.0085	0.0038	0.1242	0.0063	0.0028	1.7198	0.1092	0.0488	0.0361	0.0071	0.0032	0.2124	0.0072	0.0032
2	++	12	0.1856	0.0057	0.0025	0.0973	0.0026	0.0012	1.7011	0.1072	0.0479	0.0092	0.0028	0.0012	0.1854	0.0053	0.0024
2	++	13	0.2035	0.0097	0.0044	0.1152	0.0081	0.0036	1.7135	0.1091	0.0488	0.0271	0.008	0.0036	0.2033	0.0094	0.0042
2	++	14	0.1895	0.0116	0.0052	0.1012	0.0103	0.0046	1.7038	0.1066	0.0477	0.0131	0.0115	0.0051	0.1893	0.0102	0.0046
2	++	15	0.1829	0.0107	0.0048	0.0946	0.0082	0.0037	1.6992	0.1097	0.049	0.0065	0.0082	0.0036	0.1827	0.0096	0.0043
2	++	16	0.1736	0.0074	0.0033	0.0853	0.0057	0.0025	1.6928	0.107	0.0478	-0.0028	0.0072	0.0032	0.1734	0.0059	0.0027
2	++	17	0.1831	0.01	0.0045	0.0947	0.0079	0.0035	1.6993	0.1084	0.0485	0.0066	0.0086	0.0039	0.1829	0.0085	0.0038
2	++	18	0.1799	0.0093	0.0042	0.0916	0.0068	0.003	1.6971	0.1089	0.0487	0.0035	0.0072	0.0032	0.1797	0.0079	0.0036
2	++	19	0.1831	0.0071	0.0032	0.0948	0.0059	0.0026	1.6993	0.1067	0.0477	0.0067	0.0075	0.0034	0.1829	0.0059	0.0027
2	++	20	0.1758	0.0076	0.0034	0.0875	0.0051	0.0023	1.6943	0.1081	0.0483	-0.0006	0.0058	0.0026	0.1756	0.0064	0.0029
