motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_REST_mean	log2_fc_vs_single_REST_std	log2_fc_vs_single_REST_sem
2	++	0	0.2096	0.0192	0.0086	0.1223	0.0171	0.0077	1.7486	0.1038	0.0464	0.0447	0.0196	0.0088	0.1999	0.0148	0.0066
2	++	1	0.2059	0.0207	0.0093	0.1186	0.0184	0.0082	1.746	0.1017	0.0455	0.041	0.0206	0.0092	0.1962	0.0164	0.0073
2	++	2	0.206	0.0128	0.0057	0.1187	0.0116	0.0052	1.7461	0.1004	0.0449	0.0411	0.0142	0.0064	0.1963	0.0093	0.0041
2	++	3	0.1831	0.0129	0.0058	0.0957	0.0103	0.0046	1.7302	0.1095	0.049	0.0181	0.0092	0.0041	0.1733	0.012	0.0054
2	++	4	0.1853	0.0116	0.0052	0.098	0.0097	0.0043	1.7317	0.1029	0.046	0.0203	0.0122	0.0054	0.1756	0.0075	0.0033
2	++	5	0.1989	0.017	0.0076	0.1115	0.0163	0.0073	1.7411	0.1006	0.045	0.0339	0.0179	0.008	0.1891	0.0152	0.0068
2	++	6	0.1806	0.023	0.0103	0.0932	0.0192	0.0086	1.7284	0.1095	0.049	0.0156	0.021	0.0094	0.1708	0.0176	0.0079
2	++	7	0.1854	0.0074	0.0033	0.0981	0.0097	0.0043	1.7318	0.0982	0.0439	0.0205	0.0116	0.0052	0.1757	0.0083	0.0037
2	++	8	0.2043	0.0191	0.0085	0.117	0.0154	0.0069	1.7449	0.1083	0.0485	0.0394	0.0163	0.0073	0.1946	0.015	0.0067
2	++	9	0.1909	0.0098	0.0044	0.1035	0.0053	0.0023	1.7356	0.1064	0.0476	0.0259	0.0064	0.0028	0.1812	0.0057	0.0026
2	++	10	0.1999	0.0173	0.0077	0.1125	0.0131	0.0059	1.7418	0.1091	0.0488	0.0349	0.0135	0.006	0.1901	0.0134	0.006
2	++	11	0.2003	0.0124	0.0056	0.1129	0.0095	0.0042	1.7421	0.1048	0.0469	0.0353	0.0117	0.0052	0.1905	0.0078	0.0035
2	++	12	0.1796	0.0152	0.0068	0.0923	0.0113	0.0051	1.7278	0.1077	0.0482	0.0147	0.013	0.0058	0.1699	0.0102	0.0046
2	++	13	0.1806	0.01	0.0045	0.0932	0.0079	0.0035	1.7284	0.1037	0.0464	0.0156	0.0098	0.0044	0.1709	0.0068	0.003
2	++	14	0.1959	0.0187	0.0084	0.1085	0.014	0.0063	1.739	0.112	0.0501	0.0309	0.0145	0.0065	0.1861	0.0141	0.0063
2	++	15	0.1898	0.0108	0.0048	0.1024	0.0068	0.0031	1.7348	0.1066	0.0477	0.0248	0.0085	0.0038	0.18	0.0062	0.0028
2	++	16	0.1699	0.015	0.0067	0.0826	0.0104	0.0047	1.7211	0.1084	0.0485	0.005	0.0116	0.0052	0.1602	0.01	0.0045
2	++	17	0.1735	0.0121	0.0054	0.0861	0.0083	0.0037	1.7235	0.1076	0.0481	0.0085	0.0092	0.0041	0.1638	0.0084	0.0037
2	++	18	0.1819	0.0156	0.007	0.0946	0.0111	0.005	1.7294	0.1081	0.0484	0.017	0.0126	0.0056	0.1722	0.0104	0.0046
2	++	19	0.1764	0.0088	0.0039	0.0891	0.0044	0.002	1.7255	0.1053	0.0471	0.0114	0.0065	0.0029	0.1667	0.0038	0.0017
2	++	20	0.1678	0.009	0.004	0.0805	0.0053	0.0024	1.7196	0.1056	0.0472	0.0028	0.0073	0.0033	0.1581	0.0046	0.0021
2	++	21	0.1715	0.0059	0.0027	0.0841	0.0049	0.0022	1.7221	0.1027	0.0459	0.0065	0.0075	0.0033	0.1617	0.0032	0.0014
2	++	22	0.1745	0.0155	0.0069	0.0872	0.0116	0.0052	1.7242	0.1059	0.0474	0.0096	0.0135	0.006	0.1648	0.0103	0.0046
2	++	23	0.1775	0.0101	0.0045	0.0902	0.0084	0.0038	1.7263	0.1024	0.0458	0.0126	0.0112	0.005	0.1678	0.0059	0.0026
2	++	24	0.1656	0.014	0.0063	0.0783	0.0105	0.0047	1.7181	0.1055	0.0472	0.0007	0.0127	0.0057	0.1559	0.0089	0.004
2	++	25	0.1644	0.0076	0.0034	0.0771	0.0049	0.0022	1.7172	0.1043	0.0466	-0.0006	0.0071	0.0032	0.1547	0.0041	0.0018
2	++	26	0.1709	0.0111	0.005	0.0836	0.0067	0.003	1.7217	0.1062	0.0475	0.0059	0.0082	0.0037	0.1612	0.0064	0.0029
2	++	27	0.1692	0.0091	0.0041	0.0818	0.007	0.0031	1.7205	0.1022	0.0457	0.0042	0.0095	0.0043	0.1594	0.0051	0.0023
2	++	28	0.1596	0.014	0.0062	0.0723	0.0098	0.0044	1.7139	0.1064	0.0476	-0.0053	0.0117	0.0052	0.1499	0.0085	0.0038
2	++	29	0.1609	0.0103	0.0046	0.0736	0.0062	0.0028	1.7148	0.1055	0.0472	-0.004	0.0081	0.0036	0.1512	0.0054	0.0024
2	++	30	0.167	0.0161	0.0072	0.0797	0.0118	0.0053	1.7191	0.1076	0.0481	0.0021	0.0131	0.0059	0.1573	0.0112	0.005
2	++	31	0.1632	0.0123	0.0055	0.0759	0.0083	0.0037	1.7164	0.1054	0.0472	-0.0017	0.0104	0.0046	0.1535	0.007	0.0031
2	++	32	0.1634	0.0141	0.0063	0.0761	0.0106	0.0047	1.7166	0.1052	0.0471	-0.0015	0.0122	0.0054	0.1537	0.0097	0.0043
2	++	33	0.1636	0.0104	0.0047	0.0762	0.0081	0.0036	1.7167	0.1023	0.0458	-0.0014	0.0104	0.0047	0.1539	0.0063	0.0028
2	++	34	0.167	0.0121	0.0054	0.0796	0.0085	0.0038	1.719	0.1045	0.0467	0.002	0.0106	0.0048	0.1572	0.0071	0.0032
2	++	35	0.1656	0.0099	0.0044	0.0783	0.0089	0.004	1.7181	0.1004	0.0449	0.0007	0.0117	0.0052	0.1559	0.0062	0.0028
2	++	36	0.1545	0.012	0.0054	0.0671	0.0084	0.0038	1.7103	0.1045	0.0467	-0.0105	0.0105	0.0047	0.1447	0.0069	0.0031
2	++	37	0.1526	0.0097	0.0043	0.0653	0.007	0.0031	1.7091	0.1031	0.0461	-0.0123	0.0092	0.0041	0.1429	0.0056	0.0025
2	++	38	0.1463	0.011	0.0049	0.0589	0.0074	0.0033	1.7047	0.1045	0.0467	-0.0187	0.0095	0.0043	0.1366	0.0061	0.0027
