motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	++	0	0.536	0.042	0.0188	0.3629	0.0411	0.0184	1.9688	0.1279	0.0572
2	++	1	0.3393	0.0353	0.0158	0.1662	0.0337	0.0151	1.8324	0.1214	0.0543
2	++	2	0.3015	0.0172	0.0077	0.1285	0.0172	0.0077	1.8063	0.1065	0.0476
2	++	3	0.2502	0.0249	0.0111	0.0771	0.0241	0.0108	1.7707	0.1114	0.0498
2	++	4	0.2978	0.0143	0.0064	0.1247	0.015	0.0067	1.8037	0.1063	0.0475
2	++	5	0.2606	0.014	0.0062	0.0875	0.0108	0.0048	1.7779	0.1064	0.0476
2	++	6	0.2527	0.0252	0.0113	0.0797	0.0226	0.0101	1.7725	0.1163	0.052
2	++	7	0.2065	0.0114	0.0051	0.0335	0.0095	0.0042	1.7404	0.1072	0.0479
2	++	8	0.2529	0.02	0.0089	0.0798	0.0192	0.0086	1.7726	0.1092	0.0489
2	++	9	0.2567	0.0162	0.0073	0.0836	0.0135	0.006	1.7752	0.1099	0.0491
2	++	10	0.2614	0.025	0.0112	0.0883	0.0226	0.0101	1.7784	0.113	0.0505
2	++	11	0.2928	0.013	0.0058	0.1198	0.0117	0.0052	1.8003	0.1089	0.0487
2	++	12	0.296	0.0166	0.0074	0.123	0.015	0.0067	1.8025	0.1099	0.0492
2	++	13	0.301	0.0138	0.0062	0.1279	0.0166	0.0074	1.8059	0.0993	0.0444
2	++	14	0.315	0.0179	0.008	0.1419	0.0162	0.0072	1.8156	0.1046	0.0468
2	++	15	0.3042	0.0102	0.0045	0.1312	0.0083	0.0037	1.8081	0.1054	0.0471
2	++	16	0.3127	0.0158	0.007	0.1396	0.0128	0.0057	1.814	0.1079	0.0482
2	++	17	0.3662	0.0163	0.0073	0.1932	0.0168	0.0075	1.8511	0.1031	0.0461
2	++	18	0.3205	0.0188	0.0084	0.1474	0.0159	0.0071	1.8194	0.1123	0.0502
2	++	19	0.3481	0.0061	0.0027	0.175	0.0086	0.0038	1.8386	0.1014	0.0453
2	++	20	0.3409	0.021	0.0094	0.1679	0.0179	0.008	1.8336	0.113	0.0505
2	++	21	0.3693	0.0143	0.0064	0.1963	0.0162	0.0073	1.8533	0.0973	0.0435
2	++	22	0.3396	0.0177	0.0079	0.1665	0.0145	0.0065	1.8326	0.1074	0.048
2	++	23	0.3764	0.0066	0.0029	0.2033	0.0054	0.0024	1.8581	0.1031	0.0461
2	++	24	0.3483	0.0209	0.0093	0.1752	0.0174	0.0078	1.8387	0.1122	0.0502
2	++	25	0.4132	0.0191	0.0086	0.2402	0.0196	0.0088	1.8837	0.1053	0.0471
