motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
4	++++	0	0.8422	0.1188	0.0531	0.6772	0.1172	0.0524	2.1636	0.1556	0.0696
4	++++	1	0.3283	0.0675	0.0302	0.1634	0.0648	0.029	1.8074	0.1467	0.0656
4	++++	2	0.4076	0.0385	0.0172	0.2426	0.0381	0.0171	1.8623	0.1107	0.0495
4	++++	3	0.3299	0.0428	0.0192	0.1649	0.0437	0.0196	1.8085	0.1042	0.0466
4	++++	4	0.5296	0.056	0.0251	0.3646	0.0587	0.0263	1.9469	0.0912	0.0408
4	++++	5	0.3732	0.0352	0.0158	0.2082	0.0312	0.014	1.8385	0.1149	0.0514
4	++++	6	0.4632	0.0561	0.0251	0.2982	0.0547	0.0245	1.9008	0.1424	0.0637
4	++++	7	0.3008	0.0167	0.0075	0.1358	0.0182	0.0081	1.7883	0.1122	0.0502
4	++++	8	0.4734	0.0512	0.0229	0.3085	0.0525	0.0235	1.9079	0.122	0.0546
4	++++	9	0.4739	0.0329	0.0147	0.3089	0.0286	0.0128	1.9082	0.1234	0.0552
4	++++	10	0.5783	0.0764	0.0342	0.4134	0.0757	0.0339	1.9807	0.1353	0.0605
4	++++	11	0.6181	0.035	0.0157	0.4531	0.0327	0.0146	2.0082	0.1126	0.0503
4	++++	12	0.7126	0.0621	0.0278	0.5476	0.0632	0.0283	2.0737	0.135	0.0604
4	++++	13	0.645	0.056	0.025	0.48	0.0559	0.025	2.0269	0.0899	0.0402
4	++++	14	0.7535	0.0472	0.0211	0.5885	0.05	0.0224	2.1021	0.1091	0.0488
4	++++	15	0.6837	0.0343	0.0153	0.5187	0.0307	0.0137	2.0537	0.11	0.0492
4	++++	16	0.7578	0.0461	0.0206	0.5928	0.0478	0.0214	2.105	0.1206	0.0539
4	++++	17	0.8594	0.0677	0.0303	0.6944	0.0654	0.0293	2.1755	0.1169	0.0523
4	++++	18	0.8272	0.0384	0.0172	0.6623	0.0378	0.0169	2.1532	0.1276	0.0571
4	++++	19	0.8053	0.0546	0.0244	0.6403	0.0553	0.0247	2.138	0.0897	0.0401
4	++++	20	0.8787	0.056	0.025	0.7137	0.0548	0.0245	2.1888	0.1361	0.0609
4	++++	21	0.8971	0.0701	0.0314	0.7321	0.0685	0.0306	2.2016	0.0948	0.0424
4	++++	22	0.8544	0.0315	0.0141	0.6894	0.0306	0.0137	2.172	0.1153	0.0516
4	++++	23	0.9073	0.0311	0.0139	0.7423	0.0284	0.0127	2.2087	0.1025	0.0458
4	++++	24	0.8347	0.0421	0.0188	0.6697	0.039	0.0174	2.1584	0.1308	0.0585
4	++++	25	0.9237	0.0499	0.0223	0.7588	0.0498	0.0223	2.2201	0.1209	0.0541
4	++++	26	0.8467	0.0479	0.0214	0.6817	0.0454	0.0203	2.1667	0.1368	0.0612
4	++++	27	1.0098	0.0832	0.0372	0.8448	0.0808	0.0361	2.2797	0.122	0.0546
4	++++	28	0.8326	0.0521	0.0233	0.6676	0.0488	0.0218	2.1569	0.1391	0.0622
4	++++	29	0.9077	0.0454	0.0203	0.7427	0.0432	0.0193	2.2089	0.1267	0.0567
4	++++	30	0.8045	0.0444	0.0199	0.6395	0.0412	0.0184	2.1374	0.1289	0.0577
4	++++	31	0.9067	0.0466	0.0208	0.7417	0.044	0.0197	2.2083	0.1154	0.0516
4	++++	32	0.8193	0.0473	0.0211	0.6543	0.0446	0.02	2.1477	0.1343	0.0601
4	++++	33	0.881	0.0246	0.011	0.716	0.024	0.0107	2.1904	0.1096	0.049
4	++++	34	0.8047	0.0348	0.0156	0.6397	0.0328	0.0147	2.1375	0.1261	0.0564
4	++++	35	0.9217	0.0468	0.0209	0.7567	0.0455	0.0203	2.2186	0.1292	0.0578
4	++++	36	0.7938	0.0416	0.0186	0.6289	0.0384	0.0172	2.13	0.1316	0.0589
4	++++	37	0.8725	0.0377	0.0169	0.7075	0.0373	0.0167	2.1845	0.1238	0.0554
4	++++	38	0.7986	0.0443	0.0198	0.6336	0.0411	0.0184	2.1333	0.1301	0.0582
4	++++	39	0.8944	0.0331	0.0148	0.7294	0.0326	0.0146	2.1997	0.1165	0.0521
4	++++	40	0.7858	0.0357	0.016	0.6208	0.033	0.0148	2.1244	0.1278	0.0572
4	++++	41	0.8535	0.0275	0.0123	0.6885	0.028	0.0125	2.1714	0.1171	0.0524
4	++++	42	0.7857	0.0364	0.0163	0.6207	0.0335	0.015	2.1244	0.1256	0.0562
4	++++	43	0.8776	0.0366	0.0164	0.7126	0.0347	0.0155	2.1881	0.1202	0.0537
4	++++	44	0.7709	0.0454	0.0203	0.606	0.0422	0.0189	2.1142	0.1339	0.0599
4	++++	45	0.8263	0.0264	0.0118	0.6614	0.0262	0.0117	2.1526	0.1185	0.053
4	++++	46	0.7411	0.0372	0.0167	0.5762	0.0346	0.0155	2.0935	0.1275	0.057
4	++++	47	0.8269	0.0231	0.0103	0.6619	0.0223	0.01	2.153	0.1139	0.0509
4	++++	48	0.751	0.0247	0.011	0.586	0.0222	0.0099	2.1003	0.1189	0.0532
4	++++	49	0.7964	0.0125	0.0056	0.6315	0.0123	0.0055	2.1318	0.1091	0.0488
4	++++	50	0.7407	0.0318	0.0142	0.5757	0.0281	0.0125	2.0932	0.1228	0.0549
4	++--	0	0.7707	0.1043	0.0467	0.6057	0.1026	0.0459	2.114	0.1458	0.0652
4	++--	1	0.6001	0.0761	0.034	0.4351	0.0751	0.0336	1.9957	0.1462	0.0654
4	++--	2	0.7071	0.1281	0.0573	0.5421	0.1285	0.0575	2.0699	0.1579	0.0706
4	++--	3	0.526	0.039	0.0174	0.361	0.0382	0.0171	1.9444	0.1301	0.0582
4	++--	4	0.7415	0.056	0.0251	0.5765	0.0603	0.0269	2.0937	0.1026	0.0459
4	++--	5	0.4795	0.0364	0.0163	0.3145	0.0369	0.0165	1.9122	0.1048	0.0469
4	++--	6	0.5227	0.0422	0.0189	0.3577	0.0415	0.0185	1.9421	0.1287	0.0576
4	++--	7	0.4181	0.0377	0.0169	0.2531	0.037	0.0166	1.8696	0.128	0.0572
4	++--	8	0.5707	0.0626	0.028	0.4058	0.063	0.0282	1.9754	0.1267	0.0567
4	++--	9	0.551	0.0461	0.0206	0.386	0.0433	0.0194	1.9617	0.1329	0.0594
4	++--	10	0.6093	0.0652	0.0291	0.4443	0.0652	0.0292	2.0021	0.1256	0.0562
4	++--	11	0.6272	0.025	0.0112	0.4623	0.0227	0.0102	2.0146	0.121	0.0541
4	++--	12	0.7321	0.0357	0.016	0.5671	0.0349	0.0156	2.0872	0.1218	0.0545
4	++--	13	0.6877	0.0288	0.0129	0.5227	0.0277	0.0124	2.0564	0.1142	0.0511
4	++--	14	0.7451	0.0342	0.0153	0.5802	0.0345	0.0154	2.0963	0.1195	0.0534
4	++--	15	0.6977	0.0364	0.0163	0.5327	0.0317	0.0142	2.0634	0.125	0.0559
4	++--	16	0.7694	0.0385	0.0172	0.6044	0.0371	0.0166	2.1131	0.1262	0.0564
4	++--	17	0.8043	0.039	0.0174	0.6394	0.0352	0.0158	2.1373	0.1177	0.0526
4	++--	18	0.7806	0.0339	0.0152	0.6157	0.0337	0.0151	2.1209	0.1242	0.0555
4	++--	19	0.7854	0.0231	0.0103	0.6204	0.0206	0.0092	2.1242	0.1117	0.0499
4	++--	20	0.8181	0.0455	0.0203	0.6531	0.043	0.0192	2.1468	0.1337	0.0598
4	++--	21	0.8212	0.0364	0.0163	0.6563	0.0335	0.015	2.149	0.1039	0.0464
4	++--	22	0.8115	0.0313	0.014	0.6465	0.0295	0.0132	2.1422	0.1189	0.0532
