motif1_name	motif2_name	max_log2fc_orientation	max_log2fc_spacing	max_log2fc_value	max_synergy_orientation	max_synergy_spacing	max_synergy_value	same_optimal_config
AP1_2	AP1_2	+-	9	0.7311227563455475	+-	9	0.18565843608717775	True
AP1_2	CREB_ATF_1	-+	0	0.456230038367501	-+	0	0.09995676061168188	True
AP1_2	CREB_ATF_3	++	9	0.7311227563455475	++	9	0.18680907096429342	True
AP1_2	CTCF	-+	0	0.598081904941026	-+	0	0.20639454553544176	True
AP1_2	E2F	-+	0	0.6205075741011493	-+	0	0.3404900397004999	True
AP1_2	ETS	--	0	0.5718555739812203	--	0	0.2493030237960722	True
AP1_2	Ebox_CACGTG	-+	0	0.32672822015503666	-+	0	0.05417422545301313	True
AP1_2	GATA	--	36	0.5142778978589575	--	36	0.0806970244059424	True
AP1_2	Grepeats	-+	18	0.6032949656617865	-+	18	0.07599412012200243	True
AP1_2	NFI	-+	0	0.5015014873081428	-+	0	0.2215817981371356	True
AP1_2	NFY	-+	0	0.4165560227731654	-+	0	0.15704833959508813	True
AP1_2	NRF1	++	0	0.6426785799510075	++	0	0.3318719847661983	True
AP1_2	REST	--	0	0.4091375898242946	--	0	0.14480495917365885	True
AP1_2	RFX_1	-+	9	0.28403950347546186	-+	9	0.03173667645691994	True
AP1_2	STAT	-+	0	0.6839478034251559	-+	0	0.18754365831114062	True
AP1_2	TATAbox	-+	0	0.29623356787175625	-+	0	0.03505026770265998	True
CREB_ATF_1	CREB_ATF_1	++	0	0.28262818804508405	++	0	0.11554594956714088	True
CREB_ATF_1	CREB_ATF_3	+-	0	0.4488585695810145	+-	0	0.09373591165382913	True
CREB_ATF_1	CTCF	++	0	0.28555880251275023	++	0	0.08306249098417452	True
CREB_ATF_1	E2F	++	0	0.22585287333280726	++	0	0.13502637498535913	True
CREB_ATF_1	ETS	+-	0	0.21653233161344204	+-	0	0.08317081318192894	True
CREB_ATF_1	Ebox_CACGTG	++	18	0.09472460874178396	++	18	0.01136166272293758	True
CREB_ATF_1	GATA	++	0	0.35759021878142744	++	0	0.113200387830963	True
CREB_ATF_1	Grepeats	++	18	0.4177438725461447	++	18	0.07963407810804383	True
CREB_ATF_1	NFI	++	36	0.10543776062846255	++	36	0.01470911409436742	True
CREB_ATF_1	NFY	+-	9	0.07196096035107655	+-	9	0.0016443128063209599	True
CREB_ATF_1	NRF1	++	0	0.19268890412288284	++	0	0.0710733471410579	True
CREB_ATF_1	REST	++	18	0.08680157224593228	++	18	0.011659958837895262	True
CREB_ATF_1	RFX_1	++	36	0.07137415554633264	++	36	0.008262357930100338	True
CREB_ATF_1	STAT	++	0	0.4159046212847575	++	0	0.10869151759840116	True
CREB_ATF_1	TATAbox	+-	0	0.058289604754858684	+-	0	-0.013702665104988122	True
CREB_ATF_3	CREB_ATF_3	-+	9	0.7311227563455475	-+	9	0.18795971014097537	True
CREB_ATF_3	CTCF	++	0	0.598081904941026	++	0	0.20754518041255748	True
CREB_ATF_3	E2F	++	0	0.6205075741011493	++	0	0.34164066812826616	True
CREB_ATF_3	ETS	+-	0	0.5718555739812203	+-	0	0.250453660822971	True
CREB_ATF_3	Ebox_CACGTG	++	0	0.32672822015503666	++	0	0.055324863554803504	True
CREB_ATF_3	GATA	+-	36	0.5142778978589575	+-	36	0.08184766680729903	True
CREB_ATF_3	Grepeats	++	18	0.6032949656617865	++	18	0.07714476144846752	True
CREB_ATF_3	NFI	++	0	0.5015014873081428	++	0	0.22273243516403443	True
CREB_ATF_3	NFY	++	0	0.4165560227731654	++	0	0.15819898522111947	True
CREB_ATF_3	NRF1	-+	0	0.6426785799510075	-+	0	0.33302264329092846	True
CREB_ATF_3	REST	+-	0	0.4091375898242946	+-	0	0.14595559297588295	True
CREB_ATF_3	RFX_1	++	9	0.28403950347546186	++	9	0.03288731697721634	True
CREB_ATF_3	STAT	++	0	0.6839478034251559	++	0	0.1886942931882563	True
CREB_ATF_3	TATAbox	++	0	0.29623356787175625	++	0	0.03620090810539012	True
CTCF	CTCF	-+	0	0.2861779529545551	-+	0	0.048267558701322835	True
CTCF	E2F	--	0	0.16882198380221583	--	0	0.042581396280761616	True
CTCF	ETS	-+	0	0.26145512012598976	-+	0	0.0926795307936273	True
CTCF	Ebox_CACGTG	-+	36	0.13874611787291885	-+	36	0.019969095041319516	True
CTCF	GATA	-+	9	0.3840940652462317	-+	9	0.10429020531568893	True
CTCF	Grepeats	-+	0	0.48786705531217367	-+	0	0.11434321469572947	True
CTCF	NFI	++	0	0.1665254306721844	++	0	0.040382737691023005	True
CTCF	NFY	-+	0	0.11745197201783404	-+	0	0.011721293830277282	True
CTCF	NRF1	++	0	0.26614365955901637	++	0	0.10911408649581204	True
CTCF	REST	--	36	0.1240033436834643	--	36	0.01344770304204786	True
CTCF	RFX_1	++	0	0.1365861232672388	++	0	0.03806028491430174	True
CTCF	STAT	++	9	0.41313799657425526	++	9	0.07051086229548338	True
CTCF	TATAbox	--	0	0.10361389321519505	--	0	-0.0037923983692119204	True
E2F	E2F	--	36	0.02722536984825804	--	36	0.0126546289639314	True
E2F	ETS	++	0	0.10805854405103314	++	0	0.050952807133340404	True
E2F	Ebox_CACGTG	-+	36	0.00829492927759546	-+	36	0.00118775376332848	True
E2F	GATA	-+	0	0.42985975792892317	-+	0	0.2617257025803753	True
E2F	Grepeats	++	0	0.3150910570800674	++	0	0.05323701835838927	True
E2F	NFI	-+	0	0.0331874464541045	-+	0	0.018714566452528458	True
E2F	NFY	-+	0	0.0007010256043385201	-+	0	0.00664014973982492	True
E2F	NRF1	++	0	0.08774750262307537	++	0	0.04238772164625152	True
E2F	REST	--	0	0.01152572694993302	--	0	0.01263988642299346	True
E2F	RFX_1	++	36	-0.00990325528525952	++	36	0.0032407126569067198	True
E2F	STAT	-+	0	0.36005792474603127	-+	0	0.1291005832254471	True
E2F	TATAbox	--	0	-0.00677326012119514	--	0	-0.00250975706635422	True
ETS	ETS	++	0	0.19479334188298486	++	0	0.09515256177105846	True
ETS	Ebox_CACGTG	++	0	0.06906064062735988	++	0	0.01941842406024474	True
ETS	GATA	-+	9	0.33162865941219133	-+	9	0.12095955065794006	True
ETS	Grepeats	--	0	0.38362535662826897	--	0	0.07923629191062226	True
ETS	NFI	++	0	0.12085200238211458	++	0	0.06384408113454582	True
ETS	NFY	-+	0	0.05285204164378228	-+	0	0.01625612067878204	True
ETS	NRF1	-+	0	0.11207734757017826	-+	0	0.02418252313039784	True
ETS	REST	+-	27	0.056724004763283375	+-	27	0.015303127928134281	True
ETS	RFX_1	-+	0	0.119633979327933	-+	0	0.0902429042438175	True
ETS	STAT	++	0	0.4011452206725307	++	0	0.12765282413390563	True
ETS	TATAbox	++	36	0.03177309956078232	++	36	-0.0064984389662729805	True
Ebox_CACGTG	Ebox_CACGTG	++	36	0.00252585722893284	++	36	0.0028821994242012403	True
Ebox_CACGTG	GATA	++	9	0.5692705371526315	++	9	0.408599963458565	True
Ebox_CACGTG	Grepeats	++	0	0.32907299722037	++	0	0.07468247401225746	True
Ebox_CACGTG	NFI	++	36	0.014215883706343501	++	36	0.007206523316357119	True
Ebox_CACGTG	NFY	+-	36	-0.014152183616608499	+-	36	-0.000749540186541481	True
Ebox_CACGTG	NRF1	++	0	0.05331188401864719	++	0	0.0154156219144251	True
Ebox_CACGTG	REST	++	27	0.00020476798575584011	++	27	0.008782451134839619	True
Ebox_CACGTG	RFX_1	++	36	-0.0217508817933185	++	36	-0.0011433932654420598	True
Ebox_CACGTG	STAT	++	9	0.2390335312542581	++	9	0.015539704306709378	True
Ebox_CACGTG	TATAbox	+-	0	-0.014878370820214041	+-	0	-0.0031513466626863413	True
GATA	GATA	--	0	0.5571498620530265	--	0	0.2354524698018962	True
GATA	Grepeats	-+	27	0.5212645554641384	-+	27	0.10584718682667286	True
GATA	NFI	-+	0	0.242592127472851	-+	0	0.0745559291777526	True
GATA	NFY	++	0	0.17459487599871557	++	0	0.02697067012604106	True
GATA	NRF1	++	0	0.40798162133521904	++	0	0.20905851165186085	True
GATA	REST	-+	9	0.5598655369032107	-+	9	0.4074163745557609	True
GATA	RFX_1	++	0	0.20563930522200913	++	0	0.06521995174674951	True
GATA	STAT	-+	18	0.4620134451533178	-+	18	0.07749277264205467	True
GATA	TATAbox	-+	0	0.24592093337205984	-+	0	0.09662111517742657	True
Grepeats	Grepeats	-+	36	0.5110598530864706	-+	36	0.00192252028956146	True
Grepeats	NFI	++	0	0.30922367976496673	++	0	0.04746751153288254	True
Grepeats	NFY	-+	0	0.2676159772356553	-+	0	0.026271804247585316	True
Grepeats	NRF1	-+	0	0.36980189850073647	-+	0	0.07715881458082616	True
Grepeats	REST	-+	0	0.26957998041241205	-+	0	0.02341085602171142	True
Grepeats	RFX_1	++	0	0.26241046655326755	++	0	0.02827109332651606	True
Grepeats	STAT	-+	9	0.5524239507899675	-+	9	0.07418326803328472	True
Grepeats	TATAbox	++	27	0.23485802466788774	++	27	-0.008161816360152948	True
NFI	NFI	++	27	0.024182156189288838	++	27	0.00980709824000552	True
NFI	NFY	++	36	-0.007067677288387861	++	36	-0.00103073431688592	True
NFI	NRF1	++	27	0.058884579810410134	++	27	0.0136226162504091	True
NFI	REST	+-	36	0.00524979920452698	+-	36	0.006461784290458421	True
NFI	RFX_1	++	27	-0.011210060520057439	++	27	0.00203172910490754	True
NFI	STAT	++	36	0.25037448001051377	++	36	0.01951497108959578	True
NFI	TATAbox	+-	27	-0.00952683202030406	+-	27	-0.00516550899577286	True
NFY	NFY	-+	0	-0.0163998247463731	-+	0	0.010049122572131	True
NFY	NRF1	++	36	0.024529080398778	++	36	-0.00032088137338641875	True
NFY	REST	+-	0	-0.0108190571655498	+-	0	0.010804928278528381	True
NFY	RFX_1	++	36	-0.03428453345798248	++	36	-0.0006307395133074201	True
NFY	STAT	++	0	0.3506468836059989	++	0	0.14019936697314334	True
NFY	TATAbox	+-	0	-0.018426459570646442	+-	0	0.00634686508006758	True
NRF1	NRF1	++	27	0.09463336549615183	++	27	0.0184844986095777	True
NRF1	REST	++	36	0.03872144346219436	++	36	0.00904652145943222	True
NRF1	RFX_1	++	27	0.02151268931527112	++	27	0.0038675767473378003	True
NRF1	STAT	++	27	0.28748200710515615	++	27	0.02573558572108668	True
NRF1	TATAbox	+-	0	0.02147747825242264	+-	0	-0.005048098824944521	True
REST	REST	+-	27	-0.0001646876976951199	+-	27	0.0166343361238848	True
REST	RFX_1	-+	27	-0.022321245056639922	-+	27	0.00650758468117838	True
REST	STAT	++	0	0.28439203351320047	++	0	0.0691195543593045	True
REST	TATAbox	++	36	-0.010164159718281081	++	36	0.0097842025121636	True
RFX_1	RFX_1	++	18	-0.03895976627084438	++	18	0.0018988718059172378	True
RFX_1	STAT	++	9	0.21759197906911876	++	9	0.01434930388322024	True
RFX_1	TATAbox	+-	36	-0.03176514831913174	+-	36	0.00021302156165384006	True
STAT	STAT	++	0	0.6496334465631766	++	0	0.20228946369481662	True
STAT	TATAbox	+-	0	0.20811711516735115	+-	0	-0.00400602601435468	True
TATAbox	TATAbox	-+	0	-0.0010648125112026007	-+	0	0.02203289115123948	True
