motif_id	motif_name	motif_name_orig	strand	motif_start	motif_end	motif_scale	lambda
0	pos_patterns.pattern_0	pos_patterns.pattern_0	+	17	33	0.05468252345002718	0.7
1	pos_patterns.pattern_0	pos_patterns.pattern_0	-	17	33	0.05468252345002718	0.7
2	pos_patterns.pattern_1	pos_patterns.pattern_1	+	20	30	0.04885095101684419	0.7
3	pos_patterns.pattern_1	pos_patterns.pattern_1	-	20	30	0.04885095101684419	0.7
4	pos_patterns.pattern_2	pos_patterns.pattern_2	+	24	34	0.04205455961503174	0.7
5	pos_patterns.pattern_2	pos_patterns.pattern_2	-	16	26	0.04205455961503174	0.7
6	pos_patterns.pattern_3	pos_patterns.pattern_3	+	18	35	0.02362787445851328	0.7
7	pos_patterns.pattern_3	pos_patterns.pattern_3	-	15	32	0.02362787445851328	0.7
8	pos_patterns.pattern_4	pos_patterns.pattern_4	+	17	27	0.021627289055032233	0.7
9	pos_patterns.pattern_4	pos_patterns.pattern_4	-	23	33	0.021627289055032233	0.7
10	pos_patterns.pattern_5	pos_patterns.pattern_5	+	21	49	0.02822716797099165	0.7
11	pos_patterns.pattern_5	pos_patterns.pattern_5	-	1	29	0.02822716797099165	0.7
12	pos_patterns.pattern_6	pos_patterns.pattern_6	+	8	41	0.01895185446188891	0.7
13	pos_patterns.pattern_6	pos_patterns.pattern_6	-	9	42	0.01895185446188891	0.7
14	pos_patterns.pattern_7	pos_patterns.pattern_7	+	0	50	0.01903078018652362	0.7
15	pos_patterns.pattern_7	pos_patterns.pattern_7	-	0	50	0.01903078018652362	0.7
16	pos_patterns.pattern_8	pos_patterns.pattern_8	+	18	40	0.0243654492161331	0.7
17	pos_patterns.pattern_8	pos_patterns.pattern_8	-	10	32	0.0243654492161331	0.7
18	pos_patterns.pattern_9	pos_patterns.pattern_9	+	1	50	0.020676451521606912	0.7
19	pos_patterns.pattern_9	pos_patterns.pattern_9	-	0	49	0.020676451521606912	0.7
20	pos_patterns.pattern_10	pos_patterns.pattern_10	+	21	34	0.04074416878925011	0.7
21	pos_patterns.pattern_10	pos_patterns.pattern_10	-	16	29	0.04074416878925011	0.7
22	pos_patterns.pattern_11	pos_patterns.pattern_11	+	3	41	0.044977955769722446	0.7
23	pos_patterns.pattern_11	pos_patterns.pattern_11	-	9	47	0.044977955769722446	0.7
24	pos_patterns.pattern_12	pos_patterns.pattern_12	+	10	45	0.023803167307308096	0.7
25	pos_patterns.pattern_12	pos_patterns.pattern_12	-	5	40	0.023803167307308096	0.7
26	pos_patterns.pattern_13	pos_patterns.pattern_13	+	14	33	0.0606113344649684	0.7
27	pos_patterns.pattern_13	pos_patterns.pattern_13	-	17	36	0.0606113344649684	0.7
28	pos_patterns.pattern_14	pos_patterns.pattern_14	+	18	33	0.04294510384096655	0.7
29	pos_patterns.pattern_14	pos_patterns.pattern_14	-	17	32	0.04294510384096655	0.7
30	pos_patterns.pattern_15	pos_patterns.pattern_15	+	6	33	0.039611201534060586	0.7
31	pos_patterns.pattern_15	pos_patterns.pattern_15	-	17	44	0.039611201534060586	0.7
32	pos_patterns.pattern_16	pos_patterns.pattern_16	+	18	33	0.039341865514635734	0.7
33	pos_patterns.pattern_16	pos_patterns.pattern_16	-	17	32	0.039341865514635734	0.7
34	pos_patterns.pattern_17	pos_patterns.pattern_17	+	18	34	0.04569709245513967	0.7
35	pos_patterns.pattern_17	pos_patterns.pattern_17	-	16	32	0.04569709245513967	0.7
36	pos_patterns.pattern_18	pos_patterns.pattern_18	+	4	38	0.022923351399729643	0.7
37	pos_patterns.pattern_18	pos_patterns.pattern_18	-	12	46	0.022923351399729643	0.7
38	pos_patterns.pattern_19	pos_patterns.pattern_19	+	18	34	0.051885555321221244	0.7
39	pos_patterns.pattern_19	pos_patterns.pattern_19	-	16	32	0.051885555321221244	0.7
40	pos_patterns.pattern_20	pos_patterns.pattern_20	+	8	32	0.055785678558776176	0.7
41	pos_patterns.pattern_20	pos_patterns.pattern_20	-	18	42	0.055785678558776176	0.7
42	pos_patterns.pattern_21	pos_patterns.pattern_21	+	11	50	0.040030933056825285	0.7
43	pos_patterns.pattern_21	pos_patterns.pattern_21	-	0	39	0.040030933056825285	0.7
