motif_name	num_hits_total	num_hits_restricted	num_seqlets	num_overlaps	num_seqlets_only	num_hits_restricted_only	seqlet_recall	cwm_similarity
pos_patterns.pattern_0	147213	122548	43510	41067	2443	81481	0.9438519880487244	1.0
pos_patterns.pattern_1	58218	50505	17502	16952	550	33553	0.9685750199977146	0.9990234375
pos_patterns.pattern_2	15055	12291	3227	3010	217	9281	0.9327548806941431	0.99755859375
pos_patterns.pattern_3	17918	16685	2694	2305	389	14380	0.8556050482553823	0.99609375
pos_patterns.pattern_4	50794	42895	1718	1504	214	41391	0.8754365541327125	0.99267578125
pos_patterns.pattern_5	8075	6639	1263	907	356	5732	0.7181314330958036	0.9833984375
pos_patterns.pattern_6	10526	8849	1042	285	757	8564	0.27351247600767753	0.9755859375
pos_patterns.pattern_7	6	5	677	3	674	2	0.004431314623338257	0.88623046875
pos_patterns.pattern_8	3574	3070	593	423	170	2647	0.7133220910623946	0.99072265625
pos_patterns.pattern_9	22	18	383	3	380	15	0.007832898172323759	0.931640625
pos_patterns.pattern_10	24849	20392	95	95	0	20297	1.0	0.9326171875
pos_patterns.pattern_11	141	123	75	27	48	96	0.36	0.94775390625
pos_patterns.pattern_12	316	267	71	28	43	239	0.39436619718309857	0.958984375
pos_patterns.pattern_13	4645	4010	66	60	6	3950	0.9090909090909091	0.9287109375
pos_patterns.pattern_14	3110	2607	42	41	1	2566	0.9761904761904762	0.95849609375
pos_patterns.pattern_15	660	568	41	33	8	535	0.8048780487804879	0.966796875
pos_patterns.pattern_16	2067	1795	35	34	1	1761	0.9714285714285714	0.9404296875
pos_patterns.pattern_17	880	747	33	33	0	714	1.0	0.966796875
pos_patterns.pattern_18	110	95	33	28	5	67	0.8484848484848485	0.9873046875
pos_patterns.pattern_19	6515	5636	28	18	10	5618	0.6428571428571429	0.94677734375
pos_patterns.pattern_20	38	27	27	6	21	21	0.2222222222222222	0.9765625
pos_patterns.pattern_21	37	37	27	25	2	12	0.9259259259259259	0.99658203125
