motif_id	motif_name	motif_name_orig	strand	motif_start	motif_end	motif_scale	lambda
0	pos_patterns.pattern_0	pos_patterns.pattern_0	+	17	33	0.05566528566890423	0.7
1	pos_patterns.pattern_0	pos_patterns.pattern_0	-	17	33	0.05566528566890423	0.7
2	pos_patterns.pattern_1	pos_patterns.pattern_1	+	19	29	0.04947329538089705	0.7
3	pos_patterns.pattern_1	pos_patterns.pattern_1	-	21	31	0.04947329538089705	0.7
4	pos_patterns.pattern_2	pos_patterns.pattern_2	+	23	33	0.04212210794506553	0.7
5	pos_patterns.pattern_2	pos_patterns.pattern_2	-	17	27	0.04212210794506553	0.7
6	pos_patterns.pattern_3	pos_patterns.pattern_3	+	21	38	0.023950106666782094	0.7
7	pos_patterns.pattern_3	pos_patterns.pattern_3	-	12	29	0.023950106666782094	0.7
8	pos_patterns.pattern_4	pos_patterns.pattern_4	+	22	32	0.021185400196950498	0.7
9	pos_patterns.pattern_4	pos_patterns.pattern_4	-	18	28	0.021185400196950498	0.7
10	pos_patterns.pattern_5	pos_patterns.pattern_5	+	0	49	0.021346754547236328	0.7
11	pos_patterns.pattern_5	pos_patterns.pattern_5	-	1	50	0.021346754547236328	0.7
12	pos_patterns.pattern_6	pos_patterns.pattern_6	+	18	32	0.026906959933011496	0.7
13	pos_patterns.pattern_6	pos_patterns.pattern_6	-	18	32	0.026906959933011496	0.7
14	pos_patterns.pattern_7	pos_patterns.pattern_7	+	4	50	0.01891624139971582	0.7
15	pos_patterns.pattern_7	pos_patterns.pattern_7	-	0	46	0.01891624139971582	0.7
16	pos_patterns.pattern_8	pos_patterns.pattern_8	+	0	45	0.018221600980431588	0.7
17	pos_patterns.pattern_8	pos_patterns.pattern_8	-	5	50	0.018221600980431588	0.7
18	pos_patterns.pattern_9	pos_patterns.pattern_9	+	15	37	0.02510653119103326	0.7
19	pos_patterns.pattern_9	pos_patterns.pattern_9	-	13	35	0.02510653119103326	0.7
20	pos_patterns.pattern_10	pos_patterns.pattern_10	+	2	50	0.03576631009149308	0.7
21	pos_patterns.pattern_10	pos_patterns.pattern_10	-	0	48	0.03576631009149308	0.7
22	pos_patterns.pattern_11	pos_patterns.pattern_11	+	3	50	0.023330829313011843	0.7
23	pos_patterns.pattern_11	pos_patterns.pattern_11	-	0	47	0.023330829313011843	0.7
24	pos_patterns.pattern_12	pos_patterns.pattern_12	+	20	35	0.04421157915693	0.7
25	pos_patterns.pattern_12	pos_patterns.pattern_12	-	15	30	0.04421157915693	0.7
26	pos_patterns.pattern_13	pos_patterns.pattern_13	+	0	33	0.04651249673748718	0.7
27	pos_patterns.pattern_13	pos_patterns.pattern_13	-	17	50	0.04651249673748718	0.7
28	pos_patterns.pattern_14	pos_patterns.pattern_14	+	15	32	0.041550303156822045	0.7
29	pos_patterns.pattern_14	pos_patterns.pattern_14	-	18	35	0.041550303156822045	0.7
30	pos_patterns.pattern_15	pos_patterns.pattern_15	+	17	38	0.04952635236290224	0.7
31	pos_patterns.pattern_15	pos_patterns.pattern_15	-	12	33	0.04952635236290224	0.7
32	pos_patterns.pattern_16	pos_patterns.pattern_16	+	8	49	0.04199705936732072	0.7
33	pos_patterns.pattern_16	pos_patterns.pattern_16	-	1	42	0.04199705936732072	0.7
