motif_name	num_hits_total	num_hits_restricted	num_seqlets	num_overlaps	num_seqlets_only	num_hits_restricted_only	seqlet_recall	cwm_similarity
pos_patterns.pattern_0	148949	123879	39510	36390	3120	87489	0.9210326499620349	0.99853515625
pos_patterns.pattern_1	58742	50913	16281	15932	349	34981	0.9785639702720963	0.9990234375
pos_patterns.pattern_2	14898	12149	2944	2721	223	9428	0.9242527173913043	0.99755859375
pos_patterns.pattern_3	18428	17167	2333	2124	209	15043	0.9104157736819546	0.994140625
pos_patterns.pattern_4	51393	43476	1603	1324	279	42152	0.825951341235184	0.9912109375
pos_patterns.pattern_5	45	24	939	1	938	23	0.0010649627263045794	0.8974609375
pos_patterns.pattern_6	13922	11369	811	657	154	10712	0.8101109741060419	0.99462890625
pos_patterns.pattern_7	2429	2004	656	111	545	1893	0.16920731707317074	0.97705078125
pos_patterns.pattern_8	239	210	561	37	524	173	0.0659536541889483	0.9609375
pos_patterns.pattern_9	4012	3452	456	376	80	3076	0.8245614035087719	0.9912109375
pos_patterns.pattern_10	216	188	281	159	122	29	0.5658362989323843	0.99755859375
pos_patterns.pattern_11	126	112	62	9	53	103	0.14516129032258066	0.92919921875
pos_patterns.pattern_12	32933	27756	39	38	1	27718	0.9743589743589743	0.95849609375
pos_patterns.pattern_13	18	10	34	0	34	10	0.0	0.97216796875
pos_patterns.pattern_14	15190	13020	30	30	0	12990	1.0	0.947265625
pos_patterns.pattern_15	425	275	29	19	10	256	0.6551724137931034	0.9462890625
pos_patterns.pattern_16	39	37	24	22	2	15	0.9166666666666666	0.9970703125
