motif_id	motif_name	motif_name_orig	strand	motif_start	motif_end	motif_scale	lambda
0	pos_patterns.pattern_0	pos_patterns.pattern_0	+	14	30	0.0763544159800626	0.7
1	pos_patterns.pattern_0	pos_patterns.pattern_0	-	20	36	0.0763544159800626	0.7
2	pos_patterns.pattern_1	pos_patterns.pattern_1	+	21	31	0.06215933192085865	0.7
3	pos_patterns.pattern_1	pos_patterns.pattern_1	-	19	29	0.06215933192085865	0.7
4	pos_patterns.pattern_2	pos_patterns.pattern_2	+	21	31	0.06719902726245429	0.7
5	pos_patterns.pattern_2	pos_patterns.pattern_2	-	19	29	0.06719902726245429	0.7
6	pos_patterns.pattern_3	pos_patterns.pattern_3	+	21	40	0.03212485052740011	0.7
7	pos_patterns.pattern_3	pos_patterns.pattern_3	-	10	29	0.03212485052740011	0.7
8	pos_patterns.pattern_4	pos_patterns.pattern_4	+	7	41	0.03427555971575551	0.7
9	pos_patterns.pattern_4	pos_patterns.pattern_4	-	9	43	0.03427555971575551	0.7
10	pos_patterns.pattern_5	pos_patterns.pattern_5	+	0	35	0.07446863247892822	0.7
11	pos_patterns.pattern_5	pos_patterns.pattern_5	-	15	50	0.07446863247892822	0.7
12	pos_patterns.pattern_6	pos_patterns.pattern_6	+	0	33	0.0716982112849224	0.7
13	pos_patterns.pattern_6	pos_patterns.pattern_6	-	17	50	0.0716982112849224	0.7
14	pos_patterns.pattern_7	pos_patterns.pattern_7	+	30	49	0.07518357964557612	0.7
15	pos_patterns.pattern_7	pos_patterns.pattern_7	-	1	20	0.07518357964557612	0.7
16	pos_patterns.pattern_8	pos_patterns.pattern_8	+	25	36	0.06668768951222576	0.7
17	pos_patterns.pattern_8	pos_patterns.pattern_8	-	14	25	0.06668768951222576	0.7
18	pos_patterns.pattern_9	pos_patterns.pattern_9	+	13	30	0.03676043630478809	0.7
19	pos_patterns.pattern_9	pos_patterns.pattern_9	-	20	37	0.03676043630478809	0.7
20	pos_patterns.pattern_10	pos_patterns.pattern_10	+	30	46	0.06707772420521106	0.7
21	pos_patterns.pattern_10	pos_patterns.pattern_10	-	4	20	0.06707772420521106	0.7
22	pos_patterns.pattern_11	pos_patterns.pattern_11	+	14	34	0.07499272027405579	0.7
23	pos_patterns.pattern_11	pos_patterns.pattern_11	-	16	36	0.07499272027405579	0.7
