peak_id	pos_patterns.pattern_0	pos_patterns.pattern_3	pos_patterns.pattern_9	pos_patterns.pattern_2	pos_patterns.pattern_1	pos_patterns.pattern_4	pos_patterns.pattern_8	pos_patterns.pattern_11	pos_patterns.pattern_7	pos_patterns.pattern_10	pos_patterns.pattern_5	pos_patterns.pattern_6	total
0	2	0	0	0	0	0	0	0	0	0	0	0	2
1	0	0	0	1	0	0	0	1	0	0	0	0	2
2	0	0	0	1	0	0	0	0	1	0	0	0	2
3	1	0	0	1	0	0	0	0	0	0	0	0	2
4	1	0	1	0	0	1	0	0	0	0	0	0	3
5	0	0	0	1	0	0	0	0	0	0	0	0	1
6	0	0	0	1	0	0	0	0	0	0	0	0	1
7	0	0	0	0	0	0	1	0	2	0	0	0	3
8	4	0	0	1	0	0	0	0	0	0	0	0	5
9	0	0	0	1	1	1	0	0	0	0	0	0	3
10	1	0	0	0	0	1	0	0	0	0	0	0	2
11	2	0	0	0	0	0	0	0	0	0	0	0	2
12	0	0	0	0	1	0	0	0	0	0	0	0	1
13	1	0	0	1	0	0	0	0	0	0	0	0	2
14	1	0	0	0	0	0	0	0	0	0	0	0	1
15	1	0	0	0	0	0	0	0	0	0	0	0	1
16	3	0	0	1	0	0	0	0	0	0	0	0	4
19	1	0	0	0	1	0	0	0	0	1	0	0	3
20	0	0	0	1	0	0	0	0	0	0	0	0	1
21	1	0	0	0	2	0	0	0	0	0	0	0	3
22	0	0	0	0	1	0	0	0	0	0	0	0	1
23	2	0	0	0	1	1	0	0	0	0	0	0	4
24	1	0	0	2	0	0	0	0	0	0	0	0	3
25	0	1	0	1	0	0	0	1	0	0	0	0	3
26	3	0	0	1	0	0	0	1	0	0	0	0	5
27	0	1	1	0	0	0	0	0	0	0	0	0	2
28	1	0	0	1	0	0	0	0	0	0	0	0	2
29	1	0	0	1	0	0	0	0	0	0	0	0	2
30	2	0	0	0	0	0	0	0	0	0	0	0	2
31	0	0	0	1	0	0	0	0	0	0	0	0	1
32	1	0	0	1	0	0	0	0	0	0	0	0	2
33	2	0	0	2	0	0	0	0	0	0	0	0	4
34	0	0	0	0	1	0	0	0	0	0	0	0	1
35	1	0	0	0	1	0	1	1	0	0	0	0	4
36	1	0	0	1	0	0	0	0	0	0	0	0	2
37	2	0	0	1	0	0	0	0	0	0	0	0	3
39	1	0	1	0	0	0	0	0	0	0	0	0	2
40	2	0	0	0	0	0	0	2	0	0	0	0	4
41	0	0	0	0	1	0	0	0	0	0	0	0	1
42	0	0	0	0	1	0	0	0	0	0	0	0	1
43	5	0	0	0	0	0	0	0	0	0	0	0	5
44	0	0	0	1	4	0	0	0	0	0	0	0	5
45	3	0	0	0	1	0	0	0	0	0	0	0	4
46	2	0	0	0	0	1	0	0	0	0	0	0	3
47	3	0	0	0	0	0	0	0	0	0	0	0	3
48	0	0	0	1	2	0	0	0	0	0	0	0	3
49	1	0	0	0	1	0	0	0	0	0	0	0	2
51	1	0	0	2	0	0	1	1	0	0	0	0	5
52	2	0	0	0	1	0	0	0	0	0	0	0	3
53	0	0	0	0	0	1	1	0	0	0	0	0	2
54	1	0	0	0	0	0	0	0	0	0	0	0	1
55	3	0	0	0	0	0	1	1	0	0	0	0	5
56	0	0	1	0	0	0	0	0	0	0	0	0	1
57	1	0	0	0	0	0	0	0	0	0	0	0	1
58	2	0	0	0	0	0	0	0	0	0	0	0	2
60	0	0	0	1	1	0	0	0	0	0	0	0	2
61	1	0	0	0	3	0	1	0	0	0	0	0	5
62	2	0	0	0	1	0	0	0	0	0	0	0	3
64	0	0	0	2	0	0	0	0	0	0	0	0	2
65	1	0	0	0	0	0	0	1	0	0	0	0	2
66	2	0	0	0	0	0	0	0	0	0	0	0	2
67	1	0	0	0	1	0	0	0	0	0	0	0	2
69	1	0	0	0	0	0	1	0	0	0	0	0	2
70	2	0	0	0	2	0	0	0	0	0	0	0	4
71	3	0	0	0	0	0	0	0	0	0	0	0	3
73	2	0	0	0	0	0	0	0	0	0	0	0	2
74	1	0	0	1	0	0	0	0	0	0	0	0	2
75	1	0	0	2	1	0	0	0	0	0	0	0	4
76	1	0	0	0	0	0	0	0	0	0	0	0	1
77	1	0	0	0	0	0	0	0	0	0	0	0	1
78	2	0	0	0	0	0	0	0	0	0	0	0	2
79	1	0	0	1	0	0	0	0	0	0	0	0	2
80	0	0	0	2	0	0	1	0	0	0	0	0	3
81	2	0	0	0	0	0	0	1	0	0	0	0	3
82	1	0	0	1	0	0	0	0	0	0	0	0	2
83	2	0	0	0	0	0	0	0	0	0	0	0	2
84	1	0	0	0	0	0	0	0	0	0	0	0	1
85	3	0	0	0	0	0	0	0	0	0	0	0	3
86	1	0	1	0	2	0	1	0	0	0	0	0	5
87	2	0	0	1	0	0	0	0	0	0	0	0	3
88	2	0	0	0	0	0	0	0	1	0	0	0	3
89	2	0	0	0	0	0	0	0	0	0	0	0	2
90	1	0	0	0	0	0	0	1	0	0	0	0	2
