motif_name	num_hits_total	num_hits_restricted	num_seqlets	num_overlaps	num_seqlets_only	num_hits_restricted_only	seqlet_recall	cwm_similarity
pos_patterns.pattern_0	40284	36616	12816	12442	374	24174	0.9708177278401997	0.998046875
pos_patterns.pattern_1	13410	12356	3981	3942	39	8414	0.9902034664657121	0.9990234375
pos_patterns.pattern_2	4279	3922	1481	1444	37	2478	0.975016880486158	0.99755859375
pos_patterns.pattern_3	1163	1063	167	88	79	975	0.5269461077844312	0.97265625
pos_patterns.pattern_4	1368	1214	114	78	36	1136	0.6842105263157895	0.97705078125
pos_patterns.pattern_5	9	7	41	2	39	5	0.04878048780487805	0.95556640625
pos_patterns.pattern_6	8	3	40	0	40	3	0.0	0.89794921875
pos_patterns.pattern_7	910	860	38	14	24	846	0.3684210526315789	0.896484375
pos_patterns.pattern_8	1842	1741	37	37	0	1704	1.0	0.935546875
pos_patterns.pattern_9	2192	2046	37	32	5	2014	0.8648648648648649	0.9736328125
pos_patterns.pattern_10	250	237	22	17	5	220	0.7727272727272727	0.93798828125
pos_patterns.pattern_11	4374	4003	22	22	0	3981	1.0	0.95703125
