motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	++	0	0.1874	0.0203	0.0091	0.1295	0.0148	0.0066	3.0856	0.1587	0.071
2	++	1	0.1102	0.0131	0.0059	0.0522	0.0123	0.0055	3.0321	0.1706	0.0763
2	++	2	0.1065	0.0087	0.0039	0.0485	0.0052	0.0023	3.0295	0.1681	0.0752
2	++	3	0.0929	0.0113	0.005	0.035	0.0055	0.0025	3.0201	0.165	0.0738
2	++	4	0.1055	0.006	0.0027	0.0476	0.0029	0.0013	3.0289	0.1684	0.0753
2	++	5	0.0857	0.0067	0.003	0.0278	0.0062	0.0028	3.0152	0.1711	0.0765
2	++	6	0.0831	0.0085	0.0038	0.0252	0.0057	0.0025	3.0134	0.1666	0.0745
2	++	7	0.0768	0.0082	0.0037	0.0189	0.0085	0.0038	3.009	0.1699	0.076
2	++	8	0.0899	0.0081	0.0036	0.032	0.0074	0.0033	3.0181	0.1679	0.0751
2	++	9	0.0935	0.0134	0.006	0.0356	0.0094	0.0042	3.0206	0.1683	0.0753
2	++	10	0.0954	0.0074	0.0033	0.0375	0.0043	0.0019	3.0219	0.1665	0.0745
2	++	11	0.1039	0.0086	0.0039	0.0459	0.0051	0.0023	3.0278	0.1679	0.0751
2	++	12	0.1102	0.0116	0.0052	0.0523	0.0058	0.0026	3.0322	0.164	0.0733
2	++	13	0.1145	0.0082	0.0037	0.0566	0.0045	0.002	3.0351	0.1688	0.0755
2	++	14	0.1094	0.0102	0.0046	0.0514	0.0051	0.0023	3.0316	0.1659	0.0742
2	++	15	0.1255	0.0139	0.0062	0.0675	0.0082	0.0037	3.0427	0.1641	0.0734
2	++	16	0.1133	0.0112	0.005	0.0554	0.006	0.0027	3.0343	0.1655	0.074
2	++	17	0.1321	0.0161	0.0072	0.0741	0.011	0.0049	3.0473	0.1643	0.0735
2	++	18	0.1194	0.0111	0.005	0.0615	0.0057	0.0025	3.0385	0.1644	0.0735
2	++	19	0.1393	0.0184	0.0082	0.0813	0.0128	0.0057	3.0523	0.1632	0.073
2	++	20	0.1245	0.012	0.0054	0.0665	0.0061	0.0027	3.042	0.1641	0.0734
2	++	21	0.1417	0.0124	0.0056	0.0837	0.0072	0.0032	3.054	0.1657	0.0741
2	++	22	0.1269	0.0153	0.0069	0.069	0.0094	0.0042	3.0437	0.1623	0.0726
2	++	23	0.1467	0.0135	0.006	0.0888	0.0076	0.0034	3.0575	0.1643	0.0735
2	++	24	0.1284	0.0121	0.0054	0.0705	0.0061	0.0027	3.0448	0.1641	0.0734
2	++	25	0.1434	0.0108	0.0048	0.0854	0.0053	0.0024	3.0551	0.1657	0.0741
2	++	26	0.1185	0.0101	0.0045	0.0606	0.0047	0.0021	3.0379	0.1655	0.074
2	++	27	0.1549	0.0192	0.0086	0.097	0.0132	0.0059	3.0631	0.1604	0.0717
2	++	28	0.1244	0.0103	0.0046	0.0664	0.0051	0.0023	3.042	0.165	0.0738
2	++	29	0.1422	0.0116	0.0052	0.0843	0.0063	0.0028	3.0543	0.1661	0.0743
2	++	30	0.1247	0.0113	0.0051	0.0668	0.0057	0.0025	3.0422	0.1644	0.0735
2	++	31	0.1428	0.0116	0.0052	0.0849	0.0057	0.0025	3.0547	0.165	0.0738
2	++	32	0.1227	0.01	0.0045	0.0648	0.0044	0.002	3.0408	0.1653	0.0739
2	++	33	0.1391	0.0126	0.0056	0.0812	0.0072	0.0032	3.0522	0.1654	0.074
2	++	34	0.1225	0.0126	0.0056	0.0645	0.0068	0.0031	3.0407	0.1641	0.0734
2	++	35	0.1443	0.018	0.0081	0.0864	0.0121	0.0054	3.0558	0.1623	0.0726
2	++	36	0.1251	0.0112	0.005	0.0672	0.0054	0.0024	3.0425	0.1649	0.0738
2	++	37	0.1394	0.0115	0.0051	0.0814	0.0057	0.0026	3.0524	0.1652	0.0739
2	++	38	0.1272	0.0117	0.0052	0.0693	0.0062	0.0028	3.044	0.1644	0.0735
2	++	39	0.1468	0.015	0.0067	0.0889	0.009	0.004	3.0575	0.1634	0.0731
2	++	40	0.1263	0.0121	0.0054	0.0683	0.0061	0.0027	3.0433	0.1638	0.0733
2	++	41	0.1456	0.0135	0.006	0.0877	0.0076	0.0034	3.0567	0.1639	0.0733
2	++	42	0.1326	0.013	0.0058	0.0747	0.0071	0.0032	3.0477	0.1635	0.0731
2	++	43	0.1523	0.0168	0.0075	0.0944	0.0108	0.0048	3.0613	0.1622	0.0725
2	++	44	0.1299	0.0125	0.0056	0.072	0.0065	0.0029	3.0458	0.1637	0.0732
2	++	45	0.1443	0.0137	0.0061	0.0864	0.0081	0.0036	3.0558	0.1644	0.0735
2	++	46	0.1254	0.0128	0.0057	0.0674	0.0069	0.0031	3.0427	0.1638	0.0732
2	++	47	0.1475	0.0148	0.0066	0.0895	0.0089	0.004	3.058	0.1631	0.0729
2	++	48	0.1304	0.0116	0.0052	0.0725	0.0056	0.0025	3.0462	0.1645	0.0736
2	++	49	0.1435	0.0139	0.0062	0.0856	0.0081	0.0036	3.0552	0.1643	0.0735
2	++	50	0.1296	0.014	0.0062	0.0717	0.0083	0.0037	3.0456	0.1631	0.073
2	+-	0	0.0434	0.0109	0.0049	-0.0145	0.0106	0.0047	2.9859	0.1657	0.0741
2	+-	1	0.0962	0.0176	0.0079	0.0383	0.0202	0.009	3.0224	0.1741	0.0779
2	+-	2	0.1372	0.0299	0.0134	0.0792	0.0241	0.0108	3.0508	0.1577	0.0705
2	+-	3	0.1609	0.0257	0.0115	0.103	0.0297	0.0133	3.0673	0.1805	0.0807
2	+-	4	0.1341	0.0277	0.0124	0.0762	0.0221	0.0099	3.0487	0.1571	0.0703
2	+-	5	0.1235	0.0163	0.0073	0.0656	0.0183	0.0082	3.0414	0.1725	0.0771
2	+-	6	0.1165	0.0208	0.0093	0.0586	0.0149	0.0067	3.0365	0.1597	0.0714
2	+-	7	0.1125	0.005	0.0022	0.0545	0.0088	0.0039	3.0337	0.1726	0.0772
2	+-	8	0.1162	0.0114	0.0051	0.0583	0.0066	0.0029	3.0363	0.1636	0.0732
2	+-	9	0.1218	0.0059	0.0026	0.0639	0.0073	0.0033	3.0402	0.1707	0.0764
2	+-	10	0.112	0.012	0.0054	0.054	0.0073	0.0033	3.0334	0.1666	0.0745
2	+-	11	0.1234	0.0067	0.003	0.0655	0.0065	0.0029	3.0413	0.1716	0.0767
2	+-	12	0.1258	0.0155	0.0069	0.0679	0.0096	0.0043	3.043	0.163	0.0729
2	+-	13	0.1328	0.013	0.0058	0.0749	0.0128	0.0057	3.0478	0.1689	0.0755
2	+-	14	0.1295	0.0243	0.0109	0.0715	0.0185	0.0083	3.0455	0.157	0.0702
2	+-	15	0.1262	0.0076	0.0034	0.0682	0.0079	0.0035	3.0432	0.1719	0.0769
2	+-	16	0.1279	0.0205	0.0092	0.07	0.0147	0.0066	3.0444	0.1614	0.0722
2	+-	17	0.131	0.0089	0.004	0.0731	0.0059	0.0027	3.0466	0.1681	0.0752
2	+-	18	0.1327	0.0255	0.0114	0.0747	0.0195	0.0087	3.0477	0.1569	0.0702
2	+-	19	0.1337	0.0077	0.0034	0.0758	0.0038	0.0017	3.0485	0.1666	0.0745
2	+-	20	0.1262	0.0174	0.0078	0.0683	0.0116	0.0052	3.0432	0.1611	0.072
2	+-	21	0.1331	0.0072	0.0032	0.0751	0.0052	0.0023	3.048	0.1682	0.0752
2	+-	22	0.1353	0.0228	0.0102	0.0774	0.0168	0.0075	3.0496	0.1575	0.0704
2	+-	23	0.1368	0.0089	0.004	0.0789	0.0092	0.0041	3.0506	0.1691	0.0756
2	+-	24	0.1325	0.0227	0.0102	0.0745	0.0169	0.0076	3.0476	0.1596	0.0714
2	+-	25	0.1346	0.0072	0.0032	0.0766	0.0074	0.0033	3.049	0.17	0.076
2	+-	26	0.129	0.0227	0.0102	0.071	0.0168	0.0075	3.0452	0.1589	0.0711
2	+-	27	0.1261	0.0064	0.0028	0.0682	0.0073	0.0032	3.0432	0.1706	0.0763
2	+-	28	0.1281	0.0198	0.0089	0.0702	0.0139	0.0062	3.0445	0.1607	0.0719
2	+-	29	0.1337	0.0085	0.0038	0.0758	0.0078	0.0035	3.0484	0.1688	0.0755
2	+-	30	0.1292	0.0158	0.0071	0.0713	0.0097	0.0044	3.0453	0.1624	0.0726
2	+-	31	0.1324	0.0079	0.0036	0.0745	0.0081	0.0036	3.0475	0.1702	0.0761
2	+-	32	0.1309	0.0183	0.0082	0.073	0.0123	0.0055	3.0465	0.1613	0.0721
2	+-	33	0.1313	0.0076	0.0034	0.0733	0.005	0.0022	3.0467	0.1681	0.0752
2	+-	34	0.131	0.0239	0.0107	0.0731	0.018	0.008	3.0466	0.1584	0.0708
2	+-	35	0.1357	0.0079	0.0035	0.0778	0.0047	0.0021	3.0498	0.1678	0.0751
2	+-	36	0.1348	0.0187	0.0084	0.0769	0.0128	0.0057	3.0492	0.1614	0.0722
2	+-	37	0.133	0.008	0.0036	0.075	0.0068	0.003	3.0479	0.1692	0.0757
2	+-	38	0.1386	0.0214	0.0096	0.0807	0.0154	0.0069	3.0518	0.1597	0.0714
2	+-	39	0.1401	0.0089	0.004	0.0822	0.0069	0.0031	3.0529	0.1684	0.0753
2	+-	40	0.1352	0.0186	0.0083	0.0773	0.0126	0.0057	3.0495	0.1614	0.0722
2	+-	41	0.1337	0.0097	0.0043	0.0758	0.0053	0.0024	3.0484	0.1668	0.0746
2	+-	42	0.1363	0.0209	0.0094	0.0783	0.015	0.0067	3.0502	0.1594	0.0713
2	+-	43	0.1401	0.0088	0.0039	0.0822	0.005	0.0023	3.0529	0.1667	0.0746
2	+-	44	0.1366	0.0197	0.0088	0.0787	0.0137	0.0061	3.0505	0.1606	0.0718
2	+-	45	0.1387	0.0095	0.0043	0.0808	0.0056	0.0025	3.0519	0.1664	0.0744
