motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	++	0	0.1948	0.0215	0.0096	0.1342	0.0149	0.0067	3.0882	0.159	0.0711
2	++	1	0.1154	0.014	0.0063	0.0547	0.013	0.0058	3.0332	0.1717	0.0768
2	++	2	0.1083	0.0085	0.0038	0.0476	0.006	0.0027	3.0282	0.1697	0.0759
2	++	3	0.0933	0.0116	0.0052	0.0326	0.0048	0.0022	3.0178	0.1654	0.074
2	++	4	0.1088	0.0068	0.003	0.0481	0.0025	0.0011	3.0286	0.1686	0.0754
2	++	5	0.0885	0.0045	0.002	0.0278	0.0067	0.003	3.0145	0.1727	0.0772
2	++	6	0.0863	0.0093	0.0041	0.0256	0.0054	0.0024	3.0129	0.1676	0.0749
2	++	7	0.0769	0.0074	0.0033	0.0162	0.008	0.0036	3.0064	0.1715	0.0767
2	++	8	0.0845	0.0067	0.003	0.0238	0.0068	0.003	3.0117	0.1702	0.0761
2	++	9	0.0891	0.0115	0.0052	0.0284	0.009	0.004	3.0149	0.1709	0.0764
2	++	10	0.0929	0.0063	0.0028	0.0323	0.0039	0.0017	3.0176	0.1689	0.0755
2	++	11	0.105	0.0076	0.0034	0.0443	0.0049	0.0022	3.0259	0.1698	0.0759
2	++	12	0.1132	0.0121	0.0054	0.0525	0.0054	0.0024	3.0316	0.1647	0.0737
2	++	13	0.1095	0.0075	0.0033	0.0488	0.0051	0.0023	3.029	0.1705	0.0762
2	++	14	0.11	0.0101	0.0045	0.0493	0.0044	0.002	3.0294	0.1675	0.0749
2	++	15	0.1267	0.0144	0.0064	0.066	0.0082	0.0036	3.0409	0.165	0.0738
2	++	16	0.1139	0.0114	0.0051	0.0532	0.0058	0.0026	3.0321	0.1664	0.0744
2	++	17	0.1304	0.0137	0.0061	0.0697	0.0086	0.0039	3.0435	0.1667	0.0746
2	++	18	0.1158	0.0093	0.0042	0.0551	0.0037	0.0016	3.0334	0.1669	0.0747
2	++	19	0.1321	0.0171	0.0076	0.0714	0.0113	0.005	3.0447	0.1653	0.0739
2	++	20	0.1218	0.0114	0.0051	0.0611	0.0049	0.0022	3.0376	0.1661	0.0743
2	++	21	0.1411	0.0118	0.0053	0.0804	0.0072	0.0032	3.051	0.1682	0.0752
2	++	22	0.1237	0.013	0.0058	0.063	0.0066	0.003	3.0389	0.1657	0.0741
2	++	23	0.1379	0.0119	0.0053	0.0772	0.0055	0.0025	3.0488	0.1661	0.0743
2	++	24	0.1219	0.0124	0.0056	0.0612	0.0057	0.0025	3.0376	0.1647	0.0736
2	++	25	0.1419	0.0102	0.0046	0.0812	0.0045	0.002	3.0515	0.1675	0.0749
2	++	26	0.1207	0.0104	0.0047	0.06	0.0041	0.0018	3.0368	0.1664	0.0744
2	++	27	0.1527	0.0211	0.0094	0.092	0.0143	0.0064	3.059	0.1599	0.0715
