biosample	assay	experiment	run_type	n_files	bams
K562	DNase	ENCSR000EOT	pe, se	2	/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/K562/ENCFF205FNC.filtered.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/K562/ENCFF860XAE.filtered.sorted.bam
K562	DNase	ENCSR000EKS	se	1	/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/K562/ENCFF987IUK.filtered.sorted.bam
K562	H3K27ac	ENCSR000AKP	se	2	/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/K562/ENCFF790GFL.se.filtered.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/K562/ENCFF817HMW.se.filtered.sorted.bam
HCT116	DNase	ENCSR000ENM	se	2	/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/HCT116/ENCFF166PCV.filtered.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/HCT116/ENCFF619LVU.filtered.sorted.bam
HCT116	H3K27ac	ENCSR661KMA	se, pe	2	/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/HCT116/ENCFF943GHK.filtered.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/HCT116/ENCFF977FPK.filtered.sorted.bam
GM12878	DNase	ENCSR000EMT	se	2	/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/GM12878/ENCFF467CXY_sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/GM12878/ENCFF940NSD_sorted.bam
GM12878	H3K27ac	ENCSR000AKC	se	2	/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/GM12878/ENCFF645BAL.filtered.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/GM12878/ENCFF865OOP.filtered.sorted.bam
Jurkat	DNase	ENCSR000EOS	se	2	/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/Jurkat/ENCFF623AMI.filtered.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/Jurkat/ENCFF443NXJ.filtered.sorted.bam
Jurkat	H3K27ac	GSE155555	se	2	/oak/stanford/groups/engreitz/Users/jgalante/making_jurkat/resources/analyze_validation_datasets/process_bam_files_and_combined_w_EG_results/ABC_inputs_for_Maya/Jurkat/h3k27ac_rep1_sorted.bam;/oak/stanford/groups/engreitz/Users/jgalante/making_jurkat/resources/analyze_validation_datasets/process_bam_files_and_combined_w_EG_results/ABC_inputs_for_Maya/Jurkat/h3k27ac_rep2_sorted.bam
H1	DNase	ENCSR000EMU	se	1	/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/H1/ENCFF674MNA.filtered.sorted.bam
H1	H3K27ac	ENCSR000ANP	se	2	/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/H1/ENCFF120QMN.filtered.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/H1/ENCFF104RJG.filtered.sorted.bam
H9	DNase	ENCSR275ICP	pe	2	/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/H9/ENCFF206ALY.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/H9/ENCFF291ZMA.sorted.bam
H9	H3K27ac	ENCSR876RGF	se	2	/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/H9/ENCFF825BCF.filtered.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/H9/ENCFF709WUL.filtered.sorted.bam
THP-1	DNase	ENCSR896ADX	pe	0	
THP-1	H3K27ac	GSE201352	pe	2	/oak/stanford/groups/engreitz/Projects/E2G/THP1/THP1_PRJNA830917/THP1_macrophages_0000min_R1/H3K27ac/SRR18899252.pe.filtered.sorted.dedup.bam;/oak/stanford/groups/engreitz/Projects/E2G/THP1/THP1_PRJNA830917/THP1_macrophages_0000min_R2/H3K27ac/SRR18899253.pe.filtered.sorted.dedup.bam
