config	mode	half_window	n_folds	stratum	n	pearson	spearman
atac_OLD	atac	500	5	all	57144	0.7764	0.7462
atac_OLD	atac	500	5	quintile1	11429	0.125	0.1309
atac_OLD	atac	500	5	quintile2	11429	0.1496	0.1589
atac_OLD	atac	500	5	quintile3	11428	0.1754	0.1832
atac_OLD	atac	500	5	quintile4	11429	0.3332	0.3344
atac_OLD	atac	500	5	quintile5	11429	0.4961	0.5064
atac_OLD	atac	500	5	top_quintile	11429	0.4961	0.5064
atac_OLD	atac	500	5	top_two_quintiles	22858	0.6742	0.6757
atac_5PRIME	atac	500	5	all	57144	0.792	0.7641
atac_5PRIME	atac	500	5	quintile1	11429	0.1471	0.1574
atac_5PRIME	atac	500	5	quintile2	11429	0.1683	0.1776
atac_5PRIME	atac	500	5	quintile3	11428	0.1866	0.1931
atac_5PRIME	atac	500	5	quintile4	11429	0.3299	0.3309
atac_5PRIME	atac	500	5	quintile5	11429	0.519	0.5318
atac_5PRIME	atac	500	5	top_quintile	11429	0.519	0.5318
atac_5PRIME	atac	500	5	top_two_quintiles	22858	0.6845	0.6853
multimodal_OLD	multimodal	500	5	all	57144	0.8254	0.8014
multimodal_OLD	multimodal	500	5	quintile1	11429	0.2032	0.2198
multimodal_OLD	multimodal	500	5	quintile2	11429	0.1936	0.2045
multimodal_OLD	multimodal	500	5	quintile3	11428	0.2074	0.2164
multimodal_OLD	multimodal	500	5	quintile4	11429	0.3456	0.3461
multimodal_OLD	multimodal	500	5	quintile5	11429	0.5783	0.5907
multimodal_OLD	multimodal	500	5	top_quintile	11429	0.5783	0.5907
multimodal_OLD	multimodal	500	5	top_two_quintiles	22858	0.7242	0.7249
multimodal_5PRIME	multimodal	500	5	all	57144	0.8266	0.8035
multimodal_5PRIME	multimodal	500	5	quintile1	11429	0.2002	0.2167
multimodal_5PRIME	multimodal	500	5	quintile2	11429	0.2039	0.213
multimodal_5PRIME	multimodal	500	5	quintile3	11428	0.2089	0.2173
multimodal_5PRIME	multimodal	500	5	quintile4	11429	0.3516	0.3528
multimodal_5PRIME	multimodal	500	5	quintile5	11429	0.5766	0.5845
multimodal_5PRIME	multimodal	500	5	top_quintile	11429	0.5766	0.5845
multimodal_5PRIME	multimodal	500	5	top_two_quintiles	22858	0.7248	0.7232
