config	mode	half_window	stratum	n_folds	pearson_mean	pearson_sd	ci95_half_width	ci95_lo	ci95_hi
atac_OLD	atac	500	all	5	0.7754	0.0127	0.0158	0.7597	0.7912
atac_OLD	atac	500	quintile1	5	0.1197	0.0157	0.0194	0.1002	0.1391
atac_OLD	atac	500	quintile2	5	0.1282	0.0152	0.0189	0.1094	0.1471
atac_OLD	atac	500	quintile3	5	0.1689	0.006	0.0074	0.1615	0.1763
atac_OLD	atac	500	quintile4	5	0.3273	0.0256	0.0318	0.2955	0.3592
atac_OLD	atac	500	quintile5	5	0.4933	0.026	0.0323	0.461	0.5256
atac_OLD	atac	500	top_quintile	5	0.4933	0.026	0.0323	0.461	0.5256
atac_OLD	atac	500	top_two_quintiles	5	0.6732	0.0107	0.0133	0.6599	0.6865
atac_5PRIME	atac	500	all	5	0.7908	0.0122	0.0152	0.7756	0.8059
atac_5PRIME	atac	500	quintile1	5	0.1404	0.0115	0.0142	0.1262	0.1546
atac_5PRIME	atac	500	quintile2	5	0.1461	0.0086	0.0107	0.1354	0.1567
atac_5PRIME	atac	500	quintile3	5	0.1784	0.0112	0.0139	0.1645	0.1922
atac_5PRIME	atac	500	quintile4	5	0.3246	0.0236	0.0293	0.2953	0.3539
atac_5PRIME	atac	500	quintile5	5	0.5158	0.0268	0.0333	0.4825	0.5491
atac_5PRIME	atac	500	top_quintile	5	0.5158	0.0268	0.0333	0.4825	0.5491
atac_5PRIME	atac	500	top_two_quintiles	5	0.6828	0.0097	0.0121	0.6707	0.6949
multimodal_OLD	multimodal	500	all	5	0.8251	0.0106	0.0132	0.8119	0.8382
multimodal_OLD	multimodal	500	quintile1	5	0.2003	0.0242	0.0301	0.1702	0.2304
multimodal_OLD	multimodal	500	quintile2	5	0.1808	0.0201	0.0249	0.1559	0.2057
multimodal_OLD	multimodal	500	quintile3	5	0.2093	0.0142	0.0177	0.1916	0.227
multimodal_OLD	multimodal	500	quintile4	5	0.3473	0.0208	0.0259	0.3214	0.3731
multimodal_OLD	multimodal	500	quintile5	5	0.5794	0.0125	0.0155	0.5639	0.5948
multimodal_OLD	multimodal	500	top_quintile	5	0.5794	0.0125	0.0155	0.5639	0.5948
multimodal_OLD	multimodal	500	top_two_quintiles	5	0.7237	0.0069	0.0086	0.7151	0.7323
multimodal_5PRIME	multimodal	500	all	5	0.8261	0.011	0.0137	0.8124	0.8398
multimodal_5PRIME	multimodal	500	quintile1	5	0.1953	0.0179	0.0222	0.1731	0.2175
multimodal_5PRIME	multimodal	500	quintile2	5	0.1818	0.0149	0.0185	0.1633	0.2004
multimodal_5PRIME	multimodal	500	quintile3	5	0.2061	0.0172	0.0213	0.1848	0.2274
multimodal_5PRIME	multimodal	500	quintile4	5	0.3533	0.0161	0.02	0.3333	0.3733
multimodal_5PRIME	multimodal	500	quintile5	5	0.5784	0.015	0.0186	0.5598	0.5971
multimodal_5PRIME	multimodal	500	top_quintile	5	0.5784	0.015	0.0186	0.5598	0.5971
multimodal_5PRIME	multimodal	500	top_two_quintiles	5	0.7249	0.0062	0.0076	0.7172	0.7325
