config	mode	half_window	fold	stratum	n	pearson	spearman
atac_OLD	atac	500	0	all	10800	0.7846	0.7526
atac_OLD	atac	500	0	quintile1	2160	0.1252	0.1238
atac_OLD	atac	500	0	quintile2	2160	0.1362	0.1476
atac_OLD	atac	500	0	quintile3	2160	0.1669	0.1714
atac_OLD	atac	500	0	quintile4	2160	0.3384	0.3411
atac_OLD	atac	500	0	quintile5	2160	0.4526	0.4565
atac_OLD	atac	500	0	top_quintile	2160	0.4526	0.4565
atac_OLD	atac	500	0	top_two_quintiles	4320	0.6639	0.6671
atac_OLD	atac	500	1	all	14362	0.7786	0.7542
atac_OLD	atac	500	1	quintile1	2873	0.1087	0.1049
atac_OLD	atac	500	1	quintile2	2872	0.1399	0.1673
atac_OLD	atac	500	1	quintile3	2872	0.1599	0.1727
atac_OLD	atac	500	1	quintile4	2872	0.332	0.3356
atac_OLD	atac	500	1	quintile5	2873	0.4828	0.4934
atac_OLD	atac	500	1	top_quintile	2873	0.4828	0.4934
atac_OLD	atac	500	1	top_two_quintiles	5745	0.6636	0.6701
atac_OLD	atac	500	2	all	10491	0.7651	0.732
atac_OLD	atac	500	2	quintile1	2099	0.0988	0.1123
atac_OLD	atac	500	2	quintile2	2098	0.1038	0.1268
atac_OLD	atac	500	2	quintile3	2098	0.1697	0.1803
atac_OLD	atac	500	2	quintile4	2098	0.2872	0.2873
atac_OLD	atac	500	2	quintile5	2098	0.5069	0.5194
atac_OLD	atac	500	2	top_quintile	2098	0.5069	0.5194
atac_OLD	atac	500	2	top_two_quintiles	4196	0.6733	0.6712
atac_OLD	atac	500	3	all	11028	0.7893	0.7601
atac_OLD	atac	500	3	quintile1	2206	0.1378	0.1535
atac_OLD	atac	500	3	quintile2	2205	0.1382	0.132
atac_OLD	atac	500	3	quintile3	2206	0.1755	0.1798
atac_OLD	atac	500	3	quintile4	2205	0.3565	0.3581
atac_OLD	atac	500	3	quintile5	2206	0.5069	0.5154
