config	mode	half_window	n_folds	stratum	n	pearson	spearman
atac_OLD	atac	500	5	all	58655	0.8136	0.7708
atac_OLD	atac	500	5	quintile1	11731	0.2012	0.2142
atac_OLD	atac	500	5	quintile2	11731	0.1316	0.1408
atac_OLD	atac	500	5	quintile3	11731	0.1739	0.1864
atac_OLD	atac	500	5	quintile4	11731	0.3452	0.3469
atac_OLD	atac	500	5	quintile5	11731	0.5508	0.5617
atac_OLD	atac	500	5	top_quintile	11731	0.5508	0.5617
atac_OLD	atac	500	5	top_two_quintiles	23462	0.73	0.7272
atac_5PRIME	atac	500	5	all	58655	0.8299	0.7922
atac_5PRIME	atac	500	5	quintile1	11731	0.2253	0.2455
atac_5PRIME	atac	500	5	quintile2	11731	0.1569	0.1643
atac_5PRIME	atac	500	5	quintile3	11731	0.1967	0.2061
atac_5PRIME	atac	500	5	quintile4	11731	0.3606	0.3625
atac_5PRIME	atac	500	5	quintile5	11731	0.5835	0.5918
atac_5PRIME	atac	500	5	top_quintile	11731	0.5835	0.5918
atac_5PRIME	atac	500	5	top_two_quintiles	23462	0.7417	0.7362
multimodal_OLD	multimodal	500	5	all	58655	0.8742	0.8433
multimodal_OLD	multimodal	500	5	quintile1	11731	0.3268	0.3311
multimodal_OLD	multimodal	500	5	quintile2	11731	0.1958	0.2012
multimodal_OLD	multimodal	500	5	quintile3	11731	0.2476	0.2597
multimodal_OLD	multimodal	500	5	quintile4	11731	0.4073	0.4066
multimodal_OLD	multimodal	500	5	quintile5	11731	0.6861	0.6894
multimodal_OLD	multimodal	500	5	top_quintile	11731	0.6861	0.6894
multimodal_OLD	multimodal	500	5	top_two_quintiles	23462	0.8053	0.7916
multimodal_5PRIME	multimodal	500	5	all	58655	0.8744	0.8443
multimodal_5PRIME	multimodal	500	5	quintile1	11731	0.3176	0.3191
multimodal_5PRIME	multimodal	500	5	quintile2	11731	0.1927	0.1992
multimodal_5PRIME	multimodal	500	5	quintile3	11731	0.2478	0.2578
multimodal_5PRIME	multimodal	500	5	quintile4	11731	0.4027	0.4028
multimodal_5PRIME	multimodal	500	5	quintile5	11731	0.6886	0.69
multimodal_5PRIME	multimodal	500	5	top_quintile	11731	0.6886	0.69
multimodal_5PRIME	multimodal	500	5	top_two_quintiles	23462	0.8039	0.7895
