config	mode	half_window	stratum	n_folds	pearson_mean	pearson_sd	ci95_half_width	ci95_lo	ci95_hi
atac_OLD	atac	500	all	5	0.8136	0.0157	0.0196	0.7941	0.8332
atac_OLD	atac	500	quintile1	5	0.1979	0.0236	0.0292	0.1686	0.2271
atac_OLD	atac	500	quintile2	5	0.134	0.0181	0.0224	0.1116	0.1564
atac_OLD	atac	500	quintile3	5	0.1836	0.0156	0.0194	0.1642	0.203
atac_OLD	atac	500	quintile4	5	0.3544	0.0434	0.0539	0.3004	0.4083
atac_OLD	atac	500	quintile5	5	0.5476	0.0412	0.0511	0.4965	0.5987
atac_OLD	atac	500	top_quintile	5	0.5476	0.0412	0.0511	0.4965	0.5987
atac_OLD	atac	500	top_two_quintiles	5	0.7323	0.0193	0.024	0.7083	0.7563
atac_5PRIME	atac	500	all	5	0.8301	0.0176	0.0219	0.8082	0.8519
atac_5PRIME	atac	500	quintile1	5	0.217	0.0218	0.0271	0.1899	0.2441
atac_5PRIME	atac	500	quintile2	5	0.148	0.0231	0.0286	0.1194	0.1766
atac_5PRIME	atac	500	quintile3	5	0.2008	0.0211	0.0262	0.1746	0.227
atac_5PRIME	atac	500	quintile4	5	0.3712	0.0462	0.0574	0.3138	0.4285
atac_5PRIME	atac	500	quintile5	5	0.5799	0.0329	0.0409	0.539	0.6208
atac_5PRIME	atac	500	top_quintile	5	0.5799	0.0329	0.0409	0.539	0.6208
atac_5PRIME	atac	500	top_two_quintiles	5	0.7448	0.0232	0.0288	0.716	0.7736
multimodal_OLD	multimodal	500	all	5	0.8741	0.0152	0.0189	0.8552	0.893
multimodal_OLD	multimodal	500	quintile1	5	0.3233	0.0352	0.0437	0.2796	0.367
multimodal_OLD	multimodal	500	quintile2	5	0.1887	0.0267	0.0331	0.1556	0.2218
multimodal_OLD	multimodal	500	quintile3	5	0.2475	0.0165	0.0205	0.227	0.2679
multimodal_OLD	multimodal	500	quintile4	5	0.4138	0.0521	0.0647	0.349	0.4785
multimodal_OLD	multimodal	500	quintile5	5	0.6852	0.0147	0.0182	0.667	0.7034
multimodal_OLD	multimodal	500	top_quintile	5	0.6852	0.0147	0.0182	0.667	0.7034
multimodal_OLD	multimodal	500	top_two_quintiles	5	0.8071	0.017	0.0211	0.786	0.8282
multimodal_5PRIME	multimodal	500	all	5	0.8755	0.0159	0.0197	0.8558	0.8953
multimodal_5PRIME	multimodal	500	quintile1	5	0.3217	0.0311	0.0386	0.2832	0.3603
multimodal_5PRIME	multimodal	500	quintile2	5	0.1957	0.0315	0.0392	0.1566	0.2349
multimodal_5PRIME	multimodal	500	quintile3	5	0.2483	0.0182	0.0226	0.2257	0.2709
multimodal_5PRIME	multimodal	500	quintile4	5	0.4147	0.047	0.0583	0.3563	0.473
multimodal_5PRIME	multimodal	500	quintile5	5	0.6883	0.0055	0.0069	0.6815	0.6952
multimodal_5PRIME	multimodal	500	top_quintile	5	0.6883	0.0055	0.0069	0.6815	0.6952
multimodal_5PRIME	multimodal	500	top_two_quintiles	5	0.8075	0.0163	0.0203	0.7873	0.8278
