config	mode	half_window	fold	stratum	n	pearson	spearman
atac_OLD	atac	500	0	all	10143	0.8151	0.7746
atac_OLD	atac	500	0	quintile1	2029	0.2145	0.2137
atac_OLD	atac	500	0	quintile2	2028	0.1292	0.1355
atac_OLD	atac	500	0	quintile3	2029	0.1768	0.1933
atac_OLD	atac	500	0	quintile4	2028	0.3645	0.3698
atac_OLD	atac	500	0	quintile5	2029	0.5264	0.5454
atac_OLD	atac	500	0	top_quintile	2029	0.5264	0.5454
atac_OLD	atac	500	0	top_two_quintiles	4057	0.7281	0.7289
atac_OLD	atac	500	1	all	14392	0.8145	0.7785
atac_OLD	atac	500	1	quintile1	2879	0.2031	0.2114
atac_OLD	atac	500	1	quintile2	2878	0.1533	0.1689
atac_OLD	atac	500	1	quintile3	2878	0.2038	0.2237
atac_OLD	atac	500	1	quintile4	2878	0.3672	0.3719
atac_OLD	atac	500	1	quintile5	2879	0.4894	0.4967
atac_OLD	atac	500	1	top_quintile	2879	0.4894	0.4967
atac_OLD	atac	500	1	top_two_quintiles	5757	0.7082	0.7135
atac_OLD	atac	500	2	all	12801	0.7902	0.7404
atac_OLD	atac	500	2	quintile1	2561	0.1653	0.1873
atac_OLD	atac	500	2	quintile2	2560	0.1184	0.1193
atac_OLD	atac	500	2	quintile3	2560	0.1636	0.1788
atac_OLD	atac	500	2	quintile4	2560	0.2786	0.2822
atac_OLD	atac	500	2	quintile5	2560	0.5935	0.6046
atac_OLD	atac	500	2	top_quintile	2560	0.5935	0.6046
atac_OLD	atac	500	2	top_two_quintiles	5120	0.7296	0.7134
atac_OLD	atac	500	3	all	12021	0.8346	0.7852
atac_OLD	atac	500	3	quintile1	2405	0.1833	0.209
atac_OLD	atac	500	3	quintile2	2404	0.1163	0.1359
atac_OLD	atac	500	3	quintile3	2404	0.1939	0.2018
atac_OLD	atac	500	3	quintile4	2404	0.3893	0.3849
atac_OLD	atac	500	3	quintile5	2404	0.5759	0.584
atac_OLD	atac	500	3	top_quintile	2404	0.5759	0.584
atac_OLD	atac	500	3	top_two_quintiles	4808	0.7621	0.761
atac_OLD	atac	500	4	all	9298	0.8138	0.7717
atac_OLD	atac	500	4	quintile1	1860	0.2232	0.2289
atac_OLD	atac	500	4	quintile2	1859	0.1528	0.1588
atac_OLD	atac	500	4	quintile3	1860	0.1799	0.1901
atac_OLD	atac	500	4	quintile4	1859	0.3723	0.3673
atac_OLD	atac	500	4	quintile5	1860	0.553	0.5667
atac_OLD	atac	500	4	top_quintile	1860	0.553	0.5667
atac_OLD	atac	500	4	top_two_quintiles	3719	0.7333	0.7305
atac_5PRIME	atac	500	0	all	10143	0.8361	0.7974
atac_5PRIME	atac	500	0	quintile1	2029	0.2325	0.2327
atac_5PRIME	atac	500	0	quintile2	2028	0.1429	0.1508
atac_5PRIME	atac	500	0	quintile3	2029	0.2003	0.1956
atac_5PRIME	atac	500	0	quintile4	2028	0.3827	0.3851
atac_5PRIME	atac	500	0	quintile5	2029	0.5696	0.5896
atac_5PRIME	atac	500	0	top_quintile	2029	0.5696	0.5896
atac_5PRIME	atac	500	0	top_two_quintiles	4057	0.7473	0.7456
atac_5PRIME	atac	500	1	all	14392	0.8311	0.7998
atac_5PRIME	atac	500	1	quintile1	2879	0.2201	0.2288
atac_5PRIME	atac	500	1	quintile2	2878	0.1751	0.185
atac_5PRIME	atac	500	1	quintile3	2878	0.229	0.2505
