config	mode	half_window	n_folds	stratum	n	pearson	spearman
atac_OLD	atac	500	5	all	11412	0.4769	0.5224
atac_OLD	atac	500	5	quintile1	2283	0.3029	0.2772
atac_OLD	atac	500	5	quintile2	2282	0.1062	0.1207
atac_OLD	atac	500	5	quintile3	2282	0.0952	0.0701
atac_OLD	atac	500	5	quintile4	2282	0.082	0.0994
atac_OLD	atac	500	5	quintile5	2283	0.2445	0.2503
atac_OLD	atac	500	5	top_quintile	2283	0.2445	0.2503
atac_OLD	atac	500	5	top_two_quintiles	4565	0.2784	0.2944
atac_5PRIME	atac	500	5	all	11412	0.4545	0.4854
atac_5PRIME	atac	500	5	quintile1	2283	0.2956	0.2709
atac_5PRIME	atac	500	5	quintile2	2282	0.1072	0.1076
atac_5PRIME	atac	500	5	quintile3	2282	0.0876	0.0699
atac_5PRIME	atac	500	5	quintile4	2282	0.0505	0.0593
atac_5PRIME	atac	500	5	quintile5	2283	0.2333	0.2281
atac_5PRIME	atac	500	5	top_quintile	2283	0.2333	0.2281
atac_5PRIME	atac	500	5	top_two_quintiles	4565	0.2634	0.2694
multimodal_OLD	multimodal	500	5	all	11412	0.6789	0.6913
multimodal_OLD	multimodal	500	5	quintile1	2283	0.3584	0.3354
multimodal_OLD	multimodal	500	5	quintile2	2282	0.1469	0.1554
multimodal_OLD	multimodal	500	5	quintile3	2282	0.1646	0.1595
multimodal_OLD	multimodal	500	5	quintile4	2282	0.1476	0.1571
multimodal_OLD	multimodal	500	5	quintile5	2283	0.4682	0.4641
multimodal_OLD	multimodal	500	5	top_quintile	2283	0.4682	0.4641
multimodal_OLD	multimodal	500	5	top_two_quintiles	4565	0.5341	0.5206
multimodal_5PRIME	multimodal	500	5	all	11412	0.688	0.7032
multimodal_5PRIME	multimodal	500	5	quintile1	2283	0.3615	0.3398
multimodal_5PRIME	multimodal	500	5	quintile2	2282	0.1491	0.1607
multimodal_5PRIME	multimodal	500	5	quintile3	2282	0.1534	0.1575
multimodal_5PRIME	multimodal	500	5	quintile4	2282	0.1568	0.1744
multimodal_5PRIME	multimodal	500	5	quintile5	2283	0.466	0.459
multimodal_5PRIME	multimodal	500	5	top_quintile	2283	0.466	0.459
multimodal_5PRIME	multimodal	500	5	top_two_quintiles	4565	0.5435	0.5341
