config	mode	half_window	stratum	n_folds	pearson_mean	pearson_sd	ci95_half_width	ci95_lo	ci95_hi
atac_OLD	atac	500	all	5	0.4768	0.0221	0.0275	0.4494	0.5043
atac_OLD	atac	500	quintile1	5	0.2862	0.0434	0.0539	0.2324	0.3401
atac_OLD	atac	500	quintile2	5	0.0667	0.0376	0.0467	0.02	0.1134
atac_OLD	atac	500	quintile3	5	0.0734	0.0283	0.0351	0.0383	0.1085
atac_OLD	atac	500	quintile4	5	0.1007	0.0385	0.0478	0.0529	0.1485
atac_OLD	atac	500	quintile5	5	0.2539	0.0681	0.0846	0.1693	0.3384
atac_OLD	atac	500	top_quintile	5	0.2539	0.0681	0.0846	0.1693	0.3384
atac_OLD	atac	500	top_two_quintiles	5	0.2815	0.0411	0.0511	0.2304	0.3326
atac_5PRIME	atac	500	all	5	0.4641	0.0269	0.0334	0.4308	0.4975
atac_5PRIME	atac	500	quintile1	5	0.2944	0.0352	0.0437	0.2507	0.3381
atac_5PRIME	atac	500	quintile2	5	0.062	0.0329	0.0408	0.0212	0.1029
atac_5PRIME	atac	500	quintile3	5	0.0546	0.0423	0.0525	0.002	0.1071
atac_5PRIME	atac	500	quintile4	5	0.0698	0.0379	0.047	0.0228	0.1169
atac_5PRIME	atac	500	quintile5	5	0.2728	0.0857	0.1064	0.1664	0.3793
atac_5PRIME	atac	500	top_quintile	5	0.2728	0.0857	0.1064	0.1664	0.3793
atac_5PRIME	atac	500	top_two_quintiles	5	0.2744	0.049	0.0608	0.2136	0.3352
multimodal_OLD	multimodal	500	all	5	0.6811	0.0171	0.0212	0.6599	0.7023
multimodal_OLD	multimodal	500	quintile1	5	0.3515	0.0582	0.0723	0.2792	0.4239
multimodal_OLD	multimodal	500	quintile2	5	0.1057	0.026	0.0322	0.0735	0.1379
multimodal_OLD	multimodal	500	quintile3	5	0.1132	0.0554	0.0688	0.0443	0.182
multimodal_OLD	multimodal	500	quintile4	5	0.1693	0.0464	0.0576	0.1117	0.2268
multimodal_OLD	multimodal	500	quintile5	5	0.4727	0.0509	0.0632	0.4094	0.5359
multimodal_OLD	multimodal	500	top_quintile	5	0.4727	0.0509	0.0632	0.4094	0.5359
multimodal_OLD	multimodal	500	top_two_quintiles	5	0.536	0.0467	0.058	0.4779	0.594
multimodal_5PRIME	multimodal	500	all	5	0.6977	0.024	0.0299	0.6678	0.7275
multimodal_5PRIME	multimodal	500	quintile1	5	0.3565	0.055	0.0683	0.2882	0.4248
multimodal_5PRIME	multimodal	500	quintile2	5	0.1061	0.023	0.0285	0.0776	0.1346
multimodal_5PRIME	multimodal	500	quintile3	5	0.1194	0.0463	0.0575	0.0619	0.1769
multimodal_5PRIME	multimodal	500	quintile4	5	0.1907	0.0332	0.0413	0.1494	0.232
multimodal_5PRIME	multimodal	500	quintile5	5	0.4817	0.0501	0.0623	0.4195	0.544
multimodal_5PRIME	multimodal	500	top_quintile	5	0.4817	0.0501	0.0623	0.4195	0.544
multimodal_5PRIME	multimodal	500	top_two_quintiles	5	0.5545	0.0464	0.0577	0.4968	0.6122
