config	mode	half_window	fold	stratum	n	pearson	spearman
atac_OLD	atac	500	0	all	1878	0.4635	0.5027
atac_OLD	atac	500	0	quintile1	376	0.2464	0.2701
atac_OLD	atac	500	0	quintile2	375	0.1013	0.1079
atac_OLD	atac	500	0	quintile3	376	0.0329	0.0529
atac_OLD	atac	500	0	quintile4	375	0.1517	0.1897
atac_OLD	atac	500	0	quintile5	376	0.3404	0.3418
atac_OLD	atac	500	0	top_quintile	376	0.3404	0.3418
atac_OLD	atac	500	0	top_two_quintiles	751	0.3403	0.3846
atac_OLD	atac	500	1	all	2686	0.4666	0.5123
atac_OLD	atac	500	1	quintile1	538	0.3265	0.2677
atac_OLD	atac	500	1	quintile2	537	0.03	0.0504
atac_OLD	atac	500	1	quintile3	537	0.0956	0.0681
atac_OLD	atac	500	1	quintile4	537	0.1082	0.1084
atac_OLD	atac	500	1	quintile5	537	0.2541	0.2621
atac_OLD	atac	500	1	top_quintile	537	0.2541	0.2621
atac_OLD	atac	500	1	top_two_quintiles	1074	0.248	0.2527
atac_OLD	atac	500	2	all	2308	0.4624	0.5113
atac_OLD	atac	500	2	quintile1	462	0.2809	0.2621
atac_OLD	atac	500	2	quintile2	461	0.0489	0.1032
atac_OLD	atac	500	2	quintile3	462	0.0893	0.0683
atac_OLD	atac	500	2	quintile4	461	0.1075	0.1212
atac_OLD	atac	500	2	quintile5	462	0.1612	0.1454
atac_OLD	atac	500	2	top_quintile	462	0.1612	0.1454
atac_OLD	atac	500	2	top_two_quintiles	923	0.2511	0.2575
atac_OLD	atac	500	3	all	2756	0.4766	0.5321
atac_OLD	atac	500	3	quintile1	552	0.2424	0.2182
atac_OLD	atac	500	3	quintile2	551	0.0407	0.0666
atac_OLD	atac	500	3	quintile3	551	0.0947	0.1031
atac_OLD	atac	500	3	quintile4	551	0.0915	0.1058
atac_OLD	atac	500	3	quintile5	551	0.2218	0.2274
atac_OLD	atac	500	3	top_quintile	551	0.2218	0.2274
atac_OLD	atac	500	3	top_two_quintiles	1102	0.2591	0.2657
atac_OLD	atac	500	4	all	1784	0.5151	0.5491
atac_OLD	atac	500	4	quintile1	357	0.3349	0.2925
atac_OLD	atac	500	4	quintile2	357	0.1127	0.1241
atac_OLD	atac	500	4	quintile3	356	0.0545	0.0102
atac_OLD	atac	500	4	quintile4	357	0.0446	0.0839
atac_OLD	atac	500	4	quintile5	357	0.2919	0.3092
atac_OLD	atac	500	4	top_quintile	357	0.2919	0.3092
atac_OLD	atac	500	4	top_two_quintiles	714	0.3091	0.3415
atac_5PRIME	atac	500	0	all	1878	0.4458	0.4633
atac_5PRIME	atac	500	0	quintile1	376	0.2518	0.2746
atac_5PRIME	atac	500	0	quintile2	375	0.0926	0.0998
atac_5PRIME	atac	500	0	quintile3	376	-0.0053	0.0166
atac_5PRIME	atac	500	0	quintile4	375	0.1048	0.1259
atac_5PRIME	atac	500	0	quintile5	376	0.3866	0.4263
atac_5PRIME	atac	500	0	top_quintile	376	0.3866	0.4263
atac_5PRIME	atac	500	0	top_two_quintiles	751	0.3255	0.3425
atac_5PRIME	atac	500	1	all	2686	0.439	0.4812
atac_5PRIME	atac	500	1	quintile1	538	0.3076	0.2533
atac_5PRIME	atac	500	1	quintile2	537	0.0428	0.0515
atac_5PRIME	atac	500	1	quintile3	537	0.0858	0.0397
atac_5PRIME	atac	500	1	quintile4	537	0.065	0.0611
atac_5PRIME	atac	500	1	quintile5	537	0.2358	0.2496
atac_5PRIME	atac	500	1	top_quintile	537	0.2358	0.2496
atac_5PRIME	atac	500	1	top_two_quintiles	1074	0.2242	0.2206
atac_5PRIME	atac	500	2	all	2308	0.4657	0.4913
atac_5PRIME	atac	500	2	quintile1	462	0.3043	0.2896
atac_5PRIME	atac	500	2	quintile2	461	0.0474	0.0623
atac_5PRIME	atac	500	2	quintile3	462	0.0755	0.0645
atac_5PRIME	atac	500	2	quintile4	461	0.0303	0.008
atac_5PRIME	atac	500	2	quintile5	462	0.2533	0.2454
atac_5PRIME	atac	500	2	top_quintile	462	0.2533	0.2454
atac_5PRIME	atac	500	2	top_two_quintiles	923	0.2854	0.2787
atac_5PRIME	atac	500	3	all	2756	0.4623	0.4954
atac_5PRIME	atac	500	3	quintile1	552	0.2676	0.2289
atac_5PRIME	atac	500	3	quintile2	551	0.0263	0.0314
atac_5PRIME	atac	500	3	quintile3	551	0.0911	0.0884
atac_5PRIME	atac	500	3	quintile4	551	0.1125	0.1227
atac_5PRIME	atac	500	3	quintile5	551	0.1634	0.1343
atac_5PRIME	atac	500	3	top_quintile	551	0.1634	0.1343
atac_5PRIME	atac	500	3	top_two_quintiles	1102	0.2223	0.2361
atac_5PRIME	atac	500	4	all	1784	0.5079	0.5373
atac_5PRIME	atac	500	4	quintile1	357	0.3408	0.2966
atac_5PRIME	atac	500	4	quintile2	357	0.1011	0.1132
atac_5PRIME	atac	500	4	quintile3	356	0.0258	-0.0041
atac_5PRIME	atac	500	4	quintile4	357	0.0366	0.0723
atac_5PRIME	atac	500	4	quintile5	357	0.325	0.3446
atac_5PRIME	atac	500	4	top_quintile	357	0.325	0.3446
atac_5PRIME	atac	500	4	top_two_quintiles	714	0.3147	0.3321
multimodal_OLD	multimodal	500	0	all	1878	0.6654	0.6706
multimodal_OLD	multimodal	500	0	quintile1	376	0.2992	0.2935
multimodal_OLD	multimodal	500	0	quintile2	375	0.1201	0.1248
multimodal_OLD	multimodal	500	0	quintile3	376	0.0914	0.0965
multimodal_OLD	multimodal	500	0	quintile4	375	0.1335	0.1212
multimodal_OLD	multimodal	500	0	quintile5	376	0.4859	0.4895
multimodal_OLD	multimodal	500	0	top_quintile	376	0.4859	0.4895
multimodal_OLD	multimodal	500	0	top_two_quintiles	751	0.533	0.5183
multimodal_OLD	multimodal	500	1	all	2686	0.6622	0.6859
multimodal_OLD	multimodal	500	1	quintile1	538	0.31	0.2703
multimodal_OLD	multimodal	500	1	quintile2	537	0.1122	0.1022
multimodal_OLD	multimodal	500	1	quintile3	537	0.1954	0.1741
multimodal_OLD	multimodal	500	1	quintile4	537	0.1296	0.1231
multimodal_OLD	multimodal	500	1	quintile5	537	0.3939	0.4322
multimodal_OLD	multimodal	500	1	top_quintile	537	0.3939	0.4322
multimodal_OLD	multimodal	500	1	top_two_quintiles	1074	0.4581	0.4513
multimodal_OLD	multimodal	500	2	all	2308	0.7028	0.7182
multimodal_OLD	multimodal	500	2	quintile1	462	0.4345	0.4274
multimodal_OLD	multimodal	500	2	quintile2	461	0.1012	0.1015
multimodal_OLD	multimodal	500	2	quintile3	462	0.1159	0.1003
multimodal_OLD	multimodal	500	2	quintile4	461	0.1607	0.1811
multimodal_OLD	multimodal	500	2	quintile5	462	0.5357	0.5091
multimodal_OLD	multimodal	500	2	top_quintile	462	0.5357	0.5091
multimodal_OLD	multimodal	500	2	top_two_quintiles	923	0.5776	0.5836
multimodal_OLD	multimodal	500	3	all	2756	0.6856	0.6972
multimodal_OLD	multimodal	500	3	quintile1	552	0.3241	0.3001
multimodal_OLD	multimodal	500	3	quintile2	551	0.0637	0.0635
multimodal_OLD	multimodal	500	3	quintile3	551	0.1206	0.139
multimodal_OLD	multimodal	500	3	quintile4	551	0.244	0.2468
multimodal_OLD	multimodal	500	3	quintile5	551	0.4708	0.4442
multimodal_OLD	multimodal	500	3	top_quintile	551	0.4708	0.4442
multimodal_OLD	multimodal	500	3	top_two_quintiles	1102	0.5646	0.5466
multimodal_OLD	multimodal	500	4	all	1784	0.6895	0.6948
multimodal_OLD	multimodal	500	4	quintile1	357	0.3899	0.3539
multimodal_OLD	multimodal	500	4	quintile2	357	0.1314	0.165
multimodal_OLD	multimodal	500	4	quintile3	356	0.0425	0.0403
multimodal_OLD	multimodal	500	4	quintile4	357	0.1785	0.2033
multimodal_OLD	multimodal	500	4	quintile5	357	0.4771	0.4726
multimodal_OLD	multimodal	500	4	top_quintile	357	0.4771	0.4726
multimodal_OLD	multimodal	500	4	top_two_quintiles	714	0.5466	0.5414
multimodal_5PRIME	multimodal	500	0	all	1878	0.6851	0.6859
multimodal_5PRIME	multimodal	500	0	quintile1	376	0.3133	0.3118
