cell	bin_bp	stratum	n_elements	shape_r_observed_atac_vs_dnase
k562	1	all	9832	0.1583
k562	1	topq	1973	0.2945
k562	5	all	9832	0.3483
k562	5	topq	1973	0.5472
k562	10	all	9832	0.4629
k562	10	topq	1973	0.6595
k562	25	all	9832	0.5945
k562	25	topq	1973	0.7671
k562	50	all	9832	0.6771
k562	50	topq	1973	0.8275
k562	100	all	9832	0.7433
k562	100	topq	1973	0.8843
k562	250	all	9832	0.7716
k562	250	topq	1973	0.9154
gm12878	1	all	10783	0.1042
gm12878	1	topq	2163	0.2004
gm12878	5	all	10783	0.2399
gm12878	5	topq	2163	0.4107
gm12878	10	all	10783	0.3233
gm12878	10	topq	2163	0.5117
gm12878	25	all	10783	0.4523
gm12878	25	topq	2163	0.6377
gm12878	50	all	10783	0.554
gm12878	50	topq	2163	0.7228
gm12878	100	all	10783	0.6576
gm12878	100	topq	2163	0.7982
gm12878	250	all	10780	0.7327
gm12878	250	topq	2163	0.8523
