label	stratum	n	pearson	spearman	mean_log_atac	mean_log_h3k27ac	half_window
K562	all	150519	0.7249	0.6989	11.048	2.851	500
K562	top_quintile	30104	0.5102	0.5224	12.421	5.058	500
K562	top_two_quintiles	60208	0.6751	0.6866	11.865	4.236	500
GM12878	all	154215	0.6862	0.6693	11.139	2.551	500
GM12878	top_quintile	30843	0.4088	0.4171	12.614	4.85	500
GM12878	top_two_quintiles	61686	0.6071	0.6232	12.065	4.127	500
TeloHAEC_ctrl	all	151399	0.7312	0.7325	8.66	3.654	500
TeloHAEC_ctrl	top_quintile	30280	0.3707	0.3746	10.143	5.915	500
TeloHAEC_ctrl	top_two_quintiles	60560	0.6097	0.621	9.653	5.184	500
TeloHAEC_IL1b	all	148358	0.6726	0.726	8.306	2.371	500
TeloHAEC_IL1b	top_quintile	29672	0.3421	0.3397	9.574	4.607	500
TeloHAEC_IL1b	top_two_quintiles	59343	0.5335	0.5385	9.208	3.967	500
TeloHAEC_TNFa	all	147397	0.6769	0.7277	8.019	2.385	500
TeloHAEC_TNFa	top_quintile	29480	0.3324	0.3286	9.302	4.594	500
TeloHAEC_TNFa	top_two_quintiles	58959	0.5333	0.539	8.929	3.956	500
TeloHAEC_VEGF	all	146122	0.6925	0.7273	8.007	2.317	500
TeloHAEC_VEGF	top_quintile	29225	0.3496	0.3443	9.428	4.332	500
TeloHAEC_VEGF	top_two_quintiles	58449	0.5682	0.5746	8.997	3.714	500
