biosample	accessibility_assay	h3k27ac_experiment	h3k27ac_run_type	n_replicate_files	n_experiments_in_row	source	ceiling_computable	caveat	h3k27ac_bams
GM12878	ATAC+DNase	ENCSR000AKC	se	2	1	ENCODE	yes		/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/GM12878/ENCFF645BAL.filtered.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/GM12878/ENCFF865OOP.filtered.sorted.bam
H1	DNase	ENCSR000ANP	se	2	1	ENCODE	yes		/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/H1/ENCFF120QMN.filtered.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/H1/ENCFF104RJG.filtered.sorted.bam
H9	DNase	ENCSR876RGF	se	2	1	ENCODE	yes		/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/H9/ENCFF825BCF.filtered.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/H9/ENCFF709WUL.filtered.sorted.bam
HCT116	DNase	ENCSR661KMA	se, pe	2	1	ENCODE	no	replicates differ in run type; not interchangeable	/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/HCT116/ENCFF943GHK.filtered.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/HCT116/ENCFF977FPK.filtered.sorted.bam
Jurkat	DNase	GSE155555	se	2	1	GEO/SRA	yes		/oak/stanford/groups/engreitz/Users/jgalante/making_jurkat/resources/analyze_validation_datasets/process_bam_files_and_combined_w_EG_results/ABC_inputs_for_Maya/Jurkat/h3k27ac_rep1_sorted.bam;/oak/stanford/groups/engreitz/Users/jgalante/making_jurkat/resources/analyze_validation_datasets/process_bam_files_and_combined_w_EG_results/ABC_inputs_for_Maya/Jurkat/h3k27ac_rep2_sorted.bam
K562	ATAC+DNase	ENCSR000AKP	se	2	1	ENCODE	yes		/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/K562/ENCFF790GFL.se.filtered.sorted.bam;/oak/stanford/groups/engreitz/Users/sheth/Data/ENCODE/K562/ENCFF817HMW.se.filtered.sorted.bam
THP-1	DNase	GSE201352	pe	2	1	GEO/SRA	yes		/oak/stanford/groups/engreitz/Projects/E2G/THP1/THP1_PRJNA830917/THP1_macrophages_0000min_R1/H3K27ac/SRR18899252.pe.filtered.sorted.dedup.bam;/oak/stanford/groups/engreitz/Projects/E2G/THP1/THP1_PRJNA830917/THP1_macrophages_0000min_R2/H3K27ac/SRR18899253.pe.filtered.sorted.dedup.bam
TeloHAEC	ATAC	GSE210489,GSE210491	pe	4	2	GEO/SRA	no	row pools 2 experiments; split before use	/oak/stanford/groups/engreitz/Projects/E2G/endothelial_cells/TeloHAEC_GSE210489_GSE210491/TeloHAEC_ctrl/H3K27ac/SRR20810532.filtered.sorted.dedup.bam;/oak/stanford/groups/engreitz/Projects/E2G/endothelial_cells/TeloHAEC_GSE210489_GSE210491/TeloHAEC_ctrl/H3K27ac/SRR20810533.filtered.sorted.dedup.bam;/oak/stanford/groups/engreitz/Projects/E2G/endothelial_cells/TeloHAEC_GSE210489_GSE210491/TeloHAEC_ctrl/H3K27ac/SRR20810544.filtered.sorted.dedup.bam;/oak/stanford/groups/engreitz/Projects/E2G/endothelial_cells/TeloHAEC_GSE210489_GSE210491/TeloHAEC_ctrl/H3K27ac/SRR20810545.filtered.sorted.dedup.bam
TeloHAEC + IL1b	ATAC	GSE210489,GSE210491	pe	2	2	GEO/SRA	no	row pools 2 experiments; split before use	/oak/stanford/groups/engreitz/Projects/E2G/endothelial_cells/TeloHAEC_GSE210489_GSE210491/TeloHAEC_IL1b/H3K27ac/SRR20810530.filtered.sorted.dedup.bam;/oak/stanford/groups/engreitz/Projects/E2G/endothelial_cells/TeloHAEC_GSE210489_GSE210491/TeloHAEC_IL1b/H3K27ac/SRR20810531.filtered.sorted.dedup.bam
TeloHAEC + TNFa	ATAC	GSE210489,GSE210491	pe	2	2	GEO/SRA	no	row pools 2 experiments; split before use	/oak/stanford/groups/engreitz/Projects/E2G/endothelial_cells/TeloHAEC_GSE210489_GSE210491/TeloHAEC_TNFa/H3K27ac/SRR20810528.filtered.sorted.dedup.bam;/oak/stanford/groups/engreitz/Projects/E2G/endothelial_cells/TeloHAEC_GSE210489_GSE210491/TeloHAEC_TNFa/H3K27ac/SRR20810529.filtered.sorted.dedup.bam
TeloHAEC + no VEGF	ATAC	GSE210489,GSE210491	pe	2	2	GEO/SRA	no	row pools 2 experiments; split before use	/oak/stanford/groups/engreitz/Projects/E2G/endothelial_cells/TeloHAEC_GSE210489_GSE210491/TeloHAEC_VEGF_ctrl/H3K27ac/SRR20810526.filtered.sorted.dedup.bam;/oak/stanford/groups/engreitz/Projects/E2G/endothelial_cells/TeloHAEC_GSE210489_GSE210491/TeloHAEC_VEGF_ctrl/H3K27ac/SRR20810527.filtered.sorted.dedup.bam
