fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	seq_atac_clw10	9856	1973	0.9039	0.878	0.468	0.0513	0.1184	0.5013	0.3595	0.7741
0	atac_only_clw10	9856	1973	0.8751	0.8078		0.0	0.0	0.274	0.4387	0.4687
1	seq_atac_clw10	12815	2566	0.8913	0.8569	0.4257	0.0457	0.133	0.5241	0.3398	0.7876
1	atac_only_clw10	12815	2566	0.8653	0.7755		0.0	0.0	0.2902	0.42	0.4778
2	seq_atac_clw10	14350	2876	0.7199	0.8722	0.2348	0.0248	0.0873	0.4558	0.3722	0.749
2	atac_only_clw10	14350	2876	0.7025	0.8206		0.0	0.0	0.2369	0.4476	0.4461
3	seq_atac_clw10	12922	2586	0.7879	0.8814	0.2679	0.0277	0.0821	0.4717	0.3677	0.7708
3	atac_only_clw10	12922	2586	0.7701	0.8335		0.0	0.0	0.2481	0.4457	0.4597
4	seq_atac_clw10	9545	1909	0.8727	0.8863	0.4459	0.0591	0.118	0.4789	0.3743	0.7678
4	atac_only_clw10	9545	1909	0.8382	0.8171		0.0	0.0	0.2562	0.4514	0.4594
