label	cell	fold	bin_bp	stratum	n_elements	shape_r_model	shape_r_replicate	n_ceiling_elements	ceiling	frac_of_ceiling
atac_only_clw10	k562	0	1	all	9833	0.3431	0.211	9747	0.5903	0.5812
atac_only_clw10	k562	0	1	topq	1973	0.5718	0.5264	1972	0.8305	0.6884
atac_only_clw10	k562	0	5	all	9833	0.5309	0.3221	9747	0.698	0.7606
atac_only_clw10	k562	0	5	topq	1973	0.7693	0.7108	1972	0.9116	0.8439
atac_only_clw10	k562	0	10	all	9833	0.6092	0.3919	9747	0.7504	0.8118
atac_only_clw10	k562	0	10	topq	1973	0.8313	0.7904	1972	0.9396	0.8847
atac_only_clw10	k562	0	25	all	9833	0.6976	0.4939	9747	0.8132	0.8579
atac_only_clw10	k562	0	25	topq	1973	0.8893	0.8746	1972	0.966	0.9207
atac_only_clw10	k562	0	50	all	9833	0.7507	0.571	9747	0.8526	0.8805
atac_only_clw10	k562	0	50	topq	1973	0.9198	0.9207	1972	0.9791	0.9394
atac_only_clw10	k562	0	100	all	9833	0.7896	0.6457	9747	0.8858	0.8914
atac_only_clw10	k562	0	100	topq	1973	0.9405	0.9545	1972	0.9883	0.9516
atac_only_clw10	k562	0	250	all	9833	0.8049	0.6979	9717	0.9067	0.8878
atac_only_clw10	k562	0	250	topq	1973	0.9491	0.9714	1972	0.9927	0.956
