label	cell	fold	bin_bp	stratum	n_elements	shape_r_model	shape_r_replicate	n_ceiling_elements	ceiling	frac_of_ceiling
atac_only_clw10_tx	gm12878	0	1	all	10783	0.1744	0.109	10761	0.4434	0.3932
atac_only_clw10_tx	gm12878	0	1	topq	2163	0.3111	0.289	2163	0.6697	0.4645
atac_only_clw10_tx	gm12878	0	5	all	10783	0.3284	0.1753	10761	0.5462	0.6013
atac_only_clw10_tx	gm12878	0	5	topq	2163	0.5309	0.4215	2163	0.7701	0.6894
atac_only_clw10_tx	gm12878	0	10	all	10783	0.4127	0.2294	10761	0.6109	0.6755
atac_only_clw10_tx	gm12878	0	10	topq	2163	0.6256	0.5084	2163	0.821	0.7619
atac_only_clw10_tx	gm12878	0	25	all	10783	0.5288	0.3296	10761	0.7041	0.751
atac_only_clw10_tx	gm12878	0	25	topq	2163	0.7317	0.6292	2163	0.8789	0.8326
atac_only_clw10_tx	gm12878	0	50	all	10783	0.6144	0.4199	10761	0.769	0.7989
atac_only_clw10_tx	gm12878	0	50	topq	2163	0.7962	0.7137	2163	0.9127	0.8724
atac_only_clw10_tx	gm12878	0	100	all	10783	0.6916	0.5198	10761	0.8271	0.8362
atac_only_clw10_tx	gm12878	0	100	topq	2163	0.8416	0.7801	2163	0.9362	0.899
atac_only_clw10_tx	gm12878	0	250	all	10780	0.738	0.5771	10732	0.8555	0.8627
atac_only_clw10_tx	gm12878	0	250	topq	2163	0.8635	0.818	2163	0.9486	0.9102
