label	cell	fold	bin_bp	stratum	n_elements	shape_r_model	shape_r_replicate	n_ceiling_elements	ceiling	frac_of_ceiling
ataconly5f	gm12878	0	1	all	10783	0.1744	0.109	10761	0.4434	0.3932
ataconly5f	gm12878	0	1	topq	2163	0.3111	0.289	2163	0.6697	0.4645
ataconly5f	gm12878	0	5	all	10783	0.3284	0.1753	10761	0.5462	0.6013
ataconly5f	gm12878	0	5	topq	2163	0.5309	0.4215	2163	0.7701	0.6894
ataconly5f	gm12878	0	10	all	10783	0.4127	0.2294	10761	0.6109	0.6755
ataconly5f	gm12878	0	10	topq	2163	0.6256	0.5084	2163	0.821	0.7619
ataconly5f	gm12878	0	25	all	10783	0.5288	0.3296	10761	0.7041	0.751
ataconly5f	gm12878	0	25	topq	2163	0.7317	0.6292	2163	0.8789	0.8326
ataconly5f	gm12878	0	50	all	10783	0.6144	0.4199	10761	0.769	0.7989
ataconly5f	gm12878	0	50	topq	2163	0.7962	0.7137	2163	0.9127	0.8724
ataconly5f	gm12878	0	100	all	10783	0.6916	0.5198	10761	0.8271	0.8362
ataconly5f	gm12878	0	100	topq	2163	0.8416	0.7801	2163	0.9362	0.899
ataconly5f	gm12878	0	250	all	10780	0.738	0.5771	10732	0.8555	0.8627
ataconly5f	gm12878	0	250	topq	2163	0.8635	0.818	2163	0.9486	0.9102
ataconly5f	gm12878	1	1	all	14339	0.1857	0.1279	14301	0.4762	0.3899
ataconly5f	gm12878	1	1	topq	2879	0.3292	0.3343	2879	0.7079	0.4651
ataconly5f	gm12878	1	5	all	14339	0.3435	0.2013	14301	0.5789	0.5933
ataconly5f	gm12878	1	5	topq	2879	0.5503	0.4698	2879	0.7995	0.6882
ataconly5f	gm12878	1	10	all	14339	0.4276	0.2584	14301	0.6408	0.6672
ataconly5f	gm12878	1	10	topq	2879	0.6442	0.5514	2879	0.8431	0.764
ataconly5f	gm12878	1	25	all	14339	0.5402	0.3567	14301	0.7251	0.7449
ataconly5f	gm12878	1	25	topq	2879	0.7462	0.6644	2879	0.8935	0.8351
ataconly5f	gm12878	1	50	all	14339	0.6217	0.448	14301	0.7866	0.7904
ataconly5f	gm12878	1	50	topq	2879	0.8079	0.7406	2879	0.9225	0.8758
ataconly5f	gm12878	1	100	all	14339	0.694	0.5428	14301	0.8388	0.8274
ataconly5f	gm12878	1	100	topq	2879	0.8518	0.7999	2879	0.9428	0.9035
ataconly5f	gm12878	1	250	all	14335	0.7387	0.5985	14260	0.8654	0.8536
ataconly5f	gm12878	1	250	topq	2879	0.8737	0.832	2879	0.9531	0.9168
ataconly5f	gm12878	2	1	all	10457	0.1772	0.1157	10432	0.4554	0.3891
ataconly5f	gm12878	2	1	topq	2112	0.3213	0.3098	2112	0.6878	0.4672
ataconly5f	gm12878	2	5	all	10457	0.3306	0.1847	10432	0.5584	0.592
ataconly5f	gm12878	2	5	topq	2112	0.5412	0.4471	2112	0.7861	0.6885
ataconly5f	gm12878	2	10	all	10457	0.4147	0.238	10432	0.6201	0.6688
ataconly5f	gm12878	2	10	topq	2112	0.6359	0.5315	2112	0.8331	0.7633
ataconly5f	gm12878	2	25	all	10457	0.5289	0.3384	10432	0.7111	0.7437
ataconly5f	gm12878	2	25	topq	2112	0.7411	0.6485	2112	0.887	0.8355
ataconly5f	gm12878	2	50	all	10457	0.6137	0.43	10432	0.7755	0.7914
ataconly5f	gm12878	2	50	topq	2112	0.8034	0.734	2112	0.9201	0.8732
ataconly5f	gm12878	2	100	all	10457	0.6902	0.5258	10432	0.8302	0.8314
ataconly5f	gm12878	2	100	topq	2112	0.8507	0.8005	2112	0.943	0.9021
ataconly5f	gm12878	2	250	all	10455	0.7375	0.5853	10405	0.8593	0.8583
ataconly5f	gm12878	2	250	topq	2112	0.8715	0.8354	2112	0.9541	0.9134
ataconly5f	gm12878	3	1	all	11004	0.1792	0.117	10986	0.4576	0.3916
ataconly5f	gm12878	3	1	topq	2206	0.3146	0.3078	2206	0.6861	0.4586
ataconly5f	gm12878	3	5	all	11004	0.3364	0.1842	10986	0.5578	0.6031
ataconly5f	gm12878	3	5	topq	2206	0.5334	0.4356	2206	0.779	0.6848
ataconly5f	gm12878	3	10	all	11004	0.4224	0.2372	10986	0.6192	0.6822
ataconly5f	gm12878	3	10	topq	2206	0.6267	0.5197	2206	0.827	0.7578
ataconly5f	gm12878	3	25	all	11004	0.5393	0.3361	10986	0.7093	0.7604
ataconly5f	gm12878	3	25	topq	2206	0.7279	0.6374	2206	0.8823	0.8249
ataconly5f	gm12878	3	50	all	11004	0.6245	0.4271	10986	0.7737	0.8071
ataconly5f	gm12878	3	50	topq	2206	0.7898	0.7208	2206	0.9153	0.8629
ataconly5f	gm12878	3	100	all	11004	0.7008	0.5264	10986	0.8305	0.8438
ataconly5f	gm12878	3	100	topq	2206	0.837	0.787	2206	0.9385	0.8918
ataconly5f	gm12878	3	250	all	11002	0.7507	0.5882	10961	0.8606	0.8723
ataconly5f	gm12878	3	250	topq	2206	0.8621	0.818	2206	0.9486	0.9088
ataconly5f	gm12878	4	1	all	10445	0.1766	0.1093	10421	0.444	0.3979
ataconly5f	gm12878	4	1	topq	2100	0.3153	0.2852	2100	0.6662	0.4733
ataconly5f	gm12878	4	5	all	10445	0.3325	0.1747	10421	0.5453	0.6096
ataconly5f	gm12878	4	5	topq	2100	0.5359	0.4158	2100	0.7664	0.6992
