label	cell	fold	bin_bp	stratum	n_elements	shape_r_model	shape_r_replicate	n_ceiling_elements	ceiling	frac_of_ceiling
ataconly5f	k562	0	1	all	9833	0.3431	0.211	9747	0.5903	0.5812
ataconly5f	k562	0	1	topq	1973	0.5718	0.5264	1972	0.8305	0.6884
ataconly5f	k562	0	5	all	9833	0.5309	0.3221	9747	0.698	0.7606
ataconly5f	k562	0	5	topq	1973	0.7693	0.7108	1972	0.9116	0.8439
ataconly5f	k562	0	10	all	9833	0.6092	0.3919	9747	0.7504	0.8118
ataconly5f	k562	0	10	topq	1973	0.8313	0.7904	1972	0.9396	0.8847
ataconly5f	k562	0	25	all	9833	0.6976	0.4939	9747	0.8132	0.8579
ataconly5f	k562	0	25	topq	1973	0.8893	0.8746	1972	0.966	0.9207
ataconly5f	k562	0	50	all	9833	0.7507	0.571	9747	0.8526	0.8805
ataconly5f	k562	0	50	topq	1973	0.9198	0.9207	1972	0.9791	0.9394
ataconly5f	k562	0	100	all	9833	0.7896	0.6457	9747	0.8858	0.8914
ataconly5f	k562	0	100	topq	1973	0.9405	0.9545	1972	0.9883	0.9516
ataconly5f	k562	0	250	all	9833	0.8049	0.6979	9717	0.9067	0.8878
ataconly5f	k562	0	250	topq	1973	0.9491	0.9714	1972	0.9927	0.956
ataconly5f	k562	1	1	all	12773	0.3624	0.2454	12599	0.6278	0.5772
ataconly5f	k562	1	1	topq	2566	0.5812	0.5828	2566	0.8581	0.6773
ataconly5f	k562	1	5	all	12773	0.5499	0.3646	12599	0.731	0.7523
ataconly5f	k562	1	5	topq	2566	0.7719	0.7567	2566	0.9282	0.8316
ataconly5f	k562	1	10	all	12773	0.6261	0.4357	12599	0.7791	0.8036
ataconly5f	k562	1	10	topq	2566	0.8324	0.8269	2566	0.9515	0.8749
ataconly5f	k562	1	25	all	12773	0.7095	0.5368	12599	0.8358	0.8488
ataconly5f	k562	1	25	topq	2566	0.8893	0.8955	2566	0.972	0.9149
ataconly5f	k562	1	50	all	12773	0.7599	0.6137	12599	0.8721	0.8713
ataconly5f	k562	1	50	topq	2566	0.9204	0.9331	2566	0.9825	0.9368
ataconly5f	k562	1	100	all	12773	0.7966	0.6824	12599	0.9007	0.8845
ataconly5f	k562	1	100	topq	2566	0.9414	0.9621	2566	0.9903	0.9506
ataconly5f	k562	1	250	all	12773	0.8097	0.7389	12565	0.9219	0.8783
ataconly5f	k562	1	250	topq	2566	0.9495	0.9769	2566	0.9941	0.9551
ataconly5f	k562	2	1	all	14184	0.2994	0.1886	13741	0.5633	0.5314
ataconly5f	k562	2	1	topq	2876	0.5416	0.514	2870	0.824	0.6573
ataconly5f	k562	2	5	all	14184	0.4703	0.2821	13741	0.6634	0.7089
ataconly5f	k562	2	5	topq	2876	0.7351	0.6791	2870	0.8994	0.8173
ataconly5f	k562	2	10	all	14184	0.5453	0.3424	13741	0.7142	0.7634
ataconly5f	k562	2	10	topq	2876	0.7985	0.7539	2870	0.9272	0.8613
ataconly5f	k562	2	25	all	14184	0.6326	0.435	13741	0.7787	0.8124
ataconly5f	k562	2	25	topq	2876	0.8587	0.8359	2870	0.9543	0.8998
ataconly5f	k562	2	50	all	14184	0.6875	0.5122	13741	0.8231	0.8353
ataconly5f	k562	2	50	topq	2876	0.8922	0.8843	2870	0.9688	0.9209
ataconly5f	k562	2	100	all	14184	0.7284	0.5892	13741	0.8611	0.8459
ataconly5f	k562	2	100	topq	2876	0.9146	0.9219	2870	0.9795	0.9338
ataconly5f	k562	2	250	all	14184	0.7431	0.6477	13696	0.8867	0.838
ataconly5f	k562	2	250	topq	2876	0.9253	0.9418	2869	0.9849	0.9395
ataconly5f	k562	3	1	all	12801	0.3136	0.1958	12645	0.5722	0.5479
ataconly5f	k562	3	1	topq	2586	0.5604	0.537	2585	0.8359	0.6704
ataconly5f	k562	3	5	all	12801	0.4946	0.2941	12645	0.6742	0.7336
ataconly5f	k562	3	5	topq	2586	0.7611	0.7087	2585	0.9108	0.8357
ataconly5f	k562	3	10	all	12801	0.5736	0.3572	12645	0.7255	0.7906
ataconly5f	k562	3	10	topq	2586	0.824	0.787	2585	0.9385	0.8779
ataconly5f	k562	3	25	all	12801	0.6655	0.4534	12645	0.7899	0.8425
ataconly5f	k562	3	25	topq	2586	0.8824	0.869	2585	0.9643	0.915
ataconly5f	k562	3	50	all	12801	0.7224	0.5296	12645	0.8322	0.8682
ataconly5f	k562	3	50	topq	2586	0.9133	0.9134	2585	0.9771	0.9347
ataconly5f	k562	3	100	all	12801	0.7631	0.6063	12645	0.8688	0.8783
ataconly5f	k562	3	100	topq	2586	0.9328	0.9477	2585	0.9865	0.9455
ataconly5f	k562	3	250	all	12801	0.7765	0.6647	12590	0.8936	0.869
ataconly5f	k562	3	250	topq	2586	0.9382	0.9631	2585	0.9906	0.9471
ataconly5f	k562	4	1	all	9521	0.3212	0.1968	9356	0.5735	0.5601
ataconly5f	k562	4	1	topq	1909	0.56	0.5069	1909	0.8202	0.6827
ataconly5f	k562	4	5	all	9521	0.5027	0.301	9356	0.6802	0.7391
ataconly5f	k562	4	5	topq	1909	0.7622	0.6877	1909	0.9028	0.8443
ataconly5f	k562	4	10	all	9521	0.5801	0.3678	9356	0.7333	0.7911
ataconly5f	k562	4	10	topq	1909	0.8248	0.7712	1909	0.9332	0.8839
ataconly5f	k562	4	25	all	9521	0.6686	0.4671	9356	0.798	0.8378
ataconly5f	k562	4	25	topq	1909	0.8844	0.8612	1909	0.962	0.9194
ataconly5f	k562	4	50	all	9521	0.7229	0.5407	9356	0.8378	0.8629
ataconly5f	k562	4	50	topq	1909	0.9138	0.9117	1909	0.9766	0.9357
ataconly5f	k562	4	100	all	9521	0.7626	0.6157	9356	0.873	0.8736
ataconly5f	k562	4	100	topq	1909	0.9325	0.9495	1909	0.987	0.9448
ataconly5f	k562	4	250	all	9521	0.7777	0.671	9328	0.8962	0.8678
ataconly5f	k562	4	250	topq	1909	0.9367	0.9641	1909	0.9908	0.9454
