label	cell	fold	bin_bp	stratum	n_elements	shape_r_model	shape_r_replicate	n_ceiling_elements	ceiling	frac_of_ceiling
converter5f	gm12878	0	1	all	10783	0.2757	0.109	10761	0.4434	0.6217
converter5f	gm12878	0	1	topq	2163	0.481	0.289	2163	0.6697	0.7183
converter5f	gm12878	0	5	all	10783	0.3675	0.1753	10761	0.5462	0.6729
converter5f	gm12878	0	5	topq	2163	0.5969	0.4215	2163	0.7701	0.7751
converter5f	gm12878	0	10	all	10783	0.436	0.2294	10761	0.6109	0.7137
converter5f	gm12878	0	10	topq	2163	0.6656	0.5084	2163	0.821	0.8107
converter5f	gm12878	0	25	all	10783	0.5405	0.3296	10761	0.7041	0.7675
converter5f	gm12878	0	25	topq	2163	0.7504	0.6292	2163	0.8789	0.8538
converter5f	gm12878	0	50	all	10783	0.622	0.4199	10761	0.769	0.8088
converter5f	gm12878	0	50	topq	2163	0.8037	0.7137	2163	0.9127	0.8806
converter5f	gm12878	0	100	all	10783	0.7076	0.5198	10761	0.8271	0.8556
converter5f	gm12878	0	100	topq	2163	0.8536	0.7801	2163	0.9362	0.9117
converter5f	gm12878	0	250	all	10780	0.7607	0.5771	10732	0.8555	0.8893
converter5f	gm12878	0	250	topq	2163	0.8771	0.818	2163	0.9486	0.9246
converter5f	gm12878	1	1	all	14339	0.2909	0.1279	14301	0.4762	0.6108
converter5f	gm12878	1	1	topq	2879	0.506	0.3343	2879	0.7079	0.7148
converter5f	gm12878	1	5	all	14339	0.3815	0.2013	14301	0.5789	0.6591
converter5f	gm12878	1	5	topq	2879	0.6144	0.4698	2879	0.7995	0.7684
converter5f	gm12878	1	10	all	14339	0.4494	0.2584	14301	0.6408	0.7013
converter5f	gm12878	1	10	topq	2879	0.6814	0.5514	2879	0.8431	0.8082
converter5f	gm12878	1	25	all	14339	0.5512	0.3567	14301	0.7251	0.7601
converter5f	gm12878	1	25	topq	2879	0.7627	0.6644	2879	0.8935	0.8536
converter5f	gm12878	1	50	all	14339	0.6288	0.448	14301	0.7866	0.7994
converter5f	gm12878	1	50	topq	2879	0.8125	0.7406	2879	0.9225	0.8808
converter5f	gm12878	1	100	all	14339	0.7082	0.5428	14301	0.8388	0.8443
converter5f	gm12878	1	100	topq	2879	0.8585	0.7999	2879	0.9428	0.9106
converter5f	gm12878	1	250	all	14335	0.7595	0.5985	14260	0.8654	0.8776
converter5f	gm12878	1	250	topq	2879	0.887	0.832	2879	0.9531	0.9307
converter5f	gm12878	2	1	all	10457	0.2775	0.1157	10432	0.4554	0.6093
converter5f	gm12878	2	1	topq	2112	0.4894	0.3098	2112	0.6878	0.7115
converter5f	gm12878	2	5	all	10457	0.368	0.1847	10432	0.5584	0.659
converter5f	gm12878	2	5	topq	2112	0.6038	0.4471	2112	0.7861	0.7681
converter5f	gm12878	2	10	all	10457	0.4361	0.238	10432	0.6201	0.7032
