label	cell	fold	bin_bp	stratum	n_elements	shape_r_model	shape_r_replicate	n_ceiling_elements	ceiling	frac_of_ceiling
converter5f	k562	0	1	all	9833	0.521	0.211	9747	0.5903	0.8827
converter5f	k562	0	1	topq	1973	0.7986	0.5264	1972	0.8305	0.9615
converter5f	k562	0	5	all	9833	0.6554	0.3221	9747	0.698	0.939
converter5f	k562	0	5	topq	1973	0.8938	0.7108	1972	0.9116	0.9805
converter5f	k562	0	10	all	9833	0.7148	0.3919	9747	0.7504	0.9525
converter5f	k562	0	10	topq	1973	0.9227	0.7904	1972	0.9396	0.982
converter5f	k562	0	25	all	9833	0.7891	0.4939	9747	0.8132	0.9704
converter5f	k562	0	25	topq	1973	0.9505	0.8746	1972	0.966	0.984
converter5f	k562	0	50	all	9833	0.8345	0.571	9747	0.8526	0.9788
converter5f	k562	0	50	topq	1973	0.9654	0.9207	1972	0.9791	0.986
converter5f	k562	0	100	all	9833	0.8635	0.6457	9747	0.8858	0.9749
converter5f	k562	0	100	topq	1973	0.9753	0.9545	1972	0.9883	0.9868
converter5f	k562	0	250	all	9833	0.8712	0.6979	9717	0.9067	0.9608
converter5f	k562	0	250	topq	1973	0.9787	0.9714	1972	0.9927	0.9859
converter5f	k562	1	1	all	12773	0.5443	0.2454	12599	0.6278	0.8671
converter5f	k562	1	1	topq	2566	0.8102	0.5828	2566	0.8581	0.9442
converter5f	k562	1	5	all	12773	0.6737	0.3646	12599	0.731	0.9216
converter5f	k562	1	5	topq	2566	0.8972	0.7567	2566	0.9282	0.9667
converter5f	k562	1	10	all	12773	0.7295	0.4357	12599	0.7791	0.9363
converter5f	k562	1	10	topq	2566	0.9241	0.8269	2566	0.9515	0.9712
converter5f	k562	1	25	all	12773	0.798	0.5368	12599	0.8358	0.9547
converter5f	k562	1	25	topq	2566	0.9501	0.8955	2566	0.972	0.9774
converter5f	k562	1	50	all	12773	0.8398	0.6137	12599	0.8721	0.9629
converter5f	k562	1	50	topq	2566	0.9651	0.9331	2566	0.9825	0.9822
converter5f	k562	1	100	all	12773	0.8673	0.6824	12599	0.9007	0.9629
converter5f	k562	1	100	topq	2566	0.9753	0.9621	2566	0.9903	0.9848
converter5f	k562	1	250	all	12773	0.8721	0.7389	12565	0.9219	0.946
converter5f	k562	1	250	topq	2566	0.9788	0.9769	2566	0.9941	0.9846
converter5f	k562	2	1	all	14184	0.4746	0.1886	13741	0.5633	0.8425
converter5f	k562	2	1	topq	2876	0.7699	0.514	2870	0.824	0.9343
converter5f	k562	2	5	all	14184	0.6001	0.2821	13741	0.6634	0.9046
converter5f	k562	2	5	topq	2876	0.8642	0.6791	2870	0.8994	0.9609
converter5f	k562	2	10	all	14184	0.6578	0.3424	13741	0.7142	0.921
converter5f	k562	2	10	topq	2876	0.8952	0.7539	2870	0.9272	0.9655
converter5f	k562	2	25	all	14184	0.7322	0.435	13741	0.7787	0.9404
converter5f	k562	2	25	topq	2876	0.9265	0.8359	2870	0.9543	0.9709
converter5f	k562	2	50	all	14184	0.7789	0.5122	13741	0.8231	0.9463
converter5f	k562	2	50	topq	2876	0.9437	0.8843	2870	0.9688	0.9741
converter5f	k562	2	100	all	14184	0.8102	0.5892	13741	0.8611	0.9409
converter5f	k562	2	100	topq	2876	0.9554	0.9219	2870	0.9795	0.9754
converter5f	k562	2	250	all	14184	0.8159	0.6477	13696	0.8867	0.9202
converter5f	k562	2	250	topq	2876	0.9598	0.9418	2869	0.9849	0.9745
converter5f	k562	3	1	all	12801	0.4909	0.1958	12645	0.5722	0.8578
converter5f	k562	3	1	topq	2586	0.7921	0.537	2585	0.8359	0.9476
converter5f	k562	3	5	all	12801	0.6216	0.2941	12645	0.6742	0.9219
converter5f	k562	3	5	topq	2586	0.8842	0.7087	2585	0.9108	0.9708
converter5f	k562	3	10	all	12801	0.6816	0.3572	12645	0.7255	0.9395
converter5f	k562	3	10	topq	2586	0.9139	0.787	2585	0.9385	0.9737
converter5f	k562	3	25	all	12801	0.76	0.4534	12645	0.7899	0.9622
converter5f	k562	3	25	topq	2586	0.9432	0.869	2585	0.9643	0.9781
converter5f	k562	3	50	all	12801	0.8093	0.5296	12645	0.8322	0.9726
converter5f	k562	3	50	topq	2586	0.9599	0.9134	2585	0.9771	0.9824
converter5f	k562	3	100	all	12801	0.8418	0.6063	12645	0.8688	0.9688
converter5f	k562	3	100	topq	2586	0.9707	0.9477	2585	0.9865	0.984
converter5f	k562	3	250	all	12801	0.8472	0.6647	12590	0.8936	0.948
converter5f	k562	3	250	topq	2586	0.9728	0.9631	2585	0.9906	0.9821
converter5f	k562	4	1	all	9521	0.4968	0.1968	9356	0.5735	0.8662
converter5f	k562	4	1	topq	1909	0.7916	0.5069	1909	0.8202	0.9651
converter5f	k562	4	5	all	9521	0.6284	0.301	9356	0.6802	0.9238
converter5f	k562	4	5	topq	1909	0.8886	0.6877	1909	0.9028	0.9843
converter5f	k562	4	10	all	9521	0.6873	0.3678	9356	0.7333	0.9372
converter5f	k562	4	10	topq	1909	0.919	0.7712	1909	0.9332	0.9848
converter5f	k562	4	25	all	9521	0.7629	0.4671	9356	0.798	0.956
converter5f	k562	4	25	topq	1909	0.9484	0.8612	1909	0.962	0.9859
converter5f	k562	4	50	all	9521	0.8097	0.5407	9356	0.8378	0.9665
converter5f	k562	4	50	topq	1909	0.964	0.9117	1909	0.9766	0.9871
converter5f	k562	4	100	all	9521	0.841	0.6157	9356	0.873	0.9634
converter5f	k562	4	100	topq	1909	0.9733	0.9495	1909	0.987	0.9861
converter5f	k562	4	250	all	9521	0.8498	0.671	9328	0.8962	0.9482
converter5f	k562	4	250	topq	1909	0.9747	0.9641	1909	0.9908	0.9837
