label	cell	fold	bin_bp	stratum	n_elements	shape_r_model	shape_r_replicate	n_ceiling_elements	ceiling	frac_of_ceiling
seq_atac_clw10	k562	0	1	all	9833	0.521	0.211	9747	0.5903	0.8827
seq_atac_clw10	k562	0	1	topq	1973	0.7986	0.5264	1972	0.8305	0.9615
seq_atac_clw10	k562	0	5	all	9833	0.6554	0.3221	9747	0.698	0.939
seq_atac_clw10	k562	0	5	topq	1973	0.8938	0.7108	1972	0.9116	0.9805
seq_atac_clw10	k562	0	10	all	9833	0.7148	0.3919	9747	0.7504	0.9525
seq_atac_clw10	k562	0	10	topq	1973	0.9227	0.7904	1972	0.9396	0.982
seq_atac_clw10	k562	0	25	all	9833	0.7891	0.4939	9747	0.8132	0.9704
seq_atac_clw10	k562	0	25	topq	1973	0.9505	0.8746	1972	0.966	0.984
seq_atac_clw10	k562	0	50	all	9833	0.8345	0.571	9747	0.8526	0.9788
seq_atac_clw10	k562	0	50	topq	1973	0.9654	0.9207	1972	0.9791	0.986
seq_atac_clw10	k562	0	100	all	9833	0.8635	0.6457	9747	0.8858	0.9749
seq_atac_clw10	k562	0	100	topq	1973	0.9753	0.9545	1972	0.9883	0.9868
seq_atac_clw10	k562	0	250	all	9833	0.8712	0.6979	9717	0.9067	0.9608
seq_atac_clw10	k562	0	250	topq	1973	0.9787	0.9714	1972	0.9927	0.9859
