label	cell	fold	bin_bp	stratum	n_elements	shape_r_model	shape_r_replicate	n_ceiling_elements	ceiling	frac_of_ceiling
seq_atac_clw10_tx	gm12878	0	1	all	10783	0.2757	0.109	10761	0.4434	0.6217
seq_atac_clw10_tx	gm12878	0	1	topq	2163	0.481	0.289	2163	0.6697	0.7183
seq_atac_clw10_tx	gm12878	0	5	all	10783	0.3675	0.1753	10761	0.5462	0.6729
seq_atac_clw10_tx	gm12878	0	5	topq	2163	0.5969	0.4215	2163	0.7701	0.7751
seq_atac_clw10_tx	gm12878	0	10	all	10783	0.436	0.2294	10761	0.6109	0.7137
seq_atac_clw10_tx	gm12878	0	10	topq	2163	0.6656	0.5084	2163	0.821	0.8107
seq_atac_clw10_tx	gm12878	0	25	all	10783	0.5405	0.3296	10761	0.7041	0.7675
seq_atac_clw10_tx	gm12878	0	25	topq	2163	0.7504	0.6292	2163	0.8789	0.8538
seq_atac_clw10_tx	gm12878	0	50	all	10783	0.622	0.4199	10761	0.769	0.8088
seq_atac_clw10_tx	gm12878	0	50	topq	2163	0.8037	0.7137	2163	0.9127	0.8806
seq_atac_clw10_tx	gm12878	0	100	all	10783	0.7076	0.5198	10761	0.8271	0.8556
seq_atac_clw10_tx	gm12878	0	100	topq	2163	0.8536	0.7801	2163	0.9362	0.9117
seq_atac_clw10_tx	gm12878	0	250	all	10780	0.7607	0.5771	10732	0.8555	0.8893
seq_atac_clw10_tx	gm12878	0	250	topq	2163	0.8771	0.818	2163	0.9486	0.9246
