label	cell	bin_bp	stratum	n_folds	atac	model	ceiling	delta	ci_lo	ci_hi	p
converter5f	k562	1	all	5	0.1507	0.5055	0.5854	0.3548	0.3375	0.372	0.0
converter5f	k562	1	topq	5	0.2923	0.7925	0.8337	0.5001	0.4924	0.5079	0.0
converter5f	k562	5	all	5	0.3321	0.6358	0.6894	0.3038	0.298	0.3095	0.0
converter5f	k562	5	topq	5	0.5427	0.8856	0.9106	0.3429	0.3378	0.3479	0.0
converter5f	k562	10	all	5	0.4438	0.6942	0.7405	0.2504	0.2477	0.253	0.0
converter5f	k562	10	topq	5	0.6552	0.915	0.938	0.2598	0.2544	0.2652	0.0
converter5f	k562	25	all	5	0.5724	0.7684	0.8031	0.1961	0.1946	0.1976	0.0
converter5f	k562	25	topq	5	0.7634	0.9437	0.9637	0.1803	0.176	0.1846	0.0
converter5f	k562	50	all	5	0.6552	0.8144	0.8436	0.1592	0.1564	0.162	0.0
converter5f	k562	50	topq	5	0.8248	0.9596	0.9768	0.1348	0.1311	0.1386	0.0
converter5f	k562	100	all	5	0.7204	0.8448	0.8779	0.1244	0.1194	0.1294	0.0
converter5f	k562	100	topq	5	0.8804	0.97	0.9863	0.0896	0.0879	0.0913	0.0
converter5f	k562	250	all	5	0.7471	0.8512	0.901	0.1042	0.098	0.1103	0.0
converter5f	k562	250	topq	5	0.9083	0.973	0.9906	0.0646	0.0616	0.0676	0.0
converter5f	gm12878	1	all	5	0.1074	0.2818	0.4553	0.1744	0.1702	0.1786	0.0
converter5f	gm12878	1	topq	5	0.2064	0.4903	0.6835	0.2839	0.2789	0.2888	0.0
converter5f	gm12878	5	all	5	0.2447	0.3725	0.5573	0.1278	0.1256	0.1301	0.0
converter5f	gm12878	5	topq	5	0.4176	0.602	0.7802	0.1843	0.1823	0.1864	0.0
converter5f	gm12878	10	all	5	0.3287	0.4406	0.6199	0.1119	0.1095	0.1143	0.0
converter5f	gm12878	10	topq	5	0.5187	0.67	0.8283	0.1513	0.1487	0.154	0.0
converter5f	gm12878	25	all	5	0.4564	0.5442	0.7102	0.0878	0.0844	0.0912	0.0
converter5f	gm12878	25	topq	5	0.6433	0.7523	0.8838	0.1091	0.1047	0.1134	0.0
converter5f	gm12878	50	all	5	0.5579	0.6251	0.7749	0.0672	0.0635	0.0708	0.0
converter5f	gm12878	50	topq	5	0.7259	0.8042	0.9165	0.0782	0.0746	0.0819	0.0
converter5f	gm12878	100	all	5	0.6596	0.709	0.8309	0.0494	0.0459	0.0529	0.0
converter5f	gm12878	100	topq	5	0.8013	0.8536	0.9394	0.0523	0.0497	0.0549	0.0
converter5f	gm12878	250	all	5	0.7338	0.7625	0.8599	0.0287	0.0237	0.0337	0.0001
converter5f	gm12878	250	topq	5	0.8549	0.8811	0.9506	0.0262	0.0227	0.0297	0.0
ataconly5f	k562	1	all	5	0.1507	0.3279	0.5854	0.1772	0.1629	0.1915	0.0
ataconly5f	k562	1	topq	5	0.2923	0.563	0.8337	0.2707	0.2629	0.2784	0.0
ataconly5f	k562	5	all	5	0.3321	0.5097	0.6894	0.1776	0.169	0.1862	0.0
ataconly5f	k562	5	topq	5	0.5427	0.7599	0.9106	0.2172	0.2111	0.2232	0.0
ataconly5f	k562	10	all	5	0.4438	0.5869	0.7405	0.143	0.1362	0.1498	0.0
ataconly5f	k562	10	topq	5	0.6552	0.8222	0.938	0.167	0.161	0.173	0.0
ataconly5f	k562	25	all	5	0.5724	0.6748	0.8031	0.1024	0.0984	0.1064	0.0
ataconly5f	k562	25	topq	5	0.7634	0.8808	0.9637	0.1174	0.1129	0.1219	0.0
ataconly5f	k562	50	all	5	0.6552	0.7287	0.8436	0.0734	0.0705	0.0764	0.0
ataconly5f	k562	50	topq	5	0.8248	0.9119	0.9768	0.0871	0.0821	0.0921	0.0
ataconly5f	k562	100	all	5	0.7204	0.7681	0.8779	0.0477	0.0454	0.05	0.0
ataconly5f	k562	100	topq	5	0.8804	0.9324	0.9863	0.052	0.0472	0.0568	0.0
ataconly5f	k562	250	all	5	0.7471	0.7824	0.901	0.0353	0.0321	0.0385	0.0
ataconly5f	k562	250	topq	5	0.9083	0.9398	0.9906	0.0314	0.0279	0.0349	0.0
ataconly5f	gm12878	1	all	5	0.1074	0.1786	0.4553	0.0712	0.0697	0.0727	0.0
ataconly5f	gm12878	1	topq	5	0.2064	0.3183	0.6835	0.1119	0.1096	0.1142	0.0
ataconly5f	gm12878	5	all	5	0.2447	0.3343	0.5573	0.0896	0.0876	0.0916	0.0
ataconly5f	gm12878	5	topq	5	0.4176	0.5383	0.7802	0.1207	0.1178	0.1237	0.0
ataconly5f	gm12878	10	all	5	0.3287	0.4192	0.6199	0.0905	0.0881	0.0929	0.0
ataconly5f	gm12878	10	topq	5	0.5187	0.6328	0.8283	0.1141	0.111	0.1173	0.0
ataconly5f	gm12878	25	all	5	0.4564	0.5348	0.7102	0.0783	0.0757	0.081	0.0
ataconly5f	gm12878	25	topq	5	0.6433	0.7367	0.8838	0.0935	0.0896	0.0973	0.0
ataconly5f	gm12878	50	all	5	0.5579	0.6197	0.7749	0.0618	0.0597	0.0638	0.0
ataconly5f	gm12878	50	topq	5	0.7259	0.7995	0.9165	0.0736	0.0696	0.0776	0.0
ataconly5f	gm12878	100	all	5	0.6596	0.6956	0.8309	0.036	0.0333	0.0386	0.0
ataconly5f	gm12878	100	topq	5	0.8013	0.8457	0.9394	0.0444	0.0412	0.0477	0.0
ataconly5f	gm12878	250	all	5	0.7338	0.7428	0.8599	0.0091	0.0053	0.0128	0.0026
ataconly5f	gm12878	250	topq	5	0.8549	0.8681	0.9506	0.0132	0.0084	0.018	0.0016
