fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq
0	GMseq_to_K562	10143	0.3774	0.291	-0.0019	-0.5032	-0.1802
0	GMmm_to_K562	10143	0.84	0.6002	0.4401	0.06	0.0953
0	GMresSeq_to_K562	10143	0.8251	0.5799	0.3425	0.0352	0.0713
0	GMresMM_to_K562	10143	0.8307	0.5926	0.3853	0.0444	0.0863
0	GMatac_to_K562	10143	0.8035	0.5147		0.0	0.0
1	GMseq_to_K562	14392	0.4497	0.3077	0.05	-0.4478	-0.1414
1	GMmm_to_K562	14392	0.84	0.5813	0.4367	0.0557	0.1018
1	GMresSeq_to_K562	14392	0.8312	0.5824	0.3485	0.041	0.1031
1	GMresMM_to_K562	14392	0.8338	0.5839	0.3873	0.0453	0.1049
1	GMatac_to_K562	14392	0.8062	0.4859		0.0	0.0
2	GMseq_to_K562	12801	0.3765	0.3278	0.0857	-0.4572	-0.2192
2	GMmm_to_K562	12801	0.7895	0.5848	0.3473	0.0243	0.0153
2	GMresSeq_to_K562	12801	0.7932	0.5818	0.3088	0.0301	0.0119
2	GMresMM_to_K562	12801	0.7849	0.6004	0.2848	0.017	0.0338
2	GMatac_to_K562	12801	0.774	0.5715		0.0	0.0
3	GMseq_to_K562	12021	0.3769	0.3742	-0.0215	-0.5386	-0.1866
3	GMmm_to_K562	12021	0.8404	0.624	0.3703	0.0257	0.0628
3	GMresSeq_to_K562	12021	0.8324	0.6152	0.258	0.0123	0.0518
3	GMresMM_to_K562	12021	0.84	0.611	0.313	0.0249	0.0467
3	GMatac_to_K562	12021	0.825	0.5715		0.0	0.0
4	GMseq_to_K562	9298	0.371	0.2847	-0.0718	-0.5059	-0.2323
4	GMmm_to_K562	9298	0.8325	0.6195	0.4276	0.0495	0.0704
4	GMresSeq_to_K562	9298	0.818	0.6097	0.3204	0.0256	0.0584
4	GMresMM_to_K562	9298	0.8272	0.6136	0.3843	0.0407	0.0631
4	GMatac_to_K562	9298	0.8022	0.5598		0.0	0.0
