config	mode	stratum	n	overall_pearson	residual_pearson	residual_spearman	incremental_r2
GMseq_to_K562	sequence	all	58655	0.3968	0.0212	0.0044	-0.486
GMseq_to_K562	sequence	abs_resid_q1	11731	0.4031	0.0216	0.0159	-0.8195
GMseq_to_K562	sequence	abs_resid_q2	11731	0.3862	0.0683	0.0598	-0.7411
GMseq_to_K562	sequence	abs_resid_q3	11731	0.4196	0.0609	0.0551	-0.6033
GMseq_to_K562	sequence	abs_resid_q4	11731	0.4262	0.0629	0.0342	-0.4932
GMseq_to_K562	sequence	abs_resid_q5	11731	0.3551	0.0776	-0.0023	-0.3074
GMmm_to_K562	multimodal	all	58655	0.8239	0.3926	0.3577	0.0354
GMmm_to_K562	multimodal	abs_resid_q1	11731	0.8902	0.0625	0.0594	-0.1895
GMmm_to_K562	multimodal	abs_resid_q2	11731	0.8746	0.1982	0.1707	-0.1254
GMmm_to_K562	multimodal	abs_resid_q3	11731	0.8592	0.3115	0.2429	-0.0411
GMmm_to_K562	multimodal	abs_resid_q4	11731	0.8435	0.4087	0.2881	0.0367
GMmm_to_K562	multimodal	abs_resid_q5	11731	0.773	0.543	0.3744	0.1641
GMresSeq_to_K562	sequence	all	58655	0.8203	0.3195	0.258	0.0295
GMresSeq_to_K562	sequence	abs_resid_q1	11731	0.9291	0.0574	0.0507	-0.1188
GMresSeq_to_K562	sequence	abs_resid_q2	11731	0.902	0.1631	0.1234	-0.0768
GMresSeq_to_K562	sequence	abs_resid_q3	11731	0.8713	0.2485	0.1642	-0.0201
GMresSeq_to_K562	sequence	abs_resid_q4	11731	0.8413	0.3453	0.2186	0.0328
GMresSeq_to_K562	sequence	abs_resid_q5	11731	0.751	0.5063	0.3186	0.1306
GMresMM_to_K562	multimodal	all	58655	0.8227	0.3503	0.2907	0.0333
GMresMM_to_K562	multimodal	abs_resid_q1	11731	0.9191	0.0577	0.0484	-0.1372
GMresMM_to_K562	multimodal	abs_resid_q2	11731	0.8955	0.1761	0.1332	-0.0884
GMresMM_to_K562	multimodal	abs_resid_q3	11731	0.8698	0.2731	0.1895	-0.0228
GMresMM_to_K562	multimodal	abs_resid_q4	11731	0.8435	0.3705	0.2314	0.0365
GMresMM_to_K562	multimodal	abs_resid_q5	11731	0.7634	0.5331	0.3362	0.1493
