fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq
0	K562seq_to_GM	10800	0.3283	0.1082	0.1519	-0.489	-0.1808
0	K562mm_to_GM	10800	0.7866	0.4694	0.2796	0.022	0.0279
0	K562resSeq_to_GM	10800	0.7844	0.4922	0.2419	0.0184	0.0498
0	K562resMM_to_GM	10800	0.7822	0.4821	0.2252	0.015	0.0399
0	K562atac_to_GM	10800	0.7726	0.4387		0.0	0.0
1	K562seq_to_GM	14362	0.3979	0.1448	0.217	-0.4319	-0.2017
1	K562mm_to_GM	14362	0.8019	0.5373	0.354	0.0528	0.066
1	K562resSeq_to_GM	14362	0.7876	0.5026	0.2826	0.03	0.0299
1	K562resMM_to_GM	14362	0.7937	0.5176	0.2799	0.0398	0.0452
1	K562atac_to_GM	14362	0.7683	0.4719		0.0	0.0
2	K562seq_to_GM	10491	0.3669	0.1702	0.165	-0.4337	-0.2089
2	K562mm_to_GM	10491	0.7757	0.5338	0.3052	0.0335	0.0471
2	K562resSeq_to_GM	10491	0.7646	0.5161	0.2234	0.0163	0.0285
2	K562resMM_to_GM	10491	0.7731	0.5393	0.2609	0.0294	0.053
2	K562atac_to_GM	10491	0.7539	0.4877		0.0	0.0
3	K562seq_to_GM	11028	0.352	0.1574	0.1235	-0.4828	-0.2114
3	K562mm_to_GM	11028	0.7898	0.5169	0.2589	0.0171	0.031
3	K562resSeq_to_GM	11028	0.7866	0.5083	0.2083	0.0121	0.0223
3	K562resMM_to_GM	11028	0.7865	0.4995	0.2032	0.0119	0.0133
3	K562atac_to_GM	11028	0.7789	0.486		0.0	0.0
4	K562seq_to_GM	10463	0.3227	0.152	0.1641	-0.4529	-0.2277
4	K562mm_to_GM	10463	0.7703	0.5412	0.2926	0.0363	0.0421
4	K562resSeq_to_GM	10463	0.7537	0.5206	0.194	0.0109	0.0202
4	K562resMM_to_GM	10463	0.7618	0.5218	0.213	0.0232	0.0214
4	K562atac_to_GM	10463	0.7464	0.5008		0.0	0.0
