config	mode	stratum	n	overall_pearson	residual_pearson	residual_spearman	incremental_r2
K562seq_to_GM	sequence	all	57144	0.358	0.1682	0.1409	-0.4565
K562seq_to_GM	sequence	abs_resid_q1	11429	0.4574	-0.0079	-0.0094	-0.7807
K562seq_to_GM	sequence	abs_resid_q2	11429	0.4332	0.0205	0.0179	-0.7402
K562seq_to_GM	sequence	abs_resid_q3	11428	0.3785	0.031	0.0171	-0.6503
K562seq_to_GM	sequence	abs_resid_q4	11429	0.3047	0.1216	0.1013	-0.4798
K562seq_to_GM	sequence	abs_resid_q5	11429	0.2094	0.3646	0.3609	-0.1464
K562mm_to_GM	multimodal	all	57144	0.7866	0.3034	0.2734	0.0341
K562mm_to_GM	multimodal	abs_resid_q1	11429	0.962	0.0424	0.0444	-0.0644
K562mm_to_GM	multimodal	abs_resid_q2	11429	0.9366	0.1355	0.1327	-0.0506
K562mm_to_GM	multimodal	abs_resid_q3	11428	0.8791	0.2215	0.1984	-0.0208
K562mm_to_GM	multimodal	abs_resid_q4	11429	0.7741	0.2862	0.2518	0.0265
K562mm_to_GM	multimodal	abs_resid_q5	11429	0.5046	0.2985	0.2554	0.0644
K562resSeq_to_GM	sequence	all	57144	0.7765	0.2332	0.1857	0.0182
K562resSeq_to_GM	sequence	abs_resid_q1	11429	0.975	0.0438	0.0374	-0.0393
K562resSeq_to_GM	sequence	abs_resid_q2	11429	0.9468	0.0922	0.0771	-0.0315
K562resSeq_to_GM	sequence	abs_resid_q3	11428	0.8812	0.1484	0.1152	-0.017
K562resSeq_to_GM	sequence	abs_resid_q4	11429	0.7637	0.2061	0.1688	0.0105
K562resSeq_to_GM	sequence	abs_resid_q5	11429	0.4783	0.2458	0.2006	0.0386
K562resMM_to_GM	multimodal	all	57144	0.7813	0.243	0.2072	0.0257
K562resMM_to_GM	multimodal	abs_resid_q1	11429	0.9701	0.0401	0.042	-0.0487
K562resMM_to_GM	multimodal	abs_resid_q2	11429	0.9426	0.096	0.0892	-0.0393
K562resMM_to_GM	multimodal	abs_resid_q3	11428	0.8807	0.1707	0.1483	-0.0179
K562resMM_to_GM	multimodal	abs_resid_q4	11429	0.768	0.2213	0.1955	0.0172
K562resMM_to_GM	multimodal	abs_resid_q5	11429	0.4882	0.2246	0.1856	0.0481
