fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	gm12878_LOCAL	10800	2175	0.8758	0.6551	0.4456	0.0574	0.0775	0.0473	0.5579	0.1317
0	k562_to_gm12878	10800	2175	0.7637	0.5862	0.0888	-0.1262	-0.008	0.0252	0.5609	0.068
0	thp1_to_gm12878	10800	2175	0.8484	0.5632	0.2634	0.0102	-0.0345	0.0307	0.5611	0.0842
0	dnase_only_LOCAL	10800	2175	0.8423	0.593		0.0	0.0	0.0269	0.5617	0.0804
1	gm12878_LOCAL	14362	2898	0.8816	0.6452	0.466	0.0608	0.0591	0.0557	0.5637	0.1485
1	k562_to_gm12878	14362	2898	0.7725	0.573	0.1675	-0.1197	-0.0289	0.0301	0.5677	0.0782
1	thp1_to_gm12878	14362	2898	0.8489	0.5796	0.2978	0.0041	-0.0213	0.0363	0.5681	0.096
1	dnase_only_LOCAL	14362	2898	0.8465	0.5977		0.0	0.0	0.0332	0.5686	0.094
2	gm12878_LOCAL	10491	2110	0.869	0.6619	0.4282	0.0518	0.0538	0.0499	0.5596	0.1368
2	k562_to_gm12878	10491	2110	0.74	0.5532	0.0811	-0.1558	-0.0782	0.0265	0.5632	0.069
2	thp1_to_gm12878	10491	2110	0.8325	0.5915	0.2228	-0.0104	-0.0344	0.0326	0.5634	0.0895
2	dnase_only_LOCAL	10491	2110	0.8387	0.6199		0.0	0.0	0.029	0.5638	0.0846
3	gm12878_LOCAL	11028	2216	0.875	0.6761	0.3997	0.0419	0.0539	0.0517	0.5652	0.1392
3	k562_to_gm12878	11028	2216	0.7575	0.5631	0.0471	-0.1499	-0.0862	0.0273	0.5687	0.0698
3	thp1_to_gm12878	11028	2216	0.8435	0.6168	0.189	-0.0122	-0.0227	0.0325	0.5692	0.0862
3	dnase_only_LOCAL	11028	2216	0.8507	0.635		0.0	0.0	0.0299	0.5694	0.0851
4	gm12878_LOCAL	10463	2113	0.8637	0.6769	0.4285	0.0565	0.0612	0.0473	0.5619	0.1284
4	k562_to_gm12878	10463	2113	0.7419	0.576	0.0513	-0.1391	-0.0653	0.0245	0.565	0.0647
4	thp1_to_gm12878	10463	2113	0.8322	0.6438	0.2306	0.0032	0.0174	0.0305	0.5653	0.0831
4	dnase_only_LOCAL	10463	2113	0.8303	0.6301		0.0	0.0	0.0267	0.5657	0.0765
