fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	k562_LOCAL	10143	2052	0.8915	0.7148	0.628	0.1328	0.1785	0.0606	0.5982	0.1615
0	gm12878_to_k562	10143	2052	0.6764	0.4768	0.1153	-0.2044	-0.1051	0.034	0.6032	0.095
0	thp1_to_k562	10143	2052	0.7254	0.3913	0.1465	-0.1357	-0.1793	0.0295	0.6047	0.0869
0	dnase_only_LOCAL	10143	2052	0.8136	0.5766		0.0	0.0	0.0394	0.6033	0.1112
1	k562_LOCAL	14392	2882	0.9	0.7056	0.6273	0.1229	0.1742	0.0682	0.5967	0.1854
1	gm12878_to_k562	14392	2882	0.683	0.4431	0.0696	-0.2207	-0.1273	0.0384	0.6026	0.1097
1	thp1_to_k562	14392	2882	0.741	0.358	0.126	-0.1381	-0.1955	0.0351	0.6043	0.1093
1	dnase_only_LOCAL	14392	2882	0.8289	0.5689		0.0	0.0	0.045	0.6028	0.1305
2	k562_LOCAL	12801	2572	0.8839	0.7356	0.6024	0.1205	0.1276	0.064	0.6078	0.1685
2	gm12878_to_k562	12801	2572	0.6684	0.4858	0.1135	-0.2141	-0.1775	0.0325	0.6141	0.0834
2	thp1_to_k562	12801	2572	0.7223	0.5346	0.154	-0.1391	-0.1276	0.0303	0.6148	0.0906
2	dnase_only_LOCAL	12801	2572	0.8129	0.643		0.0	0.0	0.0405	0.6132	0.1117
3	k562_LOCAL	12021	2406	0.9005	0.7484	0.6101	0.11	0.1643	0.0667	0.6085	0.1803
3	gm12878_to_k562	12021	2406	0.6968	0.4593	0.1185	-0.2153	-0.1849	0.0331	0.6154	0.091
3	thp1_to_k562	12021	2406	0.7601	0.4226	0.1532	-0.123	-0.2172	0.0322	0.6159	0.0971
3	dnase_only_LOCAL	12021	2406	0.8371	0.6292		0.0	0.0	0.0428	0.6145	0.1209
4	k562_LOCAL	9298	1875	0.8948	0.7345	0.6125	0.1179	0.1609	0.0603	0.5964	0.164
4	gm12878_to_k562	9298	1875	0.7061	0.5038	0.1167	-0.1843	-0.1247	0.0297	0.6024	0.0814
4	thp1_to_k562	9298	1875	0.7321	0.4352	0.1061	-0.1468	-0.1892	0.0288	0.6032	0.0846
4	dnase_only_LOCAL	9298	1875	0.8263	0.6153		0.0	0.0	0.0384	0.6014	0.1101
