fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	thp1_LOCAL	14648	2935	0.8132	0.771	0.4105	0.0692	0.1166	0.0974	0.5605	0.2884
0	gm12878_to_thp1	14648	2935	0.7657	0.6125	0.2357	-0.0058	-0.1028	0.0665	0.565	0.2004
0	k562_to_thp1	14648	2935	0.7124	0.3728	0.1379	-0.0846	-0.3389	0.0408	0.5709	0.1167
0	dnase_only_LOCAL	14648	2935	0.7694	0.6913		0.0	0.0	0.0693	0.5657	0.2253
1	thp1_LOCAL	15904	3181	0.7613	0.6992	0.3346	0.0513	0.1001	0.1115	0.5353	0.3194
1	gm12878_to_thp1	15904	3181	0.7241	0.5754	0.2055	-0.0039	-0.0577	0.0784	0.54	0.2318
1	k562_to_thp1	15904	3181	0.6353	0.2629	0.0643	-0.1246	-0.3197	0.0373	0.5502	0.0992
1	dnase_only_LOCAL	15904	3181	0.7268	0.6235		0.0	0.0	0.0825	0.5413	0.2541
2	thp1_LOCAL	12554	2512	0.829	0.7584	0.4096	0.0631	0.0922	0.105	0.5537	0.308
2	gm12878_to_thp1	12554	2512	0.7831	0.6079	0.2486	-0.0109	-0.1134	0.0718	0.5585	0.2147
2	k562_to_thp1	12554	2512	0.663	0.2513	0.0082	-0.1846	-0.4198	0.037	0.5667	0.1009
2	dnase_only_LOCAL	12554	2512	0.79	0.6949		0.0	0.0	0.0773	0.5592	0.2447
3	thp1_LOCAL	14737	2957	0.6812	0.7557	0.3208	0.0561	0.0543	0.0907	0.5451	0.2619
3	gm12878_to_thp1	14737	2957	0.6456	0.6271	0.1997	0.0089	-0.1235	0.0629	0.5488	0.1845
3	k562_to_thp1	14737	2957	0.5717	0.3907	0.1343	-0.0811	-0.3641	0.0369	0.5544	0.1003
3	dnase_only_LOCAL	14737	2957	0.6387	0.7189		0.0	0.0	0.0646	0.5496	0.2016
4	thp1_LOCAL	10115	2027	0.7931	0.6012	0.3777	0.0588	0.0329	0.1042	0.5571	0.295
4	gm12878_to_thp1	10115	2027	0.7679	0.5293	0.2923	0.0195	-0.0483	0.0752	0.5603	0.2157
4	k562_to_thp1	10115	2027	0.5853	0.0836	-0.059	-0.2276	-0.3215	0.0274	0.5724	0.0628
4	dnase_only_LOCAL	10115	2027	0.7551	0.5732		0.0	0.0	0.0752	0.5626	0.2257
