fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	gm12878_LOCAL	10800	2175	0.8758	0.6551	0.4456	0.0574	0.0775	0.0473	0.5579	0.1317
0	k562_to_gm12878	10800	2175	0.8121	0.5598	0.2527	-0.05	-0.0383	0.0327	0.5594	0.0915
0	thp1_to_gm12878	10800	2175	0.85	0.5397	0.3045	0.0129	-0.0604	0.0307	0.5611	0.0842
0	dnase_only_LOCAL	10800	2175	0.8423	0.593		0.0	0.0	0.0269	0.5617	0.0804
1	gm12878_LOCAL	14362	2898	0.8816	0.6452	0.466	0.0608	0.0591	0.0557	0.5637	0.1485
1	k562_to_gm12878	14362	2898	0.8278	0.5784	0.3263	-0.0313	-0.0226	0.0394	0.5659	0.1069
1	thp1_to_gm12878	14362	2898	0.851	0.5272	0.3113	0.0076	-0.0792	0.0379	0.5677	0.1003
1	dnase_only_LOCAL	14362	2898	0.8465	0.5977		0.0	0.0	0.0332	0.5686	0.094
2	gm12878_LOCAL	10491	2110	0.869	0.6619	0.4282	0.0518	0.0538	0.0499	0.5596	0.1368
2	k562_to_gm12878	10491	2110	0.7964	0.5761	0.2341	-0.0692	-0.0523	0.0343	0.5616	0.095
2	thp1_to_gm12878	10491	2110	0.8343	0.5464	0.2476	-0.0074	-0.0857	0.0333	0.5633	0.0916
2	dnase_only_LOCAL	10491	2110	0.8387	0.6199		0.0	0.0	0.029	0.5638	0.0846
3	gm12878_LOCAL	11028	2216	0.875	0.6761	0.3997	0.0419	0.0539	0.0517	0.5652	0.1392
3	k562_to_gm12878	11028	2216	0.8263	0.5836	0.2218	-0.0409	-0.0626	0.0348	0.5673	0.0943
3	thp1_to_gm12878	11028	2216	0.8526	0.5872	0.2446	0.0032	-0.0583	0.0344	0.5688	0.0917
3	dnase_only_LOCAL	11028	2216	0.8507	0.635		0.0	0.0	0.0299	0.5694	0.0851
4	gm12878_LOCAL	10463	2113	0.8637	0.6769	0.4285	0.0565	0.0612	0.0473	0.5619	0.1284
4	k562_to_gm12878	10463	2113	0.8004	0.5811	0.2416	-0.0488	-0.0594	0.0323	0.5635	0.0886
4	thp1_to_gm12878	10463	2113	0.8386	0.6037	0.2707	0.0138	-0.0326	0.0322	0.5649	0.0867
4	dnase_only_LOCAL	10463	2113	0.8303	0.6301		0.0	0.0	0.0267	0.5657	0.0765
