fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	k562_LOCAL	10143	2052	0.8773	0.6909	0.6416	0.1606	0.1841	0.0601	0.5984	0.1606
0	gm12878_to_k562	10143	2052	0.7822	0.5399	0.2666	0.0028	-0.0018	0.0421	0.602	0.1182
0	thp1_to_k562	10143	2052	0.7817	0.4877	0.2567	0.0021	-0.0554	0.033	0.6047	0.0947
0	dnase_only_LOCAL	10143	2052	0.7804	0.5415		0.0	0.0	0.0348	0.6043	0.101
1	k562_LOCAL	14392	2882	0.8866	0.6932	0.6332	0.1455	0.2026	0.0674	0.5973	0.1838
1	gm12878_to_k562	14392	2882	0.8005	0.5185	0.2589	0.0002	-0.0091	0.0478	0.6009	0.1355
1	thp1_to_k562	14392	2882	0.7959	0.465	0.2356	-0.0071	-0.0617	0.039	0.6039	0.1145
1	dnase_only_LOCAL	14392	2882	0.8003	0.5272		0.0	0.0	0.0406	0.6037	0.1216
2	k562_LOCAL	12801	2572	0.8619	0.7087	0.5881	0.1327	0.1302	0.0626	0.6081	0.1657
2	gm12878_to_k562	12801	2572	0.7657	0.5984	0.205	-0.024	-0.0139	0.0434	0.6118	0.1193
2	thp1_to_k562	12801	2572	0.7666	0.5677	0.1853	-0.0225	-0.0497	0.033	0.6147	0.0954
2	dnase_only_LOCAL	12801	2572	0.7812	0.6099		0.0	0.0	0.0357	0.6142	0.1016
3	k562_LOCAL	12021	2406	0.8881	0.73	0.6186	0.1298	0.1783	0.0656	0.609	0.1775
3	gm12878_to_k562	12021	2406	0.8151	0.6172	0.2949	0.0055	0.0263	0.0461	0.6127	0.1309
3	thp1_to_k562	12021	2406	0.8267	0.5875	0.3275	0.0245	-0.0095	0.0374	0.6154	0.1073
3	dnase_only_LOCAL	12021	2406	0.8117	0.5955		0.0	0.0	0.0384	0.6151	0.1116
4	k562_LOCAL	9298	1875	0.8785	0.7104	0.6206	0.1414	0.1716	0.0595	0.5967	0.1612
4	gm12878_to_k562	9298	1875	0.8115	0.5921	0.3347	0.0282	0.0175	0.0408	0.6003	0.116
4	thp1_to_k562	9298	1875	0.7987	0.5406	0.2747	0.0076	-0.0408	0.0335	0.6027	0.0968
4	dnase_only_LOCAL	9298	1875	0.7939	0.5771		0.0	0.0	0.0345	0.6024	0.1016
