fold	config	n	n_topq	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	thp1_LOCAL	14648	2935	0.8124	0.7672	0.4185	0.0735	0.1121	0.0973	0.5606	0.2888
0	gm12878_to_thp1	14648	2935	0.7736	0.647	0.2663	0.012	-0.0579	0.0679	0.5647	0.2055
0	k562_to_thp1	14648	2935	0.7429	0.3916	0.2513	-0.0345	-0.3231	0.0542	0.5677	0.1578
0	dnase_only_LOCAL	14648	2935	0.7658	0.6903		0.0	0.0	0.0686	0.5658	0.2226
1	thp1_LOCAL	15904	3181	0.7606	0.6945	0.3458	0.0549	0.1066	0.111	0.5353	0.3184
1	gm12878_to_thp1	15904	3181	0.726	0.5832	0.2194	0.0035	-0.0356	0.0781	0.5402	0.232
1	k562_to_thp1	15904	3181	0.6804	0.3476	0.177	-0.0606	-0.2549	0.0572	0.5452	0.1631
1	dnase_only_LOCAL	15904	3181	0.7236	0.6129		0.0	0.0	0.0813	0.5416	0.2516
2	thp1_LOCAL	12554	2512	0.8257	0.7656	0.4124	0.064	0.1125	0.1048	0.5538	0.3086
2	gm12878_to_thp1	12554	2512	0.7854	0.6316	0.2511	-0.0009	-0.0748	0.0727	0.5584	0.2185
2	k562_to_thp1	12554	2512	0.7359	0.3683	0.1909	-0.0762	-0.338	0.0562	0.5622	0.1629
2	dnase_only_LOCAL	12554	2512	0.786	0.6882		0.0	0.0	0.0759	0.5593	0.241
3	thp1_LOCAL	14737	2957	0.6808	0.7448	0.3279	0.0575	0.0575	0.09	0.5452	0.2601
3	gm12878_to_thp1	14737	2957	0.6491	0.6615	0.2059	0.0153	-0.0596	0.0648	0.5483	0.1907
3	k562_to_thp1	14737	2957	0.6268	0.4516	0.1919	-0.0132	-0.2933	0.0503	0.5513	0.1407
3	dnase_only_LOCAL	14737	2957	0.6372	0.7051		0.0	0.0	0.0637	0.5496	0.1994
4	thp1_LOCAL	10115	2027	0.792	0.6183	0.3464	0.0596	0.0514	0.1052	0.5565	0.2953
4	gm12878_to_thp1	10115	2027	0.7646	0.5393	0.2512	0.017	-0.0401	0.0741	0.5607	0.2126
4	k562_to_thp1	10115	2027	0.6685	0.2306	0.1101	-0.1207	-0.2778	0.0506	0.566	0.1337
4	dnase_only_LOCAL	10115	2027	0.7534	0.5753		0.0	0.0	0.0736	0.5629	0.2207
