fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	DNase_input_local	10800	0.8783	0.6615	0.5079	0.0699	0.1114	0.0486	0.5578	0.135
0	ATAC_input_K562transferred	10800	0.7941	0.5002	0.0363	-0.0709	-0.076	0.0366	0.5585	0.1033
0	DNase_input_K562transferred	10800	0.7672	0.5929	0.2308	-0.1128	0.0253	0.0259	0.5608	0.0697
0	atac_LOCAL_floor	10800	0.8003	0.4792	0.0487	-0.0609	-0.0967	0.0314	0.561	0.0932
0	ATAC_input_local	10800	0.8375	0.5712		0.0	0.0	0.0493	0.5575	0.1365
1	DNase_input_local	14362	0.8846	0.655	0.5265	0.077	0.1026	0.0571	0.5636	0.1519
1	ATAC_input_K562transferred	14362	0.8063	0.548	0.0739	-0.0554	-0.0262	0.0441	0.5645	0.1204
1	DNase_input_K562transferred	14362	0.7756	0.5744	0.2669	-0.104	0.0035	0.031	0.5676	0.0807
1	atac_LOCAL_floor	14362	0.7989	0.5176	0.014	-0.0672	-0.0585	0.0374	0.5678	0.1062
1	ATAC_input_local	14362	0.8399	0.5714		0.0	0.0	0.0581	0.5635	0.1547
2	DNase_input_local	10491	0.8728	0.6702	0.5377	0.0897	0.0944	0.0511	0.5595	0.1397
2	ATAC_input_K562transferred	10491	0.7791	0.5477	0.0608	-0.065	-0.0549	0.0391	0.5605	0.1091
2	DNase_input_K562transferred	10491	0.7427	0.5585	0.2336	-0.1205	-0.043	0.0273	0.5631	0.0712
2	atac_LOCAL_floor	10491	0.7829	0.5139	0.0372	-0.0591	-0.0907	0.0336	0.5632	0.0973
2	ATAC_input_local	10491	0.8198	0.5957		0.0	0.0	0.0517	0.5595	0.1411
3	DNase_input_local	11028	0.8777	0.684	0.5155	0.0745	0.1206	0.053	0.5651	0.1423
3	ATAC_input_K562transferred	11028	0.7887	0.5078	0.04	-0.0738	-0.0895	0.0399	0.5662	0.1083
3	DNase_input_K562transferred	11028	0.7602	0.5661	0.24	-0.118	-0.0268	0.028	0.5687	0.0713
3	atac_LOCAL_floor	11028	0.8024	0.5251	0.0526	-0.0521	-0.0716	0.0341	0.5687	0.0963
3	ATAC_input_local	11028	0.8342	0.5893		0.0	0.0	0.0538	0.5649	0.1438
4	DNase_input_local	10463	0.8659	0.6845	0.518	0.0871	0.1088	0.0487	0.5618	0.1318
4	ATAC_input_K562transferred	10463	0.7698	0.5509	-0.0063	-0.0702	-0.0564	0.0366	0.5626	0.1005
4	DNase_input_K562transferred	10463	0.7443	0.5788	0.2101	-0.1088	-0.0248	0.025	0.5649	0.0662
4	atac_LOCAL_floor	10463	0.7747	0.5527	-0.0214	-0.0626	-0.0543	0.0318	0.565	0.0896
4	ATAC_input_local	10463	0.8141	0.5998		0.0	0.0	0.0495	0.5617	0.1332
