fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	DNase_input	10143	0.8954	0.7234	0.3983	0.0159	0.0345	0.0622	0.5981	0.1654
0	ATAC_input	10143	0.8865	0.6991		0.0	0.0	0.0622	0.5982	0.1657
1	DNase_input	14392	0.9024	0.7157	0.4366	0.029	0.0275	0.0699	0.5966	0.1897
1	ATAC_input	14392	0.8861	0.6963		0.0	0.0	0.0702	0.5966	0.1904
2	DNase_input	12801	0.8873	0.7418	0.5191	0.0639	0.0611	0.0656	0.6077	0.1722
2	ATAC_input	12801	0.8505	0.6994		0.0	0.0	0.0644	0.6079	0.1706
3	DNase_input	12021	0.9036	0.759	0.4655	0.0308	0.081	0.0684	0.6084	0.1847
3	ATAC_input	12021	0.8864	0.7037		0.0	0.0	0.0679	0.6088	0.1841
4	DNase_input	9298	0.8965	0.741	0.4398	0.0275	0.0646	0.0617	0.5963	0.1674
4	ATAC_input	9298	0.8811	0.6961		0.0	0.0	0.0615	0.5965	0.1668
