config	mode	half_window	n_folds	stratum	n	pearson	spearman
sequence5p	sequence	500	5	all	58655	0.4996	0.4309
sequence5p	sequence	500	5	quintile1	11731	0.0687	0.0861
sequence5p	sequence	500	5	quintile2	11731	0.0422	0.0505
sequence5p	sequence	500	5	quintile3	11731	0.0746	0.0754
sequence5p	sequence	500	5	quintile4	11731	0.1132	0.0992
sequence5p	sequence	500	5	quintile5	11731	0.3893	0.3699
sequence5p	sequence	500	5	top_quintile	11731	0.3893	0.3699
sequence5p	sequence	500	5	top_two_quintiles	23462	0.4804	0.4223
atac5p	atac	500	5	all	58655	0.8136	0.7708
atac5p	atac	500	5	quintile1	11731	0.2012	0.2142
atac5p	atac	500	5	quintile2	11731	0.1316	0.1408
atac5p	atac	500	5	quintile3	11731	0.1739	0.1864
atac5p	atac	500	5	quintile4	11731	0.3452	0.3469
atac5p	atac	500	5	quintile5	11731	0.5508	0.5617
atac5p	atac	500	5	top_quintile	11731	0.5508	0.5617
atac5p	atac	500	5	top_two_quintiles	23462	0.73	0.7272
multimodal5p	multimodal	500	5	all	58655	0.8742	0.8433
multimodal5p	multimodal	500	5	quintile1	11731	0.3268	0.3311
multimodal5p	multimodal	500	5	quintile2	11731	0.1958	0.2012
multimodal5p	multimodal	500	5	quintile3	11731	0.2476	0.2597
multimodal5p	multimodal	500	5	quintile4	11731	0.4073	0.4066
multimodal5p	multimodal	500	5	quintile5	11731	0.6861	0.6894
multimodal5p	multimodal	500	5	top_quintile	11731	0.6861	0.6894
multimodal5p	multimodal	500	5	top_two_quintiles	23462	0.8053	0.7916
