config	mode	half_window	stratum	n_folds	pearson_mean	pearson_sd	ci95_half_width	ci95_lo	ci95_hi
sequence5p	sequence	500	all	5	0.4938	0.0306	0.038	0.4558	0.5318
sequence5p	sequence	500	quintile1	5	0.074	0.0141	0.0175	0.0565	0.0915
sequence5p	sequence	500	quintile2	5	0.0439	0.0281	0.0348	0.0091	0.0787
sequence5p	sequence	500	quintile3	5	0.0613	0.0112	0.0139	0.0473	0.0752
sequence5p	sequence	500	quintile4	5	0.1033	0.0263	0.0326	0.0707	0.136
sequence5p	sequence	500	quintile5	5	0.3798	0.0456	0.0567	0.3232	0.4365
sequence5p	sequence	500	top_quintile	5	0.3798	0.0456	0.0567	0.3232	0.4365
sequence5p	sequence	500	top_two_quintiles	5	0.4734	0.0365	0.0453	0.4282	0.5187
atac5p	atac	500	all	5	0.8136	0.0157	0.0196	0.7941	0.8332
atac5p	atac	500	quintile1	5	0.1979	0.0236	0.0292	0.1686	0.2271
atac5p	atac	500	quintile2	5	0.134	0.0181	0.0224	0.1116	0.1564
atac5p	atac	500	quintile3	5	0.1836	0.0156	0.0194	0.1642	0.203
atac5p	atac	500	quintile4	5	0.3544	0.0434	0.0539	0.3004	0.4083
atac5p	atac	500	quintile5	5	0.5476	0.0412	0.0511	0.4965	0.5987
atac5p	atac	500	top_quintile	5	0.5476	0.0412	0.0511	0.4965	0.5987
atac5p	atac	500	top_two_quintiles	5	0.7323	0.0193	0.024	0.7083	0.7563
multimodal5p	multimodal	500	all	5	0.8741	0.0152	0.0189	0.8552	0.893
multimodal5p	multimodal	500	quintile1	5	0.3233	0.0352	0.0437	0.2796	0.3669
multimodal5p	multimodal	500	quintile2	5	0.1887	0.0267	0.0331	0.1556	0.2218
multimodal5p	multimodal	500	quintile3	5	0.2475	0.0165	0.0205	0.227	0.2679
multimodal5p	multimodal	500	quintile4	5	0.4137	0.0521	0.0647	0.349	0.4785
multimodal5p	multimodal	500	quintile5	5	0.6852	0.0147	0.0183	0.6669	0.7035
multimodal5p	multimodal	500	top_quintile	5	0.6852	0.0147	0.0183	0.6669	0.7035
multimodal5p	multimodal	500	top_two_quintiles	5	0.8071	0.017	0.0212	0.7859	0.8283
