config	mode	half_window	fold	stratum	n	pearson	spearman
sequence5p	sequence	500	0	all	10143	0.4785	0.4131
sequence5p	sequence	500	0	quintile1	2029	0.0657	0.0847
sequence5p	sequence	500	0	quintile2	2028	0.0097	0.0157
sequence5p	sequence	500	0	quintile3	2029	0.0572	0.057
sequence5p	sequence	500	0	quintile4	2028	0.0896	0.0731
sequence5p	sequence	500	0	quintile5	2029	0.3412	0.3323
sequence5p	sequence	500	0	top_quintile	2029	0.3412	0.3323
sequence5p	sequence	500	0	top_two_quintiles	4057	0.4379	0.3792
sequence5p	sequence	500	1	all	14392	0.5477	0.4886
sequence5p	sequence	500	1	quintile1	2879	0.0919	0.1108
sequence5p	sequence	500	1	quintile2	2878	0.085	0.0872
sequence5p	sequence	500	1	quintile3	2878	0.0757	0.0763
sequence5p	sequence	500	1	quintile4	2878	0.1273	0.1292
sequence5p	sequence	500	1	quintile5	2879	0.4078	0.3832
sequence5p	sequence	500	1	top_quintile	2879	0.4078	0.3832
sequence5p	sequence	500	1	top_two_quintiles	5757	0.5024	0.4579
sequence5p	sequence	500	2	all	12801	0.4848	0.4044
sequence5p	sequence	500	2	quintile1	2561	0.0676	0.086
sequence5p	sequence	500	2	quintile2	2560	0.0291	0.0338
sequence5p	sequence	500	2	quintile3	2560	0.0637	0.0747
sequence5p	sequence	500	2	quintile4	2560	0.1218	0.1184
sequence5p	sequence	500	2	quintile5	2560	0.4035	0.3868
sequence5p	sequence	500	2	top_quintile	2560	0.4035	0.3868
sequence5p	sequence	500	2	top_two_quintiles	5120	0.5083	0.4482
sequence5p	sequence	500	3	all	12021	0.4855	0.4056
sequence5p	sequence	500	3	quintile1	2405	0.059	0.1095
sequence5p	sequence	500	3	quintile2	2404	0.0433	0.0497
sequence5p	sequence	500	3	quintile3	2404	0.0647	0.064
sequence5p	sequence	500	3	quintile4	2404	0.064	0.0604
sequence5p	sequence	500	3	quintile5	2404	0.4253	0.3868
sequence5p	sequence	500	3	top_quintile	2404	0.4253	0.3868
sequence5p	sequence	500	3	top_two_quintiles	4808	0.4875	0.4095
sequence5p	sequence	500	4	all	9298	0.4724	0.4129
sequence5p	sequence	500	4	quintile1	1860	0.0859	0.094
sequence5p	sequence	500	4	quintile2	1859	0.0524	0.0553
sequence5p	sequence	500	4	quintile3	1860	0.0451	0.0482
sequence5p	sequence	500	4	quintile4	1859	0.1139	0.101
sequence5p	sequence	500	4	quintile5	1860	0.3213	0.3313
sequence5p	sequence	500	4	top_quintile	1860	0.3213	0.3313
sequence5p	sequence	500	4	top_two_quintiles	3719	0.431	0.3884
atac5p	atac	500	0	all	10143	0.8151	0.7747
atac5p	atac	500	0	quintile1	2029	0.2145	0.2136
atac5p	atac	500	0	quintile2	2028	0.1292	0.1355
atac5p	atac	500	0	quintile3	2029	0.1768	0.1933
atac5p	atac	500	0	quintile4	2028	0.3645	0.3698
atac5p	atac	500	0	quintile5	2029	0.5264	0.5454
atac5p	atac	500	0	top_quintile	2029	0.5264	0.5454
atac5p	atac	500	0	top_two_quintiles	4057	0.7281	0.7289
atac5p	atac	500	1	all	14392	0.8145	0.7785
atac5p	atac	500	1	quintile1	2879	0.2031	0.2114
atac5p	atac	500	1	quintile2	2878	0.1533	0.1689
atac5p	atac	500	1	quintile3	2878	0.2038	0.2237
atac5p	atac	500	1	quintile4	2878	0.3672	0.3719
atac5p	atac	500	1	quintile5	2879	0.4894	0.4967
atac5p	atac	500	1	top_quintile	2879	0.4894	0.4967
atac5p	atac	500	1	top_two_quintiles	5757	0.7082	0.7135
atac5p	atac	500	2	all	12801	0.7902	0.7404
atac5p	atac	500	2	quintile1	2561	0.1653	0.1873
atac5p	atac	500	2	quintile2	2560	0.1184	0.1193
atac5p	atac	500	2	quintile3	2560	0.1636	0.1788
atac5p	atac	500	2	quintile4	2560	0.2786	0.2822
atac5p	atac	500	2	quintile5	2560	0.5935	0.6046
atac5p	atac	500	2	top_quintile	2560	0.5935	0.6046
atac5p	atac	500	2	top_two_quintiles	5120	0.7296	0.7134
atac5p	atac	500	3	all	12021	0.8346	0.7852
atac5p	atac	500	3	quintile1	2405	0.1833	0.209
atac5p	atac	500	3	quintile2	2404	0.1163	0.1359
atac5p	atac	500	3	quintile3	2404	0.1939	0.2018
atac5p	atac	500	3	quintile4	2404	0.3893	0.3848
atac5p	atac	500	3	quintile5	2404	0.5759	0.5839
atac5p	atac	500	3	top_quintile	2404	0.5759	0.5839
atac5p	atac	500	3	top_two_quintiles	4808	0.7621	0.761
atac5p	atac	500	4	all	9298	0.8138	0.7717
atac5p	atac	500	4	quintile1	1860	0.2232	0.2289
atac5p	atac	500	4	quintile2	1859	0.1528	0.1589
atac5p	atac	500	4	quintile3	1860	0.1799	0.1901
atac5p	atac	500	4	quintile4	1859	0.3723	0.3673
atac5p	atac	500	4	quintile5	1860	0.553	0.5667
atac5p	atac	500	4	top_quintile	1860	0.553	0.5667
atac5p	atac	500	4	top_two_quintiles	3719	0.7333	0.7305
multimodal5p	multimodal	500	0	all	10143	0.8812	0.8524
multimodal5p	multimodal	500	0	quintile1	2029	0.3193	0.2949
multimodal5p	multimodal	500	0	quintile2	2028	0.1866	0.1814
multimodal5p	multimodal	500	0	quintile3	2029	0.2493	0.2567
multimodal5p	multimodal	500	0	quintile4	2028	0.4438	0.4421
multimodal5p	multimodal	500	0	quintile5	2029	0.6814	0.6891
multimodal5p	multimodal	500	0	top_quintile	2029	0.6814	0.6891
multimodal5p	multimodal	500	0	top_two_quintiles	4057	0.8106	0.8018
multimodal5p	multimodal	500	1	all	14392	0.8797	0.8535
multimodal5p	multimodal	500	1	quintile1	2879	0.3261	0.3185
multimodal5p	multimodal	500	1	quintile2	2878	0.2283	0.2338
multimodal5p	multimodal	500	1	quintile3	2878	0.2611	0.2793
multimodal5p	multimodal	500	1	quintile4	2878	0.436	0.4414
multimodal5p	multimodal	500	1	quintile5	2879	0.6653	0.667
multimodal5p	multimodal	500	1	top_quintile	2879	0.6653	0.667
multimodal5p	multimodal	500	1	top_two_quintiles	5757	0.8054	0.7958
multimodal5p	multimodal	500	2	all	12801	0.8472	0.8126
multimodal5p	multimodal	500	2	quintile1	2561	0.274	0.3111
multimodal5p	multimodal	500	2	quintile2	2560	0.1631	0.1743
multimodal5p	multimodal	500	2	quintile3	2560	0.2196	0.2382
multimodal5p	multimodal	500	2	quintile4	2560	0.3219	0.3213
multimodal5p	multimodal	500	2	quintile5	2560	0.6889	0.6882
multimodal5p	multimodal	500	2	top_quintile	2560	0.6889	0.6882
multimodal5p	multimodal	500	2	top_two_quintiles	5120	0.7802	0.7519
multimodal5p	multimodal	500	3	all	12021	0.8841	0.8466
multimodal5p	multimodal	500	3	quintile1	2405	0.3238	0.3291
multimodal5p	multimodal	500	3	quintile2	2404	0.1663	0.1738
multimodal5p	multimodal	500	3	quintile3	2404	0.2491	0.2583
multimodal5p	multimodal	500	3	quintile4	2404	0.4447	0.4431
multimodal5p	multimodal	500	3	quintile5	2404	0.7062	0.702
multimodal5p	multimodal	500	3	top_quintile	2404	0.7062	0.702
multimodal5p	multimodal	500	3	top_two_quintiles	4808	0.827	0.8182
multimodal5p	multimodal	500	4	all	9298	0.8784	0.8465
multimodal5p	multimodal	500	4	quintile1	1860	0.3732	0.3579
multimodal5p	multimodal	500	4	quintile2	1859	0.1993	0.1975
multimodal5p	multimodal	500	4	quintile3	1860	0.2583	0.2602
multimodal5p	multimodal	500	4	quintile4	1859	0.4223	0.4126
multimodal5p	multimodal	500	4	quintile5	1860	0.6841	0.6911
multimodal5p	multimodal	500	4	top_quintile	1860	0.6841	0.6911
multimodal5p	multimodal	500	4	top_two_quintiles	3719	0.8123	0.8011
