fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	multimodal_flat	10143	0.8842	0.6898	0.5273	0.0827	0.1496	0.0607	0.5983	0.1618
0	multimodal_FRAGCHAN	10143	0.8872	0.7081	0.5442	0.088	0.1751	0.061	0.5981	0.1631
0	atac_flat	10143	0.8361	0.5712		0.0	0.0	0.0391	0.6036	0.1093
1	multimodal_flat	14392	0.8827	0.6836	0.5365	0.0884	0.1889	0.0684	0.5968	0.186
1	multimodal_FRAGCHAN	14392	0.8842	0.6894	0.5456	0.091	0.1969	0.0688	0.5967	0.1872
1	atac_flat	14392	0.8311	0.5277		0.0	0.0	0.0433	0.6034	0.1247
2	multimodal_flat	12801	0.8474	0.6899	0.4692	0.0763	0.1182	0.0627	0.608	0.1666
2	multimodal_FRAGCHAN	12801	0.8504	0.7046	0.4828	0.0814	0.1387	0.0633	0.6078	0.1682
2	atac_flat	12801	0.8011	0.5982		0.0	0.0	0.0396	0.6135	0.1089
3	multimodal_flat	12021	0.8847	0.6977	0.4718	0.0619	0.1157	0.0663	0.6089	0.1799
3	multimodal_FRAGCHAN	12021	0.889	0.7142	0.5004	0.0696	0.139	0.0666	0.6085	0.1809
3	atac_flat	12021	0.8489	0.6092		0.0	0.0	0.0432	0.6142	0.1197
4	multimodal_flat	9298	0.8787	0.688	0.5035	0.0779	0.1129	0.06	0.5966	0.163
4	multimodal_FRAGCHAN	9298	0.8788	0.7002	0.5064	0.0782	0.1298	0.06	0.5965	0.1632
4	atac_flat	9298	0.8331	0.6004		0.0	0.0	0.0382	0.6016	0.1068
