fold	config	n	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_jsd	profile_pearson_topq
0	GATE	10143	0.8855	0.6887	0.1285	-0.0017	-0.0145	0.0622	0.5981	0.1662
0	ASYM	10143	0.8854	0.6913	0.1224	-0.0019	-0.0108	0.0622	0.5984	0.1661
0	GATE_ASYM	10143	0.8839	0.6808	0.0802	-0.0046	-0.0253	0.0613	0.5984	0.1635
0	multimodal_ungated	10143	0.8865	0.6991		0.0	0.0	0.0622	0.5982	0.1657
1	GATE	14392	0.8819	0.6837	0.0675	-0.0075	-0.0174	0.0698	0.597	0.1892
1	ASYM	14392	0.8858	0.6938	0.1214	-0.0006	-0.0034	0.0698	0.5969	0.1895
1	GATE_ASYM	14392	0.885	0.6912	0.1475	-0.0019	-0.0071	0.0697	0.5968	0.1892
1	multimodal_ungated	14392	0.8861	0.6963		0.0	0.0	0.0702	0.5966	0.1904
2	GATE	12801	0.8496	0.6992	0.0959	-0.0015	-0.0003	0.0643	0.608	0.1702
2	ASYM	12801	0.8525	0.7074	0.1535	0.0035	0.0113	0.064	0.6082	0.1693
2	GATE_ASYM	12801	0.8506	0.6982	0.1234	0.0003	-0.0016	0.064	0.6082	0.1696
2	multimodal_ungated	12801	0.8505	0.6994		0.0	0.0	0.0644	0.6079	0.1706
3	GATE	12021	0.8886	0.7208	0.1647	0.0039	0.0244	0.0679	0.6086	0.1832
3	ASYM	12021	0.8898	0.7164	0.1947	0.006	0.0181	0.0679	0.6086	0.1835
3	GATE_ASYM	12021	0.8884	0.7027	0.1691	0.0036	-0.0014	0.0676	0.6085	0.1824
3	multimodal_ungated	12021	0.8864	0.7037		0.0	0.0	0.0679	0.6088	0.1841
4	GATE	9298	0.8801	0.7017	0.1018	-0.0017	0.0079	0.0616	0.5963	0.167
4	ASYM	9298	0.8803	0.686	0.1033	-0.0013	-0.0139	0.0613	0.5966	0.1665
4	GATE_ASYM	9298	0.8807	0.7055	0.1002	-0.0007	0.0132	0.0616	0.5966	0.1667
4	multimodal_ungated	9298	0.8811	0.6961		0.0	0.0	0.0615	0.5965	0.1668
